attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,analysis_text,token_count,dish_marker_count,taiwan_marker_count,binding_present,matched_dish_markers,matched_taiwan_markers,has_traditional_script_cue,geographic_count,geographic_score,geographic_matched_terms,nostalgia_count,nostalgia_score,nostalgia_matched_terms,night_market_count,night_market_score,night_market_matched_terms,authenticity_count,authenticity_score,authenticity_matched_terms,platform_fast_food_count,platform_fast_food_score,platform_fast_food_matched_terms,ownership_category,capital_origin,founding_place,mainland_entry_year
H40_011,2000,2000-01-01,1988-2001_cross_strait_mobility,鬍鬚張魯肉飯,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,standardization,2000 鬍鬚張 連鎖總部 ISO9001 認證 日本拓店 魯肉飯 標準化 台灣品牌,high,Shows Taiwan-side standardization before mainland lu rou fan platformization.,鬍鬚張魯肉飯 2000 鬍鬚張 連鎖總部 ISO9001 認證 日本拓店 魯肉飯 標準化 台灣品牌 standardization,31,2,1,1,魯肉飯,台灣,1,1,0.032258,台灣,0,0.000000,,0,0.000000,,0,0.000000,,2,0.064516,標準化|連鎖,taiwan_capital,Taiwan,Taipei,NA
H40_012,2002,2002-06-01,2002-2013_taiwan_capital_gateway,一茶一坐,Shanghai,Shanghai,Yangtze River Delta,media_report,TVBS,https://news.tvbs.com.tw/world/327709,first_mainland_store,一茶一坐 2002年6月 上海 第一家 台湾风味 休闲餐饮 都市连锁,medium,Early Taiwan-linked casual-dining gateway.,一茶一坐 一茶一坐 2002年6月 上海 第一家 台湾风味 休闲餐饮 都市连锁 first_mainland_store,30,0,1,0,,台湾,0,1,0.033333,台湾,0,0.000000,,0,0.000000,,0,0.000000,,1,0.033333,连锁,taiwan_mainland_joint_venture,Taiwan + mainland/Taiwanese-invested Want Want,Taiwan/Shanghai,2002
H40_013,2002,2002-07-01,2002-2013_taiwan_capital_gateway,一茶一坐,Shanghai,Shanghai,Yangtze River Delta,media_report,CCTV Taiwan Channel,https://www.cctv.com/taiwan/20030404/100182.shtml,first_mainland_flagship,一茶一坐 上海新天地 第一家旗舰店 台湾餐饮 连锁 向浙江 江苏 北京 广东 福建 四川拓展,high,Shanghai/YRD gateway and regional expansion.,一茶一坐 一茶一坐 上海新天地 第一家旗舰店 台湾餐饮 连锁 向浙江 江苏 北京 广东 福建 四川拓展 first_mainland_flagship,43,0,1,0,,台湾,0,1,0.023256,台湾,0,0.000000,,0,0.000000,,0,0.000000,,1,0.023256,连锁,taiwan_mainland_joint_venture,Taiwan + mainland/Taiwanese-invested Want Want,Taiwan/Shanghai,2002
H40_014,2007,2007-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,official_festival,2007 鬍鬚張 參加 第九屆 傳統美食嘉年華 魯肉飯節 網路票選 第一名 台灣 小吃,high,Taiwan-side official festival/national food recognition.,鬍鬚張魯肉飯 2007 鬍鬚張 參加 第九屆 傳統美食嘉年華 魯肉飯節 網路票選 第一名 台灣 小吃 official_festival,38,2,1,1,魯肉飯,台灣,1,1,0.026316,台灣,0,0.000000,,1,0.026316,小吃,1,0.026316,傳統,0,0.000000,,taiwan_capital,Taiwan,Taipei,NA
H40_015,2009,2009-01-01,2002-2013_taiwan_capital_gateway,鬍鬚張魯肉飯,Beijing,Beijing,North China,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,beijing_promotion,2009 鬍鬚張 代表 台北市政府 至北京 參加 冠軍團 宣傳 魯肉飯 台灣味,high,Taiwan-side brand presented in Beijing promotional context.,鬍鬚張魯肉飯 2009 鬍鬚張 代表 台北市政府 至北京 參加 冠軍團 宣傳 魯肉飯 台灣味 beijing_promotion,34,2,2,1,魯肉飯,台北|台灣,1,2,0.058824,台北|台灣,0,0.000000,,0,0.000000,,0,0.000000,,0,0.000000,,taiwan_capital,Taiwan,Taipei,NA
H40_016,2009,2009-01-01,2002-2013_taiwan_capital_gateway,Taiwanese national cuisine,Taipei,Taiwan,Taiwan-side,academic_article,Hui-Tun Chuang,https://rauli.cbs.dk/index.php/cjas/article/download/2542/2647/0,culinary_tourism,台灣 美食 觀光 國族料理 文化意象 小吃 夜市 台灣菜 身份 認同,high,Academic source; supports identity/national cuisine regime.,Taiwanese national cuisine 台灣 美食 觀光 國族料理 文化意象 小吃 夜市 台灣菜 身份 認同 culinary_tourism,30,0,3,0,,Taiwanese|台灣,1,3,0.100000,Taiwanese|台灣,0,0.000000,,2,0.066667,夜市|小吃,0,0.000000,,0,0.000000,,unknown,unknown,,
H40_017,2010,2010-07-12,2002-2013_taiwan_capital_gateway,世博台味餐饮,Shanghai,Shanghai,Yangtze River Delta,news_report,China Daily / China News,https://www.chinadaily.com.cn/dfpd/expo2010/2010-07/12/content_10094994,expo_food_visibility,上海 世博 台味 台湾牛肉面 台式奶茶 永和豆浆 台式卤肉饭 中国风 台湾味 两岸情 400余家 连锁加盟,high,Important mainland event-source for 台味 and 台式卤肉饭 visibility.,世博台味餐饮 上海 世博 台味 台湾牛肉面 台式奶茶 永和豆浆 台式卤肉饭 中国风 台湾味 两岸情 400余家 连锁加盟 expo_food_visibility,48,1,6,1,卤肉饭,台味|台式|台湾,0,6,0.125000,台味|台式|台湾,0,0.000000,,0,0.000000,,0,0.000000,,2,0.041667,加盟|连锁,mixed_event_platform,Taiwan/HK/mainland event operators,Shanghai,2010
H40_018,2010,2010-01-06,2002-2013_taiwan_capital_gateway,台资餐饮企业,Beijing,Beijing,North China,news_report,中国经济网,https://www.ce.cn/cysc/sp/info/201001/06/t20100106_19990066.shtml,taiwan_capital_food_growth,台资餐饮企业 大陆市场 呷哺呷哺 1998 西单 首家 中式快餐 100家 连锁 服务业转型,medium,Capital-origin and format evidence; not Taiwaneseness lexicon evidence.,台资餐饮企业 台资餐饮企业 大陆市场 呷哺呷哺 1998 西单 首家 中式快餐 100家 连锁 服务业转型 taiwan_capital_food_growth,40,0,1,0,,Taiwan,0,1,0.025000,Taiwan,0,0.000000,,0,0.000000,,0,0.000000,,2,0.050000,快餐|连锁,unknown,unknown,,
H40_019,2011,2011-01-01,2002-2013_taiwan_capital_gateway,魯肉飯正名,Taipei,Taiwan,Taiwan-side,academic_article,陳元朋,https://www.airitilibrary.com/Article/Detail/P20160811001-201310-201608110015-201608110015-211-233,naming_controversy,2011 Michelin Green Guide Taiwan 魯肉飯 源自山東 爭議 滷肉飯 正名運動 台灣 中國 文化建構,high,Key orthographic/geopolitical semantic event.,魯肉飯正名 2011 Michelin Green Guide Taiwan 魯肉飯 源自山東 爭議 滷肉飯 正名運動 台灣 中國 文化建構 naming_controversy,35,3,2,1,滷肉飯|魯肉飯,Taiwan|台灣,1,2,0.057143,Taiwan|台灣,0,0.000000,,0,0.000000,,0,0.000000,,0,0.000000,,unknown,unknown,,
H40_020,2015,2015-09-08,2014-2020_pre_wanghong_platformization,上海台湾料理店卤肉饭,Shanghai,Shanghai,Yangtze River Delta,image_metadata,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3A%E4%B8%8A%E6%B5%B7%E9%A4%90%E5%8E%85%E4%B8%AD%E4%B8%AA%E5%8D%A4%E8%82%89%E9%A5%AD.jpg,visual_attestation,2015 上海 台湾料理店 卤肉饭 照片 经纬度 大陆 城市餐厅 台式,medium,Visual attestation of lu rou fan in Shanghai Taiwan restaurant.,上海台湾料理店卤肉饭 2015 上海 台湾料理店 卤肉饭 照片 经纬度 大陆 城市餐厅 台式 visual_attestation,35,2,3,1,卤肉饭,台式|台湾,0,3,0.085714,台式|台湾,0,0.000000,,0,0.000000,,0,0.000000,,0,0.000000,,unknown,unknown,Shanghai,2015
H40_021,2016,2016-01-01,2014-2020_pre_wanghong_platformization,鬍鬚張魯肉飯,Taipei,Taiwan,Taiwan-side,food_media,Ryori Taiwan,https://ryoritaiwan.fcdc.org.tw/columns/4037,internationalization,鬍鬚張 魯肉飯 1960 台北 雙連 寧夏 華航 機上餐 國際 台灣味,medium,Retrospective food media; traces 1960-2010 internationalization.,鬍鬚張魯肉飯 鬍鬚張 魯肉飯 1960 台北 雙連 寧夏 華航 機上餐 國際 台灣味 internationalization,29,2,2,1,魯肉飯,台北|台灣,1,2,0.068966,台北|台灣,0,0.000000,,0,0.000000,,0,0.000000,,0,0.000000,,taiwan_capital,Taiwan,Taipei,NA
H40_022,2018,2018-01-01,2014-2020_pre_wanghong_platformization,紅豬卤肉饭,Shanghai,Shanghai,Yangtze River Delta,food_media,Sina,https://k.sina.cn/article_7232786777_1af1b91590010134vk.html,shanghai_lu_rou_fan_visibility,2018 上海 徐家汇 台湾古早味 红猪卤肉饭 上海最好吃 卤肉饭 15元,medium,Pre-2020 Shanghai lu rou fan visibility; source quality needs audit.,紅豬卤肉饭 2018 上海 徐家汇 台湾古早味 红猪卤肉饭 上海最好吃 卤肉饭 15元 shanghai_lu_rou_fan_visibility,34,3,1,1,卤肉饭,台湾,0,1,0.029412,台湾,1,0.029412,古早味,0,0.000000,,0,0.000000,,0,0.000000,,mainland_taiwan_themed,unknown/mainland likely,Shanghai,2018
H40_023,2018,2018-01-01,2014-2020_pre_wanghong_platformization,鬍鬚張魯肉飯,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,platform_delivery,2018 鬍鬚張 導入 外送平台 魯肉飯 台灣 數位化 平台化,high,Taiwan-side platformization before mainland wanghong boom.,鬍鬚張魯肉飯 2018 鬍鬚張 導入 外送平台 魯肉飯 台灣 數位化 平台化 platform_delivery,28,2,1,1,魯肉飯,台灣,1,1,0.035714,台灣,0,0.000000,,0,0.000000,,0,0.000000,,1,0.035714,delivery,taiwan_capital,Taiwan,Taipei,NA
H40_024,2019,2019-01-01,2014-2020_pre_wanghong_platformization,鬍鬚張魯肉飯,Taipei,Taiwan,Taiwan-side,official_brand_timeline,鬍鬚張,https://shop.fmsc.com.tw/pages/about-us,digital_payment,2019 鬍鬚張 數位轉型 會員APP KIOSK 數位支付 魯肉飯 台灣,high,Digitalization of Taiwan-side lu rou fan chain.,鬍鬚張魯肉飯 2019 鬍鬚張 數位轉型 會員APP KIOSK 數位支付 魯肉飯 台灣 digital_payment,28,2,1,1,魯肉飯,台灣,1,1,0.035714,台灣,0,0.000000,,0,0.000000,,0,0.000000,,0,0.000000,,taiwan_capital,Taiwan,Taipei,NA
H40_025,2020,2020-08-21,2014-2020_pre_wanghong_platformization,大润发台湾风味卤肉大包,Shanghai,Shanghai,Yangtze River Delta,retail_media,China Daily,https://cn.chinadaily.com.cn/a/202008/21/WS5f3f451ba310a859d09df17e.html,retail_product_extension,2020 大润发 上海 台湾风味 卤肉大包 台湾卤肉饭 味道 包子 研发 试吃 打分 味觉记忆,high,Non-restaurant retail commodification of Taiwan lu rou fan flavor before 2021.,大润发台湾风味卤肉大包 2020 大润发 上海 台湾风味 卤肉大包 台湾卤肉饭 味道 包子 研发 试吃 打分 味觉记忆 retail_product_extension,46,1,3,1,卤肉饭,台湾,0,3,0.065217,台湾,0,0.000000,,0,0.000000,,0,0.000000,,0,0.000000,,mainland_or_foreign_retail_platform,retail platform,Shanghai,2020
