year,corridor,weighted_binding_index,weight_sum,row_count
1973,Singapore,1.000000,0.9000,1
1973,Taiwan-side,0.850735,5.0916,7
1974,North America,0.000000,0.9100,1
1974,Singapore,0.000000,1.0600,1
1975,North America,1.000000,1.8200,2
1975,Singapore,1.000000,3.2076,4
1975,Taiwan-side,1.000000,3.1900,4
1975,unknown,0.000000,2.8325,3
1976,Singapore,1.000000,1.8526,2
1976,Taiwan-side,1.000000,0.7600,1
1976,unknown,0.000000,0.8388,1
1977,Japan,1.000000,0.9100,1
1977,North America,0.000000,0.9100,1
1977,Singapore,1.000000,2.8691,3
1977,Taiwan-side,1.000000,4.6164,6
1977,unknown,0.000000,0.9323,1
1978,North America,0.500000,1.8200,2
1978,Singapore,1.000000,2.1200,2
1978,Taiwan-side,1.000000,2.5800,3
1978,unknown,0.000000,0.9845,1
1979,Japan,1.000000,0.9100,1
1979,North America,1.000000,0.9100,1
1979,Singapore,1.000000,1.6681,2
1979,Taiwan-side,0.523530,1.7382,2
1980,Japan,1.000000,1.4791,2
1980,Singapore,1.000000,13.9183,16
1980,Taiwan-side,1.000000,10.4719,12
1980,unknown,0.000000,2.2391,3
1981,Japan,1.000000,0.9100,1
1981,Singapore,1.000000,11.9468,14
1981,Taiwan-side,1.000000,3.6559,5
1981,unknown,0.000000,0.9100,1
1982,Japan,1.000000,0.9100,1
1982,Singapore,1.000000,20.4640,20
1982,Taiwan-side,1.000000,1.6700,2
1982,unknown,0.000000,1.8964,2
1983,Singapore,1.000000,5.0071,5
1983,Taiwan-side,1.000000,1.6700,2
1984,Japan,1.000000,0.9100,1
1984,North America,1.000000,1.4444,2
1984,Singapore,1.000000,8.1089,9
1984,Taiwan-side,1.000000,0.9100,1
1985,North America,0.782909,4.1918,5
1985,Singapore,1.000000,19.1631,20
1985,unknown,0.000000,0.9100,1
1986,Japan,1.000000,1.8200,2
1986,North America,1.000000,1.0600,1
1986,Singapore,1.000000,17.8537,19
1986,Taiwan-side,0.831832,4.8190,6
1986,unknown,0.000000,1.0162,1
1987,Japan,1.000000,1.8200,2
1987,Mainland China,0.061947,14.6900,14
1987,North America,1.000000,3.0300,3
1987,Singapore,1.000000,9.6225,11
1987,Taiwan-side,0.628271,2.0445,3
1987,unknown,0.000000,1.0162,1
1988,Singapore,1.000000,3.1800,3
1989,Singapore,1.000000,17.1678,17
1990,Singapore,1.000000,1.9717,2
1990,Taiwan-side,1.000000,0.7600,1
1991,Singapore,1.000000,2.1200,2
1992,Singapore,1.000000,16.8047,16
1993,Singapore,1.000000,6.3600,6
1993,Taiwan-side,0.723500,2.9302,3
1994,Singapore,1.000000,20.1400,19
1994,Taiwan-side,1.000000,0.9100,1
1995,Singapore,1.000000,8.4800,8
1995,Taiwan-side,1.000000,0.9100,1
1996,Hong Kong,1.000000,0.9100,1
1996,Singapore,1.000000,8.4800,8
1996,Taiwan-side,1.000000,1.0600,1
1996,Yangtze River Delta,0.923077,11.8300,13
1997,Singapore,1.000000,3.1800,3
1998,North China,0.500000,1.8200,2
1998,Singapore,1.000000,2.1200,2
1999,Singapore,1.000000,3.1800,3
1999,Yangtze River Delta,1.000000,10.9200,12
2000,Singapore,1.000000,1.0600,1
2000,Taiwan-side,0.000000,0.8494,1
2001,North China,1.000000,0.9100,1
2001,Singapore,1.000000,3.1800,3
2001,Taiwan-side,1.000000,12.7200,12
2001,Yangtze River Delta,1.000000,2.7300,3
2002,Singapore,1.000000,2.1200,2
2002,Taiwan-side,1.000000,1.6700,2
2002,Yangtze River Delta,0.611066,4.4676,5
2003,Singapore,1.000000,13.0400,14
2004,Japan,1.000000,0.9100,1
2004,Singapore,1.000000,1.0600,1
2004,Taiwan-side,1.000000,0.9100,1
2004,Yangtze River Delta,1.000000,12.7400,14
2005,Singapore,1.000000,1.0600,1
2005,Yangtze River Delta,1.000000,2.7300,3
2006,Japan,1.000000,0.9100,1
2006,North China,1.000000,0.9100,1
2006,Taiwan-side,1.000000,1.8200,2
2006,Yangtze River Delta,1.000000,1.8200,2
2007,Singapore,1.000000,3.1800,3
2007,Taiwan-side,0.000000,0.8525,1
2007,Yangtze River Delta,1.000000,1.8200,2
2008,North America,1.000000,0.9100,1
2008,North China,1.000000,0.9100,1
2008,Singapore,1.000000,28.8278,28
2008,Taiwan-side,1.000000,3.6400,4
2008,Yangtze River Delta,1.000000,0.9100,1
2009,North China,0.518578,1.7548,2
2009,Singapore,1.000000,2.1200,2
2009,Taiwan-side,0.666667,2.7300,3
2010,Japan,1.000000,0.9100,1
2010,North China,0.000000,0.9100,1
2010,Singapore,1.000000,32.9984,36
2010,Taiwan-side,1.000000,1.8200,2
2010,Yangtze River Delta,0.863568,6.6700,7
2011,Singapore,1.000000,31.3008,36
2011,Taiwan-side,0.959908,22.6980,30
2012,Singapore,1.000000,31.2982,34
2012,Taiwan-side,1.000000,25.3470,40
2013,North China,1.000000,1.8200,2
2013,Singapore,1.000000,1.0600,1
2013,Taiwan-side,1.000000,47.6004,68
2014,North China,1.000000,0.9100,1
2014,Singapore,1.000000,28.7481,36
2014,Taiwan-side,1.000000,0.9100,1
2015,North China,1.000000,0.9100,1
2015,Singapore,1.000000,1.0600,1
2015,Taiwan-side,1.000000,2.7300,3
2015,Yangtze River Delta,0.000000,0.9100,1
2015,national,1.000000,1.8200,2
2016,North China,1.000000,0.9100,1
2016,Singapore,1.000000,4.2400,4
2016,Taiwan-side,0.745971,3.2575,4
2016,Yangtze River Delta,1.000000,0.9100,1
2017,Singapore,1.000000,1.0600,1
2017,Taiwan-side,1.000000,11.7000,15
2018,Singapore,1.000000,2.1200,2
2018,Taiwan-side,0.970236,27.4160,36
2018,Yangtze River Delta,0.666667,2.7300,3
2018,national,1.000000,0.9100,1
2019,Taiwan-side,0.000000,0.8160,1
2019,Yangtze River Delta,1.000000,1.0600,1
2020,Taiwan-side,1.000000,48.2500,70
2020,Yangtze River Delta,0.833333,5.4600,6
2020,national,1.000000,0.9100,1
2021,Taiwan-side,1.000000,39.8100,66
2021,national,1.000000,0.9100,1
2022,Taiwan-side,1.000000,130.4471,175
2023,Taiwan-side,1.000000,102.9412,136
2024,Korea,1.000000,0.9100,1
2024,Taiwan-side,1.000000,98.7502,135
2024,Yangtze River Delta,1.000000,0.9100,1
2025,Central China,1.000000,0.9100,1
2025,Taiwan-side,1.000000,219.8900,299
2025,Yangtze River Delta,1.000000,10.9200,12
2026,Korea,1.000000,2.8800,3
2026,Taiwan-side,1.000000,11.5912,16
