attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref,dedupe_key,merged_from_attestation_ids,merged_row_count,novelty_score,avg_text_similarity,novelty_group_size,novelty_group_key,authority_level,authority_weight,authority_reason,analysis_weight,historical_binding_raw,weighted_historical_binding,target_binding_raw,target_control_type,negative_type,capture_id,search_id
MERGED_5799194db4edaf,1955,1955-01-01,1946-1987_taiwan_side_formation,Taiwanese chefs in United States,Multiple,United States,North America,encyclopedic_secondary,Taiwanese cuisine overview,https://en.wikipedia.org/wiki/Taiwanese_cuisine,diaspora_chef_migration,1950s Taiwanese chefs United States Chinese regional cooking Cantonese shift,low,Use as a search-guiding candidate until replaced by stronger migration-history source.,US_TW_CHEFS_1950S,candidate,North America,Overview states that immigration of Taiwanese chefs to the United States began in the 1950s and later affected Chinese restaurant diversity.,regional Chinese restaurant,Taiwanese immigrant restaurateurs,,,https://en.wikipedia.org/wiki/Taiwanese_cuisine,6256417a7eab6824,US_1950S_001,1,1.0000,0.0000,1,Taiwanese chefs in United States,secondary,0.7000,default secondary classification,0.9100,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_7c05f2ac9b6c,srch_8ef591386d45
MERGED_15a142c712924c,1965,1965-01-01,1946-1987_taiwan_side_formation,Taiwanese New York community,New York,New York,North America,food_culture_article,TASTE,https://tastecooking.com/new-york-citys-taiwanese-food-boom-its-about-damn-time/,diaspora_presence,Taiwanese immigrants Taiwanese Americans New York area since 1960s later restaurant ecology,medium,Useful for pre-restaurant community layer in New York corridor.,US_NY_TW_COMMUNITY_1960S,probable,North America,TASTE says Taiwanese immigrants and Taiwanese Americans had been living in the New York area since the 1960s.,Taiwanese food,Taiwanese diaspora,,,https://tastecooking.com/new-york-citys-taiwanese-food-boom-its-about-damn-time/,6eef8374d773ed91,US_1960S_001,1,1.0000,0.0000,1,Taiwanese New York community,secondary,0.7000,default secondary classification,0.9100,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_6014dff92d83,srch_8d7c7f81bee3
MERGED_ae7fd91c7d5679,1970,1970-01-01,1946-1987_taiwan_side_formation,Flushing Little Taipei formation,New York,New York,North America,travel_history_article,Matador Network,https://matadornetwork.com/read/chinatown-nyc-restaurants/,neighborhood_formation,1970 Flushing Chinatown began Mandarin speaking Taiwanese immigrants Little Taipei condition,medium,Neighborhood-level corridor evidence for Taiwanese food geography in New York.,US_FLUSHING_1970,probable,North America,Matador says Flushing Chinatown began forming around 1970 with Mandarin-speaking Taiwanese immigrants.,Taiwanese community,Taiwanese immigrants,,,https://matadornetwork.com/read/chinatown-nyc-restaurants/,9e814401878ef131,US_1970_001B,1,1.0000,0.0000,1,Flushing Little Taipei formation,secondary,0.7000,default secondary classification,0.9100,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_297a034e6bc1,srch_178ff53a1f9c
MERGED_16d6d1191fb6b1,1975,1975-01-01,1946-1987_taiwan_side_formation,Taiwanese chefs and Hunan boom,New York,New York,North America,food_culture_article,TASTE,https://tastecooking.com/new-york-citys-taiwanese-food-boom-its-about-damn-time/,restaurant_labor_ecology,1970s New York Hunan restaurant boom Taiwanese chefs responsible in part regional Chinese shift,medium,Important because Taiwaneseness entered US food ecology partly through non-Taiwan-labeled regional Chinese formats.,US_NY_HUNAN_1970S,probable,North America,TASTE says Taiwanese chefs were responsible in part for the 1970s boom in Hunan restaurants in New York.,Hunan restaurant,Taiwanese chefs,,,https://tastecooking.com/new-york-citys-taiwanese-food-boom-its-about-damn-time/,ad86719ff1d0cca5,US_1970S_003,1,1.0000,0.0000,1,Taiwanese chefs and Hunan boom,secondary,0.7000,default secondary classification,0.9100,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_585b65f628da,srch_1f22bdba47aa
MERGED_62dc3536b40c27,1984,1984-01-01,1946-1987_taiwan_side_formation,99 Ranch Market,Westminster,California,North America,official_company_profile,99 Ranch Market,https://h5.awsprod.99ranch.com/about-us,asian_supermarket_origin,1984 99 Ranch Market Tawa Supermarket Roger Chen Taiwanese immigrant Asian supermarket pantry infrastructure,high,Official company history gives founding year and Taiwanese immigrant founder; useful for non-restaurant pantry and grocery infrastructure in North America.,US_99RANCH_1984,probable,North America,Official about-us page says 99 Ranch Market or Tawa Supermarket was established in 1984 by Roger Chen a Taiwanese immigrant to fill the need for an Asian supermarket.,Asian grocery;Taiwanese pantry,Taiwanese immigrant founder;Asian food culture,Taiwanese immigrant operator,Taiwan,https://h5.awsprod.99ranch.com/about-us,78bcb0c1ad3f985d,US_1984_001,1,0.7317,0.2683,2,99 Ranch Market,secondary,0.7000,default secondary classification,0.7222,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_cc6efebace14,srch_7f9eb20a8cc6
MERGED_fb26ff6caf314a,1985,1985-07-21,1946-1987_taiwan_side_formation,Good Shine Kitchen,Monterey Park,California,North America,newspaper_feature,Los Angeles Times,https://www.latimes.com/archives/la-xpm-1985-07-21-mn-6906-story.html,political_social_foodspace,1985 Good Shine Kitchen Taiwanese activists old hometown taste Taiwan countryside native place homeland social function,high,Distinct from the June 1985 restaurant review; this records Good Shine as a Taiwanese community and political-social food space.,US_GOODSHINE_SOCIAL_19850721,probable,North America,Los Angeles Times describes Good Shine Kitchen as a favorite spot for Taiwanese activists and as serving old hometown tastes from the Taiwanese countryside.,Taiwanese countryside dishes,Taiwanese activists;homeland;Little Taipei,Taiwanese community operator,Taiwan,https://www.latimes.com/archives/la-xpm-1985-07-21-mn-6906-story.html,d00b40cb3a190673,US_1985_002,1,0.7442,0.2558,2,Good Shine Kitchen,primary,1.0000,dated archive/newspaper/registry-like source,0.8809,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_b1ac82092ae0,srch_a6e2746e117a
BATCH_S_016,1971,1971-11-19,1946-1987_taiwan_side_formation,First genuine Taiwan restaurant review,Singapore,,Singapore,newspaper_archive,NewspaperSG / NLB,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19711119-1,newspaper_ad_or_article,"New Nation eating-out review says the first restaurant serving genuine Taiwan food offered juicy pork, creamy porridge and oysters.",medium,Fifty-record top-up batch S; 200-row harvesting round checkpoint 1/4; source/date/brand key screened; not marker-split.,SRC_BATCH_S_016,probable,Singapore,"New Nation eating-out review says the first restaurant serving genuine Taiwan food offered juicy pork, creamy porridge and oysters.",Taiwanese food;porridge;oysters,Taiwan,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19711119-1,b029225b1f079aab,BATCH_S_016,1,1.0000,0.0000,1,First genuine Taiwan restaurant review,primary,1.0000,dated archive/newspaper/registry-like source,1.0600,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_4b38a5e5365c,srch_1449d41f80b5
BATCH_R_034,1975,1975-06-07,1946-1987_taiwan_side_formation,Oasis Paradise Cove Taiwan Porridge Restaurant,Singapore,,Singapore,newspaper_archive,NewspaperSG / NLB,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19750607-1,newspaper_ad_or_article,"Floating Palace cabaret and nightclub, Oasis Paradise Cove bar nightclub, Taiwan Porridge Restaurant and coffee house appear in the advertisement.",medium,Fifty-record top-up batch R; generated from 60-candidate source-artifact pool; existing source/date/brand keys skipped; not marker-split.,SRC_BATCH_R_034,probable,Singapore,"Floating Palace cabaret and nightclub, Oasis Paradise Cove bar nightclub, Taiwan Porridge Restaurant and coffee house appear in the advertisement.",Taiwan porridge,Taiwan,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19750607-1,a7e4bc49a8091c8c,BATCH_R_034,1,0.5404,0.4596,3,Oasis Paradise Cove Taiwan Porridge Restaurant,primary,1.0000,dated archive/newspaper/registry-like source,0.7383,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_89e9944f387a,srch_5e55c0a6a611
SRC_NEWSG_MANUAL_19800406_GOLDLEAF,1980,1980-04-06,1946-1987_taiwan_side_formation,Goldleaf Restaurant,Singapore,,Singapore,newspaper_archive,New Nation / NewspaperSG,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19800406-1,ad,1980 Singapore Goldleaf first Taiwan restaurant advertisement,medium,New non-duplicate NewspaperSG ad; OCR noisy but source identifies Goldleaf and Taiwan restaurant claim.,SRC_NEWSG_MANUAL_19800406_GOLDLEAF,probable,Singapore,Goldleaf Restaurant at Parklane Shopping Mall; Singapore's first Taiwan restaurant; come and have a taste,Taiwan restaurant,Taiwan,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19800406-1,,SRC_NEWSG_MANUAL_19800406_GOLDLEAF,1,1.0000,0.0000,1,Goldleaf Restaurant,primary,1.0000,dated archive/newspaper/registry-like source,1.0600,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_c9b05113323b,srch_30215704d2be
BATCH_T_004,1985,1985-04-15,1946-1987_taiwan_side_formation,Goodwood Park Taiwan Porridge Monitor April,Singapore,,Singapore,newspaper_issue,NewspaperSG Singapore Monitor,https://eresources.nlb.gov.sg/newspapers/Digitised/Issue/singmonitor19850415-2,newspaper_ad,Singapore Monitor issue carries Goodwood Park Taiwan Porridge dining copy.,high,NewspaperSG issue-page artifact; one dated page row. Fifty-record top-up batch T; 200-row harvesting round checkpoint 2/4; source/date/brand key screened; not marker-split.,SRC_BATCH_T_004,probable,Singapore,Singapore Monitor issue carries Goodwood Park Taiwan Porridge dining copy.,Taiwan Porridge;porridge,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/Digitised/Issue/singmonitor19850415-2,2ffc1bdc6fa29c1b,BATCH_T_004,1,1.0000,0.0000,1,Goodwood Park Taiwan Porridge Monitor April,primary,1.0000,dated archive/newspaper/registry-like source,1.0600,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_d4238245b3da,srch_6b7bd88362b0
BATCH_S_008,1946,1946-01-01,1946-1987_taiwan_side_formation,老江紅茶牛奶,Kaohsiung,Taiwan,Taiwan-side,municipal_profile,Kaohsiung Travel old taste zone,https://khh.travel/zh-tw/event/news/4784/,source_artifact_profile,老江紅茶牛奶於戰後早期在高雄形成早餐茶飲與小吃記憶。,medium,Fifty-record top-up batch S; 200-row harvesting round checkpoint 1/4; source/date/brand key screened; not marker-split.,SRC_BATCH_S_008,probable,Taiwan-side,老江紅茶牛奶於戰後早期在高雄形成早餐茶飲與小吃記憶。,紅茶牛奶;早餐,Taiwan,,,https://khh.travel/zh-tw/event/news/4784/,86ef91a5ef6263ba,BATCH_S_008,1,1.0000,0.0000,1,老江紅茶牛奶,secondary,0.7000,official/media curated narrative source,0.9100,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_464f02f02bd3,srch_db88ff6abc10
BATCH_R_008,1950,1950-01-01,1946-1987_taiwan_side_formation,七賢鴨肉飯,Kaohsiung,Taiwan,Taiwan-side,public_web_profile,Zanzan Kaohsiung duck-rice guide,https://zanzan.tw/archives/68703,source_artifact_profile,七賢鴨肉飯創立於1950年代，至今超過七十年，是許多老高雄人的記憶座標。,low,Fifty-record top-up batch R; generated from 60-candidate source-artifact pool; existing source/date/brand keys skipped; not marker-split.,SRC_BATCH_R_008,candidate,Taiwan-side,七賢鴨肉飯創立於1950年代，至今超過七十年，是許多老高雄人的記憶座標。,鴨肉飯,Taiwan,,,https://zanzan.tw/archives/68703,6d43b15816b2b495,BATCH_R_008,1,1.0000,0.0000,1,七賢鴨肉飯,primary,1.0000,dated archive/newspaper/registry-like source,1.0600,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_ea1dff3a0410,srch_1ce4b34f3d10
MERGED_5ffd9f50c5d435,1957,1957-01-01,1946-1987_taiwan_side_formation,阿鳳浮水虱目魚羹,Tainan,Taiwan,Taiwan-side,official_tourism_profile,台南旅遊網,https://twtainan.net/zh-tw/shop/consume/1488/,old_shop_origin|floating_fish_thick_soup_technique,1957 Tainan Afeng floating milkfish thick soup old shop origin Baoan Road || 1957 Tainan Afeng milkfish belly back-meat paste floating thick soup technique boneless filling,medium,Official tourism page gives exact ROC year 46 founding and present family continuity. || Same official page explains the historical floating-fish-thick-soup form in enough detail to code as a preparation record.,TW_AFENG_1957_ORIGIN,probable,Taiwan-side,Official page says Lin Ye-aiyin founded Afeng floating milkfish thick soup in ROC year 46 on Baoan Road. || Official page says the soup used milkfish belly and back meat pounded into paste and dropped into boiling water so the fish-thick-soup pieces floated when cooked.,虱目魚羹,台南保安路小吃;台南虱目魚技法,,,https://twtainan.net/zh-tw/shop/consume/1488/,48e05f1597bfd881,TW_TN_1957_001;TW_TN_1957_002,2,1.0000,0.0000,1,阿鳳浮水虱目魚羹,secondary,0.7000,official/media curated narrative source,0.9100,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_f7ba699a8522,srch_4bdf1dfabd27
BATCH_V_012,1960,1960-01-01,1946-1987_taiwan_side_formation,鹿港阿道蚵仔煎 food-blog founding article,Changhua,Taiwan,Taiwan-side,food_blog,Nini and Blue,https://niniandblue.com/blog/post/lukang-ado,food_history_article,Nini and Blue records 鹿港阿道蚵仔煎 food-blog founding article with 蚵仔煎;小吃 in Changhua food context.,low,Food blog source Fifty-record top-up batch V; 200-row harvesting round checkpoint 4/4; source/date/brand key screened; not marker-split.,SRC_BATCH_V_012,candidate,Taiwan,Nini and Blue records 鹿港阿道蚵仔煎 food-blog founding article with 蚵仔煎;小吃 in Changhua food context.,蚵仔煎;小吃,彰化;臺灣,unknown,,https://niniandblue.com/blog/post/lukang-ado,ad8e8591e2f7511e,BATCH_V_012,1,1.0000,0.0000,1,鹿港阿道蚵仔煎 food-blog founding article,tertiary,0.4000,blog/review/social retrospective source,0.7600,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_bff79a67a12f,srch_140f815171c9
BATCH_V_005,1965,1965-01-01,1946-1987_taiwan_side_formation,阿蘭古早味 Kaohsiung old-flavor page,Kaohsiung,Taiwan,Taiwan-side,official_event_page,Kaohsiung Travel,https://khh.travel/zh-tw/event/news/4784/,official_old_flavor_profile,Kaohsiung Travel records 阿蘭古早味 Kaohsiung old-flavor page with 古早味小吃;飯食 in Kaohsiung food context.,medium,Official page but relative age Fifty-record top-up batch V; 200-row harvesting round checkpoint 4/4; source/date/brand key screened; not marker-split.,SRC_BATCH_V_005,candidate,Taiwan,Kaohsiung Travel records 阿蘭古早味 Kaohsiung old-flavor page with 古早味小吃;飯食 in Kaohsiung food context.,古早味小吃;飯食,高雄;臺灣,unknown,,https://khh.travel/zh-tw/event/news/4784/,b2536dab947104a2,BATCH_V_005,1,1.0000,0.0000,1,阿蘭古早味 Kaohsiung old-flavor page,secondary,0.7000,official/media curated narrative source,0.9100,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context,cap_8266f27a749f,srch_60fdb7155a78
