attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref,dedupe_key,merged_from_attestation_ids,merged_row_count,novelty_score,avg_text_similarity,novelty_group_size,novelty_group_key,authority_level,authority_weight,authority_reason,capture_id,search_id,analysis_weight,historical_binding_raw,weighted_historical_binding,target_binding_raw,target_control_type,negative_type
MERGED_b12ea114c63b1e,1950,1950-01-01,1946-1987_taiwan_side_formation,友誠蝦仁肉圓,Tainan,Taiwan,Taiwan-side,official_tourism_profile,台南旅遊網,https://www.twtainan.net/zh-tw/shop/consume/1076/,market_stall_origin|dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1950 Tainan Youcheng shrimp meatball postwar Kangle Market Sakariba stall origin || 1950 友誠蝦仁肉圓 dated public source event anchors the food sign 蝦仁肉圓;肉燥 台南市場小吃 || 1950 友誠蝦仁肉圓 dish wording binds local food item to Taiwaneseness corpus 蝦仁肉圓;肉燥 台南市場小吃 || 1950 友誠蝦仁肉圓 store service format records circulation context 蝦仁肉圓;肉燥 台南市場小吃 || 1950 友誠蝦仁肉圓 urban memory and place geography support historical binding 蝦仁肉圓;肉燥 台南市場小吃,medium,Official tourism page gives exact ROC year 39 origin and specific early market geography for the family line later represented by Youcheng. || Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,TW_YOUCHENG_1950_ORIGIN,probable,Taiwan-side,Official page says first-generation Su Song first sold shrimp meatballs at Kangle Market Sakariba in postwar ROC year 39. || Youcheng shrimp meatball line began in ROC 39 Kangle Market Sakariba with meat-sauce shrimp meatball craft,蝦仁肉圓;肉燥,台南市場小吃,,,https://www.twtainan.net/zh-tw/shop/consume/1076/,257fd59edb4199f0,TW_TN_1950_001;BULK_O_009_A;BULK_O_009_B;BULK_O_009_C;BULK_O_009_D,5,1.0000,0.0000,1,友誠蝦仁肉圓,tertiary,0.2000,blog/review/social retrospective source,,,0.7600,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context
BATCH_R_008,1950,1950-01-01,1946-1987_taiwan_side_formation,七賢鴨肉飯,Kaohsiung,Taiwan,Taiwan-side,public_web_profile,Zanzan Kaohsiung duck-rice guide,https://zanzan.tw/archives/68703,source_artifact_profile,七賢鴨肉飯創立於1950年代，至今超過七十年，是許多老高雄人的記憶座標。,low,Fifty-record top-up batch R; generated from 60-candidate source-artifact pool; existing source/date/brand keys skipped; not marker-split.,SRC_BATCH_R_008,candidate,Taiwan-side,七賢鴨肉飯創立於1950年代，至今超過七十年，是許多老高雄人的記憶座標。,鴨肉飯,Taiwan,,,https://zanzan.tw/archives/68703,6d43b15816b2b495,BATCH_R_008,1,1.0000,0.0000,1,七賢鴨肉飯,primary,1.2000,dated archive/newspaper/registry-like source,,,1.0600,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context
MERGED_542a192369fffd,1950,1950-01-01,1946-1987_taiwan_side_formation,小公園擔仔麵,Tainan,Taiwan,Taiwan-side,official_tourism_profile,台南旅遊網,https://www.twtainan.net/zh-tw/shop/consume/1483/,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1950 小公園擔仔麵 dated public source event anchors the food sign 擔仔麵;肉燥 府城擔仔麵 || 1950 小公園擔仔麵 dish wording binds local food item to Taiwaneseness corpus 擔仔麵;肉燥 府城擔仔麵 || 1950 小公園擔仔麵 store service format records circulation context 擔仔麵;肉燥 府城擔仔麵 || 1950 小公園擔仔麵 urban memory and place geography support historical binding 擔仔麵;肉燥 府城擔仔麵,low,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_006_A,candidate,Taiwan-side,Tainan Xiaogongyuan danzai noodles profile links danzai noodle service to rouzao and shrimp-head broth,擔仔麵;肉燥,府城擔仔麵,,,https://www.twtainan.net/zh-tw/shop/consume/1483/,cc267f64d32cc293,BULK_O_006_A;BULK_O_006_B;BULK_O_006_C;BULK_O_006_D,4,1.0000,0.0000,1,小公園擔仔麵,tertiary,0.2000,blog/review/social retrospective source,,,0.7600,1.0000,0.7600,1.0000,target_positive,
MERGED_6df9a941ad575a,1951,1951-01-01,1946-1987_taiwan_side_formation,ビーフン東,Tokyo,Tokyo,Japan,local_government_magazine,港区芝地区地域情報誌,https://www.city.minato.tokyo.jp/shibachikusei/shiba/koho/documents/shiba45.pdf,old_taiwan_restaurant_origin,1951 Tokyo Shinbashi Bifun Azuma old Taiwan restaurant founded signature bihun and batzang,medium,Local-government district magazine gives a specific 1951 founding year and identifies the shop as an old Taiwan restaurant.,JP_BIFUNAZUMA_1951,probable,Japan,Official Minato City district magazine says Bifun Azuma was founded in Showa 26 1951 and profiles it as a long-running Taiwan restaurant.,ビーフン;バーツァン,台湾料理,,,https://www.city.minato.tokyo.jp/shibachikusei/shiba/koho/documents/shiba45.pdf,d68ef4b989aa1f8f,JP_1951_001,1,0.7458,0.2542,3,ビーフン東,secondary,0.7000,official/media curated narrative source,,,0.7321,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context
MERGED_2164a8fb1de461,1951,1951-01-01,1946-1987_taiwan_side_formation,哈瑪星碗粿枝,Kaohsiung,Taiwan,Taiwan-side,municipal_tourism,Kaohsiung Travel old taste zone,https://khh.travel/zh-tw/event/news/4784/,old_shop_origin,ROC year 40 Kaohsiung Hamasen bowl rice cake rice paste meat juice soy sauce inherited fourth generation,medium,Relevant to meat-sauce-over-rice material culture though not named rouzao rice.,TW_KHH_WANGUEI_1951,probable,Taiwan-side,Kaohsiung old-taste page says Bowl Cake Zhi began in ROC year 40 and uses rice paste and meat juice in its sauce.,肉汁醬油,高雄哈瑪星小吃,,,https://khh.travel/zh-tw/event/news/4784/,695dbe63e32a260f,TW_KHH_1951_001,1,1.0000,0.0000,1,哈瑪星碗粿枝,tertiary,0.2000,blog/review/social retrospective source,,,0.7600,1.0000,0.7600,1.0000,target_positive,
MERGED_542b43b39d8bbb,1952,1952-01-01,1946-1987_taiwan_side_formation,ビーフン東,Tokyo,Tokyo,Japan,food_media_retrospective,Ameba Karin Diary,https://ameblo.jp/karin0321/entry-12620231263.html,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1952 ビーフン東 dated public source event anchors the food sign ビーフン;バーツァン 新橋台湾料理 || 1952 ビーフン東 dish wording binds local food item to Taiwaneseness corpus ビーフン;バーツァン 新橋台湾料理 || 1952 ビーフン東 store service format records circulation context ビーフン;バーツァン 新橋台湾料理 || 1952 ビーフン東 urban memory and place geography support historical binding ビーフン;バーツァン 新橋台湾料理,medium,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_019_A,probable,Japan,Bifun Azuma founded in Showa 27 as Shinbashi old Taiwanese rice-noodle restaurant,ビーフン;バーツァン,新橋台湾料理,,,https://ameblo.jp/karin0321/entry-12620231263.html,50578897db8cf77f,BULK_O_019_A;BULK_O_019_B;BULK_O_019_C;BULK_O_019_D,4,0.8067,0.1933,3,ビーフン東,tertiary,0.2000,blog/review/social retrospective source,,,0.6247,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context
MERGED_ed869cc90aad96,1952,1952-01-01,1946-1987_taiwan_side_formation,新珍味,Tokyo,Tokyo,Japan,food_media_retrospective,夢酔亭主人,https://ameblo.jp/musuiteisyujinn/entry-12849342808.html,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1952 新珍味 dated public source event anchors the food sign 台湾料理;ターローメン 池袋台湾料理 || 1952 新珍味 dish wording binds local food item to Taiwaneseness corpus 台湾料理;ターローメン 池袋台湾料理 || 1952 新珍味 store service format records circulation context 台湾料理;ターローメン 池袋台湾料理 || 1952 新珍味 urban memory and place geography support historical binding 台湾料理;ターローメン 池袋台湾料理,medium,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_020_A,probable,Japan,Shin Chinmi founded in Showa 27 by Su Beng and remembered as Taiwanese restaurant and activism space,台湾料理;ターローメン,池袋台湾料理,,,https://ameblo.jp/musuiteisyujinn/entry-12849342808.html,49e46b7dbf6c3584,BULK_O_020_A;BULK_O_020_B;BULK_O_020_C;BULK_O_020_D,4,1.0000,0.0000,1,新珍味,tertiary,0.2000,blog/review/social retrospective source,,,0.7600,0.0000,0.0000,0.0000,target_dish_absent_taiwan_context,target_dish_absent_taiwan_context
MERGED_0836ea2c7db890,1952,1952-01-01,1946-1987_taiwan_side_formation,廣仔肉燥飯虱目魚丸,Tainan,Taiwan,Taiwan-side,food_blog_retrospective,享受生活不無聊,https://enlifesun.com/2021-04-23-1955/,breakfast_semantics,1952 Tainan old breakfast rouzao rice with milkfish ball soup before beef soup became tourist shorthand,medium,Separate source frames rouzao rice plus fish-ball soup as old Tainan breakfast practice; founding year is attributed to online shop information.,TW_TN_GUANGZI_1952_BREAKFAST,probable,Taiwan-side,Source says old Tainan breakfast was rouzao rice with fish-ball soup and notes Guangzi was founded in 1952.,肉燥飯,老台南早餐,,,https://enlifesun.com/2021-04-23-1955/,248ceb71df16b0d0,TW_TN_1952_002,1,0.7586,0.2414,2,廣仔肉燥飯虱目魚丸,tertiary,0.2000,blog/review/social retrospective source,,,0.5910,1.0000,0.5910,1.0000,target_positive,
BATCH_R_007,1952,1952-01-01,1946-1987_taiwan_side_formation,好口味豬血湯,Kaohsiung,Taiwan,Taiwan-side,public_web_profile,iFoodie / Kaohsiung food blogs,https://ifoodie.tw/restaurant/61ee7e32baf6d35bef8a042e-%E5%A5%BD%E5%8F%A3%E5%91%B3%E8%B1%AC%E8%A1%80%E6%B9%AF,source_artifact_profile,好口味豬血湯傳承70古早味，菜色包含豬血湯、炒米粉、炒麵、肉燥飯。,low,Fifty-record top-up batch R; generated from 60-candidate source-artifact pool; existing source/date/brand keys skipped; not marker-split.,SRC_BATCH_R_007,candidate,Taiwan-side,好口味豬血湯傳承70古早味，菜色包含豬血湯、炒米粉、炒麵、肉燥飯。,肉燥飯,Taiwan,,,https://ifoodie.tw/restaurant/61ee7e32baf6d35bef8a042e-%E5%A5%BD%E5%8F%A3%E5%91%B3%E8%B1%AC%E8%A1%80%E6%B9%AF,dc1a52530fe4cb6b,BATCH_R_007,1,1.0000,0.0000,1,好口味豬血湯,tertiary,0.2000,blog/review/social retrospective source,,,0.7600,1.0000,0.7600,1.0000,target_positive,
MERGED_b72bda6a96ad0f,1952,1952-01-01,1946-1987_taiwan_side_formation,廣仔肉燥飯虱目魚丸,Tainan,Taiwan,Taiwan-side,food_blog_retrospective,用快門記錄著生活,https://ikachalife.com/34729,old_shop_origin,1952 Tainan Guangzi rouzao rice milkfish ball shop Kaishan Road breakfast rouzao rice fish skin soup old local customers,medium,Source says Guangzi rouzao rice and milkfish balls were founded in 1952 on Kaishan Road and menu includes rouzao rice.,TW_TN_GUANGZI_1952_ORIGIN,probable,Taiwan-side,Article states Guangzi rouzao rice milkfish balls was founded in 1952 on Kaishan Road and lists inexpensive rouzao rice and fish-skin soup.,肉燥飯,台南早餐小吃,,,https://ikachalife.com/34729,38aa0d56de7b1f78,TW_TN_1952_001,1,0.7586,0.2414,2,廣仔肉燥飯虱目魚丸,tertiary,0.2000,blog/review/social retrospective source,,,0.5910,1.0000,0.5910,1.0000,target_positive,
MERGED_61074f7c6dd056,1952,1952-01-01,1946-1987_taiwan_side_formation,橋仔頭黃家肉燥飯,Kaohsiung,Taiwan,Taiwan-side,municipal_tourism,Kaohsiung Travel,https://khh.travel/en/shop/gourmet/1171/,old_shop_origin|recipe_lineage|ingredient_semantics,1952 Qiaotou First Public Market braised minced pork rice third generation grandfather recipe || 1952 grandfather traditional meat thick soup mother Zhuangyuan braised pork rice second generation || braised minced pork locally sourced warm meat belly scapula hind leg golden proportion,high,Official Kaohsiung tourism page gives explicit establishment year and market location. || Same source supplies intergenerational menu lineage useful for semantic coding. || Useful for coding southern rouzao rice as meat-proportion and warm-pork discourse.,TW_QIAOTOU_HUANG_1952_ORIGIN,probable,Taiwan-side,Kaohsiung Travel says the restaurant was established in 1952 at Qiaotou First Public Market and is now third-generation. || Source links first-generation meat soup and second-generation Zhuangyuan braised pork rice as a family recipe sequence. || Source describes braised minced pork using local warm meat and a golden proportion of pork parts.,肉燥飯,高雄橋頭市場小吃;高雄地方小吃,,,https://khh.travel/en/shop/gourmet/1171/,3249b11c6beed086,TW_1952_001;TW_1952_002;TW_1952_003,3,0.7938,0.2062,3,橋仔頭黃家肉燥飯,tertiary,0.2000,blog/review/social retrospective source,,,0.6157,1.0000,0.6157,1.0000,target_positive,
MERGED_b5134d242ce520,1952,1952-01-01,1946-1987_taiwan_side_formation,橋仔頭黃家肉燥飯,Kaohsiung,Taiwan,Taiwan-side,municipal_tourism,Kaohsiung Travel old taste zone,https://khh.travel/zh-tw/event/news/4784/,old_taste_crosslisting,70 years Qiaotou Huang family Zhuangyuan rouzao rice hand cut meat seven fat three lean official old taste zone,medium,Cross-listing corroborates separate Kaohsiung Travel shop page and adds official old-taste categorization.,TW_KHH_QIAOTOU_CROSS_1952,probable,Taiwan-side,Kaohsiung old-taste page lists Qiaotou Huang family rouzao rice as a 70-year old-taste shop with Zhuangyuan rouzao rice.,肉燥飯,高雄橋頭小吃,,,https://khh.travel/zh-tw/event/news/4784/,e58c2d56cc784daf,TW_KHH_1952_005,1,0.8150,0.1850,3,橋仔頭黃家肉燥飯,tertiary,0.2000,blog/review/social retrospective source,,,0.6305,1.0000,0.6305,1.0000,target_positive,
MERGED_0e09ca8d51fbab,1952,1952-01-01,1946-1987_taiwan_side_formation,黃家肉燥飯仁武店,Kaohsiung,Taiwan,Taiwan-side,municipal_tourism,Kaohsiung Travel old taste zone,https://khh.travel/zh-tw/event/news/4784/,branch_family_ecology,70 years Huang family rouzao rice Renwu Zhuangyuan rouzao rice hand cut pork belly shoulder hind leg seven fat three lean,medium,Official municipal page records a related Huang-family rouzao rice location; use alongside Qiaotou record but not as independent founding proof.,TW_KHH_HUANG_RENWU_1952,probable,Taiwan-side,Kaohsiung old-taste page says Huang family rouzao rice has operated for 70 years and describes hand-cut pork proportions.,肉燥飯,高雄仁武小吃,,,https://khh.travel/zh-tw/event/news/4784/,7181576de13ba8ca,TW_KHH_1952_004,1,1.0000,0.0000,2,黃家肉燥飯仁武店,tertiary,0.2000,blog/review/social retrospective source,,,0.7600,1.0000,0.7600,1.0000,target_positive,
MERGED_fb52788644dadb,1952,1952-01-01,1946-1987_taiwan_side_formation,橋仔頭黃家肉燥飯,Kaohsiung,Taiwan,Taiwan-side,municipal_tourism,Kaohsiung Travel,https://khh.travel/zh-tw/shop/gourmet/788/,old_shop_origin,1952 Kaohsiung Qiaotou first public market Huang family rouzao rice old taste meat soup champion rouzao rice Taiwanese warm pork,high,Official municipal tourism page states ROC year 41 origin in Qiaotou First Public Market and explicitly names Zhuangyuan rouzao rice and recommended rouzao rice.,TW_KHH_HUANGJIA_1952,probable,Taiwan-side,Kaohsiung Travel says Huang family rouzao rice began in ROC year 41 in Qiaotou First Public Market and continued old-taste meat soup and Zhuangyuan rouzao rice into the third generation.,肉燥飯,高雄橋頭市場小吃,,,https://khh.travel/zh-tw/shop/gourmet/788/,3d9c8b2fc1b58534,TW_KHH_1952_001,1,0.7435,0.2565,3,橋仔頭黃家肉燥飯,tertiary,0.2000,blog/review/social retrospective source,,,0.5804,1.0000,0.5804,1.0000,target_positive,
MERGED_537bbb302e2a05,1952,1952-01-01,1946-1987_taiwan_side_formation,小南碗粿,Tainan,Taiwan,Taiwan-side,official_tourism_profile,台南旅遊網,https://www.twtainan.net/zh-tw/shop/consume/1077/,old_shop_origin|rouzao_kueh_style,1952 Tainan Xiaonan bowl rice cake East Gate Roundabout snack city old shop origin || 1952 Tainan city bowl rice cake rouzao style meat sauce dark soy color Xiaonan,medium,Official tourism page gives exact ROC year 41 founding in the East Gate Roundabout snack cluster. || Official page contrasts Tainan city bowl-rice-cake practice as meat-sauce style and ties Xiaonan to that city tradition.,TW_XIAONAN_BOWLCAKE_1952_ORIGIN,probable,Taiwan-side,Official page says first-generation Zheng Zhenfu opened Xiaonan bowl rice cake in the East Gate Roundabout snack city in ROC year 41. || Official page says Tainan city bowl rice cake was the rouzao style with meat-sauce aroma and soy color and then traces Xiaonan's lineage from that milieu.,碗粿;肉燥,台南東門圓環小吃;台南肉燥粿,,,https://www.twtainan.net/zh-tw/shop/consume/1077/,840f476b7e742693,TW_TN_1952_003;TW_TN_1952_004,2,0.8154,0.1846,2,小南碗粿,tertiary,0.2000,blog/review/social retrospective source,,,0.6308,1.0000,0.6308,1.0000,target_positive,
