attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref,dedupe_key,merged_from_attestation_ids,merged_row_count,novelty_score,avg_text_similarity,novelty_group_size,novelty_group_key,authority_level,authority_weight,authority_reason,analysis_weight,historical_binding_raw,weighted_historical_binding,negative_type
MERGED_a385705c9f2112,1976,1976-04-10,1946-1987_taiwan_side_formation,Taiwan Porridge Restaurant,Singapore,,,newspaper_archive,NewspaperSG / The Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19760410-1,overseas_taiwan_porridge_ad,Taiwan Porridge Restaurant Singapore advertisement,,Comparative Singapore Taiwan-porridge ad.,NEWSG_ST_19760410,probable,Singapore,Advertisement references Taiwan Porridge Rest.,,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19760410-1,07cf85b7137c755a,SG_1976_001,1,0.6840,0.3160,4,Taiwan Porridge Restaurant,primary,1.0000,dated archive/newspaper/registry-like source,0.8388,0.0000,0.0000,taiwan_only
MERGED_9f88ea884ca348,1977,1977-08-01,1946-1987_taiwan_side_formation,Peng Garden Restaurant,New York,New York,North America,book_secondary,From Canton Restaurant to Panda Express / web text,https://dokumen.pub/from-canton-restaurant-to-panda-express-a-history-of-chinese-food-in-the-united-states-9780813574776.html,taiwan_immigrant_operator_history,1977 Peng Garden Restaurant New York Taiwan president Ma Ying-jeou married there exchange students Hunan restaurant,medium,Uses book secondary text and anecdotal claim; should be checked against NYT or marriage records before strong inference.,US_PENG_GARDEN_1977,probable,North America,Book text notes Peng Garden Restaurant in New York and an alleged 1977 Taiwan-student social connection.,,Taiwan migrant social field,Taiwan-origin operator,Taiwan,https://dokumen.pub/from-canton-restaurant-to-panda-express-a-history-of-chinese-food-in-the-united-states-9780813574776.html,0f85883eee53aab6,US_1977_001,1,1.0000,0.0000,1,Peng Garden Restaurant,secondary,0.7000,default secondary classification,0.9100,0.0000,0.0000,taiwan_only
MERGED_416ee04a63646e,1977,1977-05-29,1946-1987_taiwan_side_formation,Taiwan Porridge,Singapore,,,newspaper_archive,NewspaperSG / New Nation,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19770529-1,overseas_taiwan_porridge_ad,Taiwan porridge Chinese dishes Singapore restaurant advertisement,,Comparative Singapore Taiwan-porridge ad.,NEWSG_NEWNATION_19770529,probable,Singapore,Advertisement lists Chinese dishes and Taiwan porridge.,,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19770529-1,316a8c261652b825,SG_1977_001,1,0.8176,0.1824,9,Taiwan Porridge,primary,1.0000,dated archive/newspaper/registry-like source,0.9323,0.0000,0.0000,taiwan_only
MERGED_cc54d10aff6bf3,1978,1978-08-04,1946-1987_taiwan_side_formation,Taiwan Porridge,Singapore,,,newspaper_archive,NewspaperSG / New Nation,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19780804-1,overseas_taiwan_porridge_ad,Taiwan porridge quick lunch Sin Sin Restaurant Singapore,,Comparative Singapore Taiwan-porridge ad.,NEWSG_NEWNATION_19780804,probable,Singapore,Sin Sin Restaurant advertises quick lunch and Taiwan porridge.,,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newnation19780804-1,bd39e42ec475429b,SG_1978_001,1,0.8922,0.1078,9,Taiwan Porridge,primary,1.0000,dated archive/newspaper/registry-like source,0.9845,0.0000,0.0000,taiwan_only
MERGED_ff5d8e45fbb695,1978,,1946-1987_taiwan_side_formation,Taiwanese restaurants in Flushing,New York,New York,North America,academic_publication_record,Taipei Medical University,https://hub.tmu.edu.tw/en/publications/when-little-island-cuisine-encountered-chinese-food-the-evolution-2/,taiwanese_cuisine_secondary,Taiwanese cuisine New York Flushing 1970 present Chinese food Little Island cuisine,high,Publication metadata only; needs chapter access for restaurant-level extraction.,US_FLUSHING_TW_CUISINE_1970S,probable,North America,Publication record identifies a chapter on Taiwanese cuisine in Flushing from 1970 to present.,,Taiwanese cuisine,,,https://hub.tmu.edu.tw/en/publications/when-little-island-cuisine-encountered-chinese-food-the-evolution-2/,be50aba142736e5e,US_1970S_002,1,1.0000,0.0000,1,Taiwanese restaurants in Flushing,secondary,0.7000,default secondary classification,0.9100,0.0000,0.0000,taiwan_only
MERGED_41653e630ac756,1980,,1946-1987_taiwan_side_formation,夜来香,Tokyo,,,food_media_retrospective,Annju's Chillaxing Life,https://chillaxing-life.com/yelaixiang/,overseas_taiwanese_restaurant,Tokyo Nishi-Shinjuku 夜来香 1980 founded Taiwanese restaurant 台湾料理,,Retrospective food blog; needs Japanese newspaper/registry corroboration.,JP_YELAI_1980,probable,Japan,"Retrospective source describes Nishi-Shinjuku 夜来香 as a Taiwanese restaurant founded in 1980, with some claims of older tradition.",,台湾料理,,,https://chillaxing-life.com/yelaixiang/,e65e0c52c3837beb,JP_1980_001,1,0.7273,0.2727,2,夜来香,tertiary,0.4000,blog/review/social retrospective source,0.5691,0.0000,0.0000,taiwan_only
MERGED_c224ab5750b395,1980,,1946-1987_taiwan_side_formation,The New Formosa Restaurant,Petaling Jaya,,,restaurant_listing_retrospective,Unilocal,https://unilocal.net/malaysia/petaling-jaya/the-new-formosa-restaurant,overseas_taiwanese_restaurant,The New Formosa Restaurant Petaling Jaya 1980 authentic Taiwanese cuisine,,Retrospective listing; needs Malaysian newspaper/business corroboration.,MY_FORMOSA_1980,probable,Malaysia,Listing states The New Formosa Restaurant opened in 1980 and served authentic Taiwanese cuisine.,,Taiwanese cuisine,,,https://unilocal.net/malaysia/petaling-jaya/the-new-formosa-restaurant,e3387d53ad667255,MY_1980_001,1,1.0000,0.0000,1,The New Formosa Restaurant,tertiary,0.4000,blog/review/social retrospective source,0.7600,0.0000,0.0000,taiwan_only
MERGED_e4943d837e4dab,1980,,1946-1987_taiwan_side_formation,老李グループ,Nagasaki,,,official_company_profile,老李グループ・ジャパン,https://www.laolee.jp/company_profile/,overseas_taiwanese_restaurant_company,老李グループ 1980 創業 台湾料理専門店 Japan Nagasaki Taiwanese restaurant,,Official company profile; good comparative Japan record.,JP_LAOLEE_1980,probable,Japan,Company profile gives founding as Showa 55 / 1980 and identifies the company as a Taiwanese cuisine restaurant group.,,台湾料理,taiwan_capital,Taiwan-origin restaurant group,https://www.laolee.jp/company_profile/,a6c1ec8edbb55f60,JP_1980_002,1,1.0000,0.0000,1,老李グループ,secondary,0.7000,default secondary classification,0.9100,0.0000,0.0000,taiwan_only
MERGED_e40e5c2d31e36e,1981,,1946-1987_taiwan_side_formation,龍の髭,Tokyo,,,local_business_media,シブヤ経済新聞,https://www.shibukei.com/headline/10013/,overseas_taiwanese_restaurant,Shibuya Tokyo 龍の髭 1981 Taiwanese restaurant 台湾料理屋台 predecessor,,Local business media retrospective; useful for Japan 1980s Taiwanese restaurantization.,JP_RYUNOHIGE_1981,probable,Japan,Source says Shibuya Taiwanese restaurant 龍の髭 opened in 1981 and had a Taiwanese food-stall predecessor.,,台湾料理,,,https://www.shibukei.com/headline/10013/,3042096ecec5323c,JP_1981_001,1,1.0000,0.0000,1,龍の髭,secondary,0.7000,default secondary classification,0.9100,0.0000,0.0000,taiwan_only
MERGED_7cd21411d891ea,1982,1982-03-21,1946-1987_taiwan_side_formation,Taiwan Porridge,Singapore,,,newspaper_archive,NewspaperSG / The Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19820321-1,overseas_taiwan_porridge_review,Taiwan porridge light meal snack Goodwood Park Hotel Singapore,,Comparative Singapore Taiwan-porridge review.,NEWSG_ST_19820321,probable,Singapore,Article titled Taiwan porridge as a light meal or snack.,,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19820321-1,a895bfb377a33857,SG_1982_001,1,0.9172,0.0828,9,Taiwan Porridge,primary,1.0000,dated archive/newspaper/registry-like source,1.0020,0.0000,0.0000,taiwan_only
MERGED_9bf7c9d08a1eab,1982,1982-09-23,1946-1987_taiwan_side_formation,Taiwan Porridge,Singapore,,,newspaper_archive,NewspaperSG / The Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19820923-1,overseas_taiwan_porridge_ad,Authentic Taiwan porridge Goodwood Park Hotel Singapore Chinese chef,,Comparative Singapore Taiwan-porridge ad.,NEWSG_ST_19820923,probable,Singapore,Goodwood Park Hotel advertisement for authentic Taiwan porridge.,,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19820923-1,a7922ff8f51b61b3,SG_1982_002,1,0.7634,0.2366,9,Taiwan Porridge,primary,1.0000,dated archive/newspaper/registry-like source,0.8944,0.0000,0.0000,taiwan_only
MERGED_b52b6195abd754,1985,,1946-1987_taiwan_side_formation,Taiwanese food enclaves in Flushing and Monterey Park,New York / Los Angeles,,North America,encyclopedic_secondary,Taiwanese Americans,https://en.wikipedia.org/wiki/Taiwanese_Americans,taiwanese_immigrant_food_enclave,Taiwanese emigrants late 1970s early 1980s Monterey Park Little Taipei Flushing Taiwanese cuisine restaurants Taiwanese immigrant restaurateurs,low,Encyclopedic secondary source; use only as search guide and not as final analytical evidence.,US_TW_AM_ENCLAVES_1980S,candidate,North America,Source summarizes Taiwanese immigrant enclave formation and restaurant influence in late 1970s and early 1980s.,,Taiwanese cuisine,Taiwanese immigrant operator,Taiwan,https://en.wikipedia.org/wiki/Taiwanese_Americans,a62c71b25b4cb13e,US_1980S_001,1,1.0000,0.0000,1,Taiwanese food enclaves in Flushing and Monterey Park,secondary,0.7000,default secondary classification,0.9100,0.0000,0.0000,taiwan_only
MERGED_a3e1fd39b3466d,1985,,1946-1987_taiwan_side_formation,Tokyo Taiwanese restaurants,Tokyo,,,academic_secondary,東北人類学論壇 / Zhang-related Japanese literature,https://www2.sal.tohoku.ac.jp/anthropology/TAE20_2021.pdf,overseas_taiwanese_cuisine_regime,1980s Japan Taiwanese cuisine household cuisine small plates authentic Taiwan料理,,Secondary scholarly guide; use to direct Japanese archive searches.,JP_TOKYO_TAIWAN_1980S,probable,Japan,Academic/secondary source states that Taiwanese restaurants in Japan after the 1980s featured household cuisine and small-plate cuisine as authentic Taiwanese cuisine.,,Taiwanese cuisine,,,https://www2.sal.tohoku.ac.jp/anthropology/TAE20_2021.pdf,29094871762cd623,JP_1980S_001,1,1.0000,0.0000,1,Tokyo Taiwanese restaurants,secondary,0.7000,default secondary classification,0.9100,0.0000,0.0000,taiwan_only
MERGED_7a17e8733bb1b1,1986,1986-06-19,1946-1987_taiwan_side_formation,Taiwanese Porridge,Singapore,,,newspaper_archive,NewspaperSG / The Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19860619-1,overseas_taiwan_porridge_ad,Taiwanese Porridge Cockpit Hotel Singapore supper breakfast,,Comparative Singapore Taiwan-porridge ad.,NEWSG_ST_19860619,probable,Singapore,Cockpit Hotel ad lists Taiwanese porridge among supper/breakfast choices.,,Taiwanese porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19860619-1,a3d8761bf21e3780,SG_1986_001,1,0.9375,0.0625,2,Taiwanese Porridge,primary,1.0000,dated archive/newspaper/registry-like source,1.0162,0.0000,0.0000,taiwan_only
MERGED_530df2eeb07631,1987,1987-10-20,1946-1987_taiwan_side_formation,China Travel Service Taiwan compatriot reception,Multiple mainland cities,,Mainland China,newspaper_archive,People's Daily / cn.govopendata,https://cn.govopendata.com/renminribao/1987/10/20/4/,mobility_infrastructure,1987 China Travel Service 320 branches 169 tourism hotels Taiwan compatriots mainland travel reception,high,Institutional-scale mainland reception infrastructure for Taiwan visitors; not dish evidence.,CN_RMRB_19871020_CTS_TAIBAO,probable,Mainland China,People's Daily reports China Travel Service had 320 branches and 169 tourist hotels while discussing Taiwan compatriot travel.,,台胞;旅游饭店,,,https://cn.govopendata.com/renminribao/1987/10/20/4/,acfdb51b1c826d36,CN_1987_004,1,1.0000,0.0000,1,China Travel Service Taiwan compatriot reception,primary,1.0000,dated archive/newspaper/registry-like source,1.0600,0.0000,0.0000,taiwan_only
MERGED_af481a79212eeb,1987,1987-10-20,1946-1987_taiwan_side_formation,China Travel Service hotel and food-service network,Multiple mainland cities,,Mainland China,newspaper_archive,People's Daily / cn.govopendata,https://cn.govopendata.com/renminribao/1987/10/20/4/,taiwan_compatriot_travel_food_lodging_capacity,1987 China Travel Service 320 branches 169 hotels 50 car companies food lodging travel shopping services for Taiwan compatriots,high,Capacity row distinct from the earlier CTS reception record; captures nationwide food/lodging service infrastructure.,CN_RMRB_19871020_CTS_SERVICE_CAPACITY,probable,Mainland China,People's Daily quotes CTS as having 320 branches 169 tourist hotels and enough capacity to provide Taiwan compatriots with eating lodging travel touring and shopping services.,,台胞;吃住行游购;旅游饭店,,,https://cn.govopendata.com/renminribao/1987/10/20/4/,722bd00c3781142d,CN_1987_013,1,1.0000,0.0000,1,China Travel Service hotel and food-service network,primary,1.0000,dated archive/newspaper/registry-like source,1.0600,0.0000,0.0000,taiwan_only
MERGED_906683bfeb9197,1987,1987-10-20,1946-1987_taiwan_side_formation,Hong Kong CTS Taiwan compatriot transit service,Hong Kong / Mainland transit,,Mainland China,newspaper_archive,People's Daily / cn.govopendata,https://cn.govopendata.com/renminribao/1987/10/20/4/,taiwan_compatriot_hotel_room_booking_transit,1987 Hong Kong China Travel Service Taiwan compatriots transit documents airplane train ship tickets hotel room booking mainland travel,medium,Transit-gateway record; useful because Hong Kong mediated mainland hotel-room booking for Taiwan visitors before direct links.,CN_RMRB_19871020_HK_CTS_HOTEL_BOOKING,probable,Mainland China,People's Daily says Hong Kong CTS could help Taiwan compatriots with travel documents and book plane train ship tickets and hotel rooms for mainland trips.,,台胞;饭店房间;香港中旅,,,https://cn.govopendata.com/renminribao/1987/10/20/4/,e69dae9df3ddd8b0,CN_1987_014,1,1.0000,0.0000,1,Hong Kong CTS Taiwan compatriot transit service,primary,1.0000,dated archive/newspaper/registry-like source,1.0600,0.0000,0.0000,taiwan_only
MERGED_ad9421caeba48a,1987,1987-11-12,1946-1987_taiwan_side_formation,Beijing CTS Taiwan compatriot reception department,Beijing,Beijing,Mainland China,newspaper_archive,People's Daily / cn.govopendata,https://cn.govopendata.com/renminribao/1987/11/12/4/,taiwan_compatriot_travel_food_lodging_service,1987 Beijing China Travel Service Taiwan compatriot reception department airport rail luggage hotel booking shopping medical tourism,high,Institutional food/lodging gateway record; not cuisine-specific but part of mainland-side reception platform for Taiwan visitors.,CN_RMRB_19871112_BEIJING_CTS_DEPT,probable,Mainland China,People's Daily says Beijing CTS established a Taiwan compatriot reception department to handle transport luggage hotel reservations shopping medical services and tourism.,,台胞接待部;客房预定;购物,,,https://cn.govopendata.com/renminribao/1987/11/12/4/,5ea7e7cca636d2c9,CN_1987_009,1,1.0000,0.0000,1,Beijing CTS Taiwan compatriot reception department,primary,1.0000,dated archive/newspaper/registry-like source,1.0600,0.0000,0.0000,taiwan_only
MERGED_01e0bca471dc24,1987,1987-11-12,1946-1987_taiwan_side_formation,Beijing Taiwan compatriot reception center,Beijing,Beijing,Mainland China,newspaper_archive,People's Daily / cn.govopendata,https://cn.govopendata.com/renminribao/1987/11/12/4/,mobility_infrastructure,1987 Beijing Hadmen Hotel Taiwan compatriot reception center dining hall 800 people dance hall coffee hall service Taiwan compatriots,high,Not Taiwan cuisine; useful for tracing mainland platform/institutional reception of Taiwan-labeled mobility before commercial food signs.,CN_RMRB_19871112_BEIJING_RECEPTION,probable,Mainland China,People's Daily says Hadmen Hotel would serve as Beijing's Taiwan compatriot reception center with dining and travel services.,,台胞;饭店;餐厅,,,https://cn.govopendata.com/renminribao/1987/11/12/4/,801e297d25097657,CN_1987_002,1,1.0000,0.0000,1,Beijing Taiwan compatriot reception center,primary,1.0000,dated archive/newspaper/registry-like source,1.0600,0.0000,0.0000,taiwan_only
MERGED_6945edd9a001dc,1987,1987-11-12,1946-1987_taiwan_side_formation,Beijing designated Taiwan compatriot hotels,Beijing,Beijing,Mainland China,newspaper_archive,People's Daily / cn.govopendata,https://cn.govopendata.com/renminribao/1987/11/12/4/,taiwan_compatriot_hotel_priority_list,1987 Beijing Hotel Huadu Hotel Overseas Chinese Hotel Oriental Hotel Beiwei Hotel Xuanwumen Hotel Feixia Hotel prioritized Taiwan compatriots,high,Same People's Daily article as an existing reception-center row but a distinct brand/category and attestation type focused on the named hotel list.,CN_RMRB_19871112_BEIJING_HOTEL_LIST,probable,Mainland China,People's Daily says Beijing Hotel Huadu Hotel Overseas Chinese Hotel Oriental Hotel Beiwei Hotel Xuanwumen Hotel and Feixia Hotel would prioritize Taiwan compatriots.,,台胞;饭店优先接待,,,https://cn.govopendata.com/renminribao/1987/11/12/4/,d665007028b6ba52,CN_1987_007,1,1.0000,0.0000,1,Beijing designated Taiwan compatriot hotels,primary,1.0000,dated archive/newspaper/registry-like source,1.0600,0.0000,0.0000,taiwan_only
MERGED_42b7a23c0e57d2,1987,1987-11-12,1946-1987_taiwan_side_formation,Hadmen Hotel dining hall,Beijing,Beijing,Mainland China,newspaper_archive,People's Daily / cn.govopendata,https://cn.govopendata.com/renminribao/1987/11/12/4/,taiwan_compatriot_dining_capacity,1987 Hadmen Hotel Taiwan compatriot reception center dining hall 800 diners restaurant coffee hall food lodging services,high,Distinct from the general reception-center row because it captures explicit dining-hall capacity and food-service infrastructure.,CN_RMRB_19871112_HADMEN_DINING,probable,Mainland China,People's Daily says Hadmen Hotel had a dining hall for 800 people plus coffee hall and would provide food and lodging services to Taiwan compatriots.,,台胞接待;餐厅;食宿,,,https://cn.govopendata.com/renminribao/1987/11/12/4/,2b021bd838024928,CN_1987_008,1,1.0000,0.0000,1,Hadmen Hotel dining hall,primary,1.0000,dated archive/newspaper/registry-like source,1.0600,0.0000,0.0000,taiwan_only
MERGED_a68bca3af42e4d,1987,1987-11-03,1946-1987_taiwan_side_formation,National Tourism Bureau Taiwan compatriot hotel designation,Multiple mainland cities,,Mainland China,newspaper_archive,People's Daily / cn.govopendata,https://cn.govopendata.com/renminribao/1987/11/3/4/,taiwan_compatriot_designated_hotel_policy,1987 National Tourism Bureau designated hotels by grade in key cities for Taiwan compatriot lodging reception,high,Policy-level record for designated hotel infrastructure; complements but does not duplicate the existing general travel reception row.,CN_RMRB_19871103_DESIGNATED_HOTELS,probable,Mainland China,People's Daily says tourism departments would designate several hotels of different grades in key cities to receive Taiwan compatriots.,,台胞;指定饭店;住宿,,,https://cn.govopendata.com/renminribao/1987/11/3/4/,7896bf827d97e6dc,CN_1987_010,1,1.0000,0.0000,1,National Tourism Bureau Taiwan compatriot hotel designation,primary,1.0000,dated archive/newspaper/registry-like source,1.0600,0.0000,0.0000,taiwan_only
