candidate_id,priority,period,region,source_type,source_name,query_or_target,status,expected_attestations,notes
CAND_014,high,1988-2001_cross_strait_mobility,Shanghai/YRD,business_registry,工商/企查查/天眼查,"仙踪林 上海 1996; 永和豆浆 上海; 台资餐饮",not_started,8,"Ownership/capital verification."
CAND_015,high,1988-2001_cross_strait_mobility,North China,business_registry,工商/企查查/天眼查,"呷哺呷哺 1998 西单 台资",not_started,5,"Taiwan-capital comparator."
CAND_016,medium,1988-2001_cross_strait_mobility,PRD,newspaper_archive,南方都市报/广州日报 archive,"台湾小吃 OR 台式奶茶 OR 台湾菜, 1990-2001",not_started,5,"Avoid Shanghai-only bias."
CAND_017,high,2002-2013_taiwan_capital_gateway,Shanghai/YRD,newspaper_archive,上海本地报刊,"一茶一坐 OR 台湾餐饮 OR 台味, 2002-2013",not_started,8,"Shanghai gateway."
CAND_018,high,2002-2013_taiwan_capital_gateway,Shanghai/YRD,event_media,世博2010 archive,"台式卤肉饭 OR 台味 OR 台湾正宗 OR 台湾美食, 2010",not_started,6,"Expo as public event platform."
CAND_019,high,2002-2013_taiwan_capital_gateway,Shanghai/YRD,platform_archive,Dianping/Wayback,"台湾菜 上海 卤肉饭, 2005-2013",not_started,8,"Fragile but important platform layer."
CAND_020,medium,2002-2013_taiwan_capital_gateway,North China,media_archive,北京商报/北京晚报,"台湾菜 北京 OR 台式卤肉饭 北京, 2002-2013",not_started,5,"North China comparison."
CAND_021,medium,2002-2013_taiwan_capital_gateway,Fujian/cross-strait,media_archive,厦门日报/福州晚报,"台湾小吃 OR 台湾菜 OR 卤肉饭, 2002-2013",not_started,5,"Cross-strait southeast corridor."
CAND_022,high,2014-2020_pre_wanghong_platformization,Shanghai/YRD,platform_listing,Dianping/Apple Maps/Trip.com,"台湾卤肉饭 上海 OR 台式卤肉饭 上海, 2014-2020",not_started,10,"Core pre-wanghong mainland cases."
CAND_023,high,2014-2020_pre_wanghong_platformization,Shanghai/YRD,food_media,上海 food blogs/media,"台湾古早味 卤肉饭 上海; 红猪卤肉饭; 阿勇鲁肉饭",not_started,8,"Food-media visibility."
CAND_024,medium,2014-2020_pre_wanghong_platformization,North China,platform_listing,Dianping/Apple Maps,"台湾卤肉饭 北京 OR 台式卤肉饭 北京, 2014-2020",not_started,6,"Regional comparison."
CAND_025,medium,2014-2020_pre_wanghong_platformization,PRD,platform_listing,Dianping/Apple Maps,"台湾卤肉饭 深圳 OR 广州, 2014-2020",not_started,6,"Coastal comparison."
CAND_026,medium,2014-2020_pre_wanghong_platformization,Fujian/cross-strait,platform_listing,Dianping/Apple Maps,"台湾卤肉饭 厦门 OR 福州, 2014-2020",not_started,6,"Cross-strait corridor comparison."
CAND_027,medium,2014-2020_pre_wanghong_platformization,Central/inland,platform_listing,Dianping/Apple Maps,"台湾卤肉饭 武汉 OR 成都 OR 郑州, 2014-2020",not_started,6,"Inland pre-boom check."
CAND_028,high,2014-2020_pre_wanghong_platformization,Shanghai/YRD,retail_media,retail/China Daily/local media,"台湾风味 卤肉 大润发 OR 台湾卤肉饭 味道, 2014-2020",not_started,5,"Retail flavor commodification."
CAND_029,medium,2014-2020_pre_wanghong_platformization,Taiwan-side,official_brand_timeline,鬍鬚張/other brands,"外送平台 OR APP OR KIOSK OR 數位支付 魯肉飯, 2014-2020",not_started,5,"Taiwan-side platformization."
CAND_030,medium,2014-2020_pre_wanghong_platformization,national,academic_database,Airiti/CNKI,"魯肉飯 OR 滷肉飯 OR 台灣小吃 OR 台菜, 2014-2020",not_started,5,"Academic/cultural discourse."
