period,five_year_bin,corridor,semantic_family,taiwan_marker_frame,discourse_frame,row_count,weight_sum,binding_index,positive_rate_weighted,positive_rate_rows,primary_rows,secondary_rows,tertiary_rows,unique_sources,first_year,last_year
1946-1987_taiwan_side_formation,1945,Taiwan-side,lurou_rouzao_core,explicit_taiwan,official_event_or_open_data,1,0.76,1.0,1.0,1.0,0,0,1,1,1949,1949
1946-1987_taiwan_side_formation,1945,Taiwan-side,lurou_rouzao_core,explicit_taiwan,other_discourse,1,0.76,1.0,1.0,1.0,0,0,1,1,1947,1947
1946-1987_taiwan_side_formation,1945,Taiwan-side,other_food_or_memory,explicit_taiwan,official_event_or_open_data,1,0.76,1.0,1.0,1.0,0,0,1,1,1946,1946
1946-1987_taiwan_side_formation,1945,Taiwan-side,other_food_or_memory,explicit_taiwan,official_tourism_memory,2,1.52,1.0,1.0,1.0,0,0,2,2,1946,1949
1946-1987_taiwan_side_formation,1945,Taiwan-side,rice_meal_general,explicit_taiwan,official_tourism_memory,2,1.52,1.0,1.0,1.0,0,0,2,2,1946,1947
1946-1987_taiwan_side_formation,1945,Taiwan-side,street_snack_xiaochi,explicit_taiwan,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1946,1946
1946-1987_taiwan_side_formation,1945,Taiwan-side,street_snack_xiaochi,south_taiwan_place,other_discourse,1,0.76,1.0,1.0,1.0,0,0,1,1,1946,1946
1946-1987_taiwan_side_formation,1945,Taiwan-side,taiwanese_cuisine_label,explicit_taiwan,official_event_or_open_data,1,0.76,1.0,1.0,1.0,0,0,1,1,1949,1949
1940-1987_taiwan_side_formation,1945,Taiwan-side,tea_drink_breakfast,south_taiwan_place,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1947,1947
1946-1987_taiwan_side_formation,1945,Taiwan-side,tea_drink_breakfast,explicit_taiwan,official_event_or_open_data,1,0.76,1.0,1.0,1.0,0,0,1,1,1946,1946
1946-1987_taiwan_side_formation,1945,Taiwan-side,tea_drink_breakfast,south_taiwan_place,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1946,1946
1946-1987_taiwan_side_formation,1950,Japan,taiwanese_cuisine_label,explicit_taiwan,other_discourse,1,0.7321,1.0,1.0,1.0,0,1,0,1,1951,1951
1946-1987_taiwan_side_formation,1950,Japan,taiwanese_cuisine_label,explicit_taiwan,consumer_or_retrospective_web,2,1.3847,1.0,1.0,1.0,0,0,2,2,1952,1952
1946-1987_taiwan_side_formation,1950,Taiwan-side,lurou_rouzao_core,explicit_taiwan,consumer_or_retrospective_web,2,1.52,1.0,1.0,1.0,0,0,2,2,1952,1954
1946-1987_taiwan_side_formation,1950,Taiwan-side,lurou_rouzao_core,explicit_taiwan,official_tourism_memory,4,2.8604000000000003,1.0,1.0,1.0,0,0,4,4,1950,1952
1946-1987_taiwan_side_formation,1950,Taiwan-side,lurou_rouzao_core,south_taiwan_place,consumer_or_retrospective_web,4,2.4050000000000002,1.0,1.0,1.0,0,0,4,4,1952,1953
1946-1987_taiwan_side_formation,1950,Taiwan-side,lurou_rouzao_core,south_taiwan_place,official_tourism_memory,4,2.6369999999999996,1.0,1.0,1.0,0,0,4,3,1952,1952
1946-1987_taiwan_side_formation,1950,Taiwan-side,other_food_or_memory,explicit_taiwan,consumer_or_retrospective_web,1,0.76,1.0,1.0,1.0,0,0,1,1,1954,1954
1946-1987_taiwan_side_formation,1950,Taiwan-side,other_food_or_memory,south_taiwan_place,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1954,1954
1946-1987_taiwan_side_formation,1950,Taiwan-side,other_food_or_memory,explicit_taiwan,other_discourse,3,2.73,1.0,1.0,1.0,0,3,0,3,1951,1954
1946-1987_taiwan_side_formation,1950,Taiwan-side,other_food_or_memory,explicit_taiwan,official_event_or_open_data,4,3.04,1.0,1.0,1.0,0,0,4,2,1951,1954
1946-1987_taiwan_side_formation,1950,Taiwan-side,other_food_or_memory,explicit_taiwan,official_tourism_memory,4,3.04,1.0,1.0,1.0,0,0,4,1,1951,1954
1946-1987_taiwan_side_formation,1950,Taiwan-side,rice_meal_general,explicit_taiwan,other_discourse,2,1.9700000000000002,1.0,1.0,1.0,1,1,0,2,1950,1950
1946-1987_taiwan_side_formation,1950,Taiwan-side,street_snack_xiaochi,explicit_taiwan,consumer_or_retrospective_web,1,0.91,1.0,1.0,1.0,0,1,0,1,1954,1954
1946-1987_taiwan_side_formation,1950,Taiwan-side,street_snack_xiaochi,explicit_taiwan,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1950,1950
1946-1987_taiwan_side_formation,1950,Taiwan-side,street_snack_xiaochi,south_taiwan_place,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1951,1951
1946-1987_taiwan_side_formation,1950,Taiwan-side,taiwanese_cuisine_label,explicit_taiwan,other_discourse,1,0.91,1.0,1.0,1.0,0,1,0,1,1954,1954
1946-1987_taiwan_side_formation,1950,Taiwan-side,tea_drink_breakfast,south_taiwan_place,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1951,1951
1946-1987_taiwan_side_formation,1955,Japan,taiwanese_cuisine_label,explicit_taiwan,consumer_or_retrospective_web,1,0.585,1.0,1.0,1.0,0,0,1,1,1955,1955
1946-1987_taiwan_side_formation,1955,Japan,taiwanese_cuisine_label,explicit_taiwan,other_discourse,1,0.735,1.0,1.0,1.0,0,1,0,1,1955,1955
1946-1987_taiwan_side_formation,1955,North America,other_food_or_memory,explicit_taiwan,other_discourse,1,0.91,1.0,1.0,1.0,0,1,0,1,1955,1955
1946-1987_taiwan_side_formation,1955,Taiwan-side,lurou_rouzao_core,explicit_taiwan,brand_or_platform_listing,1,0.91,1.0,1.0,1.0,0,1,0,1,1956,1956
1946-1987_taiwan_side_formation,1955,Taiwan-side,lurou_rouzao_core,explicit_taiwan,official_event_or_open_data,1,0.76,1.0,1.0,1.0,0,0,1,1,1955,1955
1946-1987_taiwan_side_formation,1955,Taiwan-side,lurou_rouzao_core,other_taiwan_marker,brand_or_platform_listing,1,0.91,1.0,1.0,1.0,0,1,0,1,1955,1955
1946-1987_taiwan_side_formation,1955,Taiwan-side,lurou_rouzao_core,south_taiwan_place,brand_or_platform_listing,1,0.4254,1.0,1.0,1.0,0,1,0,1,1956,1956
1946-1987_taiwan_side_formation,1955,Taiwan-side,lurou_rouzao_core,south_taiwan_place,consumer_or_retrospective_web,1,0.76,1.0,1.0,1.0,0,0,1,1,1955,1955
1946-1987_taiwan_side_formation,1955,Taiwan-side,lurou_rouzao_core,south_taiwan_place,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1955,1955
1946-1987_taiwan_side_formation,1955,Taiwan-side,lurou_rouzao_core,south_taiwan_place,other_discourse,1,0.2754,1.0,1.0,1.0,0,0,1,1,1956,1956
1946-1987_taiwan_side_formation,1955,Taiwan-side,lurou_rouzao_core,explicit_taiwan,official_tourism_memory,2,1.52,1.0,1.0,1.0,0,0,2,2,1955,1959
1946-1987_taiwan_side_formation,1955,Taiwan-side,lurou_rouzao_core,taipei_metonym,consumer_or_retrospective_web,2,1.26,1.0,1.0,1.0,0,0,2,2,1958,1958
1946-1987_taiwan_side_formation,1955,Taiwan-side,lurou_rouzao_core,explicit_taiwan,other_discourse,4,3.7025,1.0,1.0,1.0,1,3,0,4,1958,1959
1946-1987_taiwan_side_formation,1955,Taiwan-side,lurou_rouzao_core,taipei_metonym,other_discourse,4,2.4765,1.0,1.0,1.0,0,0,4,3,1958,1958
1946-1987_taiwan_side_formation,1955,Taiwan-side,noodle_soup_general,explicit_taiwan,official_event_or_open_data,1,0.76,1.0,1.0,1.0,0,0,1,1,1958,1958
1946-1987_taiwan_side_formation,1955,Taiwan-side,noodle_soup_general,explicit_taiwan,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1958,1958
1946-1987_taiwan_side_formation,1955,Taiwan-side,other_food_or_memory,explicit_taiwan,consumer_or_retrospective_web,1,0.76,1.0,1.0,1.0,0,0,1,1,1958,1958
1946-1987_taiwan_side_formation,1955,Taiwan-side,other_food_or_memory,south_taiwan_place,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1958,1958
1946-1987_taiwan_side_formation,1955,Taiwan-side,rice_meal_general,explicit_taiwan,official_event_or_open_data,1,0.76,1.0,1.0,1.0,0,0,1,1,1959,1959
1946-1987_taiwan_side_formation,1955,Taiwan-side,street_snack_xiaochi,south_taiwan_place,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1957,1957
1946-1987_taiwan_side_formation,1960,Japan,taiwanese_cuisine_label,explicit_taiwan,brand_or_platform_listing,1,0.8322,1.0,1.0,1.0,0,1,0,1,1962,1962
1946-1987_taiwan_side_formation,1960,Japan,taiwanese_cuisine_label,explicit_taiwan,consumer_or_retrospective_web,1,0.76,1.0,1.0,1.0,0,0,1,1,1963,1963
1946-1987_taiwan_side_formation,1960,Japan,taiwanese_cuisine_label,explicit_taiwan,official_tourism_memory,1,0.6822,1.0,1.0,1.0,0,0,1,1,1960,1960
1946-1987_taiwan_side_formation,1960,Taiwan-side,lurou_rouzao_core,south_taiwan_place,brand_or_platform_listing,1,0.91,1.0,1.0,1.0,0,1,0,1,1960,1960
1950-1978_taiwan_side_popular_food,1960,Taiwan-side,lurou_rouzao_core,no_explicit_taiwan_marker,brand_or_platform_listing,1,0.8695,0.0,0.0,0.0,0,1,0,1,1960,1960
1946-1987_taiwan_side_formation,1960,Taiwan-side,lurou_rouzao_core,explicit_taiwan,other_discourse,3,2.8800000000000003,1.0,1.0,1.0,1,2,0,3,1960,1964
1946-1987_taiwan_side_formation,1960,Taiwan-side,lurou_rouzao_core,south_taiwan_place,consumer_or_retrospective_web,3,2.2800000000000002,1.0,1.0,1.0,0,0,3,3,1963,1964
1946-1987_taiwan_side_formation,1960,Taiwan-side,lurou_rouzao_core,explicit_taiwan,official_tourism_memory,6,4.557599999999999,1.0,1.0,1.0,0,1,5,5,1960,1963
1946-1987_taiwan_side_formation,1960,Taiwan-side,noodle_soup_general,explicit_taiwan,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1963,1963
1946-1987_taiwan_side_formation,1960,Taiwan-side,other_food_or_memory,explicit_taiwan,official_event_or_open_data,1,0.76,1.0,1.0,1.0,0,0,1,1,1964,1964
1946-1987_taiwan_side_formation,1960,Taiwan-side,other_food_or_memory,explicit_taiwan,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1962,1962
1946-1987_taiwan_side_formation,1960,Taiwan-side,other_food_or_memory,south_taiwan_place,official_tourism_memory,4,3.04,1.0,1.0,1.0,0,0,4,3,1962,1964
1946-1987_taiwan_side_formation,1960,Taiwan-side,street_snack_xiaochi,explicit_taiwan,consumer_or_retrospective_web,2,1.52,1.0,1.0,1.0,0,0,2,2,1960,1961
1946-1987_taiwan_side_formation,1960,Taiwan-side,taiwanese_cuisine_label,explicit_taiwan,brand_or_platform_listing,1,0.91,1.0,1.0,1.0,0,1,0,1,1964,1964
1946-1987_taiwan_side_formation,1960,Taiwan-side,tea_drink_breakfast,south_taiwan_place,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1961,1961
1946-1987_taiwan_side_formation,1965,Japan,noodle_soup_general,explicit_taiwan,other_discourse,1,0.91,1.0,1.0,1.0,0,1,0,1,1967,1967
1946-1987_taiwan_side_formation,1965,Japan,taiwanese_cuisine_label,explicit_taiwan,other_discourse,2,1.6567,1.0,1.0,1.0,0,2,0,2,1966,1968
1946-1987_taiwan_side_formation,1965,North America,taiwanese_cuisine_label,explicit_taiwan,other_discourse,1,0.91,1.0,1.0,1.0,0,1,0,1,1965,1965
1946-1987_taiwan_side_formation,1965,Taiwan-side,lurou_rouzao_core,explicit_taiwan,consumer_or_retrospective_web,1,0.76,1.0,1.0,1.0,0,0,1,1,1965,1965
1946-1987_taiwan_side_formation,1965,Taiwan-side,lurou_rouzao_core,explicit_taiwan,other_discourse,1,0.91,1.0,1.0,1.0,0,1,0,1,1969,1969
1946-1987_taiwan_side_formation,1965,Taiwan-side,lurou_rouzao_core,south_taiwan_place,archival_ad_or_news,1,1.06,1.0,1.0,1.0,1,0,0,1,1967,1967
1946-1987_taiwan_side_formation,1965,Taiwan-side,lurou_rouzao_core,south_taiwan_place,official_tourism_memory,1,0.6635,1.0,1.0,1.0,0,0,1,1,1969,1969
1946-1987_taiwan_side_formation,1965,Taiwan-side,lurou_rouzao_core,taipei_metonym,other_discourse,1,0.76,1.0,1.0,1.0,0,0,1,1,1967,1967
1946-1987_taiwan_side_formation,1965,Taiwan-side,lurou_rouzao_core,explicit_taiwan,official_tourism_memory,3,2.262,1.0,1.0,1.0,0,1,2,3,1965,1969
1946-1987_taiwan_side_formation,1965,Taiwan-side,lurou_rouzao_core,south_taiwan_place,consumer_or_retrospective_web,5,3.1801000000000004,1.0,1.0,1.0,0,0,5,5,1965,1969
1946-1987_taiwan_side_formation,1965,Taiwan-side,lurou_rouzao_core,south_taiwan_place,other_discourse,7,5.3938999999999995,1.0,1.0,1.0,0,3,4,7,1965,1969
1946-1987_taiwan_side_formation,1965,Taiwan-side,other_food_or_memory,explicit_taiwan,consumer_or_retrospective_web,1,0.76,1.0,1.0,1.0,0,0,1,1,1965,1965
1946-1987_taiwan_side_formation,1965,Taiwan-side,other_food_or_memory,explicit_taiwan,official_event_or_open_data,1,0.76,1.0,1.0,1.0,0,0,1,1,1965,1965
1946-1987_taiwan_side_formation,1965,Taiwan-side,street_snack_xiaochi,explicit_taiwan,official_event_or_open_data,1,0.76,1.0,1.0,1.0,0,0,1,1,1965,1965
1946-1987_taiwan_side_formation,1965,Taiwan-side,street_snack_xiaochi,south_taiwan_place,official_tourism_memory,2,1.3908,1.0,1.0,1.0,0,0,2,2,1967,1968
1946-1987_taiwan_side_formation,1970,Japan,taiwanese_cuisine_label,explicit_taiwan,brand_or_platform_listing,1,0.91,1.0,1.0,1.0,0,1,0,1,1973,1973
1946-1987_taiwan_side_formation,1970,North America,other_food_or_memory,explicit_taiwan,other_discourse,3,2.73,1.0,1.0,1.0,0,3,0,3,1970,1973
1946-1987_taiwan_side_formation,1970,North America,taiwan_context_without_target_dish,explicit_taiwan,other_discourse,1,0.91,0.0,0.0,0.0,0,1,0,1,1974,1974
1946-1987_taiwan_side_formation,1970,Singapore,taiwan_context_without_target_dish,explicit_taiwan,archival_ad_or_news,1,1.06,0.0,0.0,0.0,1,0,0,1,1974,1974
1946-1987_taiwan_side_formation,1970,Singapore,taiwan_porridge,explicit_taiwan,archival_ad_or_news,2,1.8,1.0,1.0,1.0,2,0,0,2,1972,1973
1946-1987_taiwan_side_formation,1970,Singapore,taiwanese_cuisine_label,explicit_taiwan,archival_ad_or_news,1,1.06,1.0,1.0,1.0,1,0,0,1,1971,1971
1946-1987_taiwan_side_formation,1970,Taiwan-side,lurou_rouzao_core,other_taiwan_marker,brand_or_platform_listing,1,0.91,1.0,1.0,1.0,0,1,0,1,1970,1970
1946-1987_taiwan_side_formation,1970,Taiwan-side,lurou_rouzao_core,south_taiwan_place,brand_or_platform_listing,1,0.91,1.0,1.0,1.0,0,1,0,1,1970,1970
1946-1987_taiwan_side_formation,1970,Taiwan-side,lurou_rouzao_core,south_taiwan_place,other_discourse,1,0.8135,1.0,1.0,1.0,0,1,0,1,1971,1971
1946-1987_taiwan_side_formation,1970,Taiwan-side,lurou_rouzao_core,taipei_metonym,brand_or_platform_listing,1,0.7208,1.0,1.0,1.0,0,1,0,1,1973,1973
1946-1987_taiwan_side_formation,1970,Taiwan-side,lurou_rouzao_core,taipei_metonym,consumer_or_retrospective_web,1,0.5708,1.0,1.0,1.0,0,0,1,1,1973,1973
1946-1987_taiwan_side_formation,1970,Taiwan-side,lurou_rouzao_core,taipei_metonym,other_discourse,1,0.9725,1.0,1.0,1.0,1,0,0,1,1971,1971
1950-1978_taiwan_side_popular_food,1970,Taiwan-side,lurou_rouzao_core,no_explicit_taiwan_marker,archival_ad_or_news,1,0.76,0.0,0.0,0.0,0,0,1,1,1973,1973
1950-1978_taiwan_side_popular_food,1970,Taiwan-side,lurou_rouzao_core,no_explicit_taiwan_marker,brand_or_platform_listing,1,0.862,0.0,0.0,0.0,0,1,0,1,1971,1971
1950-1978_taiwan_side_popular_food,1970,Taiwan-side,lurou_rouzao_core,no_explicit_taiwan_marker,other_discourse,1,0.91,0.0,0.0,0.0,0,1,0,1,1970,1970
1946-1987_taiwan_side_formation,1970,Taiwan-side,lurou_rouzao_core,explicit_taiwan,other_discourse,4,3.64,1.0,1.0,1.0,0,4,0,3,1970,1971
1946-1987_taiwan_side_formation,1970,Taiwan-side,lurou_rouzao_core,explicit_taiwan,official_tourism_memory,8,6.08,1.0,1.0,1.0,0,0,8,7,1970,1973
1946-1987_taiwan_side_formation,1970,Taiwan-side,other_food_or_memory,explicit_taiwan,consumer_or_retrospective_web,1,0.76,1.0,1.0,1.0,0,0,1,1,1970,1970
1946-1987_taiwan_side_formation,1970,Taiwan-side,other_food_or_memory,explicit_taiwan,official_event_or_open_data,1,0.76,1.0,1.0,1.0,0,0,1,1,1970,1970
1946-1987_taiwan_side_formation,1970,Taiwan-side,other_food_or_memory,explicit_taiwan,official_tourism_memory,2,1.52,1.0,1.0,1.0,0,0,2,2,1971,1973
1946-1987_taiwan_side_formation,1970,Taiwan-side,other_food_or_memory,explicit_taiwan,other_discourse,3,2.0532,1.0,1.0,1.0,0,1,2,2,1970,1972
1946-1987_taiwan_side_formation,1970,Taiwan-side,rice_meal_general,explicit_taiwan,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1970,1970
1946-1987_taiwan_side_formation,1970,Taiwan-side,street_snack_xiaochi,explicit_taiwan,other_discourse,1,0.91,1.0,1.0,1.0,0,1,0,1,1971,1971
1946-1987_taiwan_side_formation,1970,Taiwan-side,taiwanese_cuisine_label,explicit_taiwan,official_event_or_open_data,2,1.52,1.0,1.0,1.0,0,0,2,2,1971,1973
1946-1987_taiwan_side_formation,1970,unknown,taiwan_context_without_target_dish,explicit_taiwan,other_discourse,1,0.91,0.0,0.0,0.0,0,1,0,1,1970,1970
1946-1987_taiwan_side_formation,1970,unknown,taiwan_context_without_target_dish,explicit_taiwan,archival_ad_or_news,3,2.8133,0.0,0.0,0.0,3,0,0,3,1971,1972
1946-1987_taiwan_side_formation,1975,Japan,taiwanese_cuisine_label,explicit_taiwan,consumer_or_retrospective_web,1,0.91,1.0,1.0,1.0,0,1,0,1,1977,1977
1946-1987_taiwan_side_formation,1975,Japan,taiwanese_cuisine_label,explicit_taiwan,other_discourse,1,0.91,1.0,1.0,1.0,0,1,0,1,1979,1979
1946-1987_taiwan_side_formation,1975,North America,other_food_or_memory,explicit_taiwan,other_discourse,3,2.73,1.0,1.0,1.0,0,3,0,3,1975,1978
1946-1987_taiwan_side_formation,1975,North America,taiwan_context_without_target_dish,explicit_taiwan,consumer_or_retrospective_web,1,0.91,0.0,0.0,0.0,0,1,0,1,1977,1977
1946-1987_taiwan_side_formation,1975,North America,taiwan_context_without_target_dish,explicit_taiwan,other_discourse,1,0.91,0.0,0.0,0.0,0,1,0,1,1978,1978
1946-1987_taiwan_side_formation,1975,North America,taiwanese_cuisine_label,explicit_taiwan,other_discourse,1,0.91,1.0,1.0,1.0,0,1,0,1,1979,1979
1946-1987_taiwan_side_formation,1975,Singapore,taiwan_porridge,explicit_taiwan,archival_ad_or_news,8,7.384,1.0,1.0,1.0,8,0,0,7,1975,1978
1946-1987_taiwan_side_formation,1975,Singapore,taiwanese_cuisine_label,explicit_taiwan,archival_ad_or_news,5,4.3334,1.0,1.0,1.0,5,0,0,5,1976,1979
1946-1987_taiwan_side_formation,1975,Taiwan-side,lurou_rouzao_core,explicit_taiwan,consumer_or_retrospective_web,1,0.76,1.0,1.0,1.0,0,0,1,1,1975,1975
1946-1987_taiwan_side_formation,1975,Taiwan-side,lurou_rouzao_core,taipei_metonym,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1975,1975
1946-1987_taiwan_side_formation,1975,Taiwan-side,lurou_rouzao_core,taipei_metonym,other_discourse,1,0.7132,1.0,1.0,1.0,0,1,0,1,1977,1977
1979-1987_brand_formalization_and_reopening,1975,Taiwan-side,lurou_rouzao_core,no_explicit_taiwan_marker,brand_or_platform_listing,1,0.8282,0.0,0.0,0.0,0,1,0,1,1979,1979
1946-1987_taiwan_side_formation,1975,Taiwan-side,lurou_rouzao_core,explicit_taiwan,brand_or_platform_listing,2,1.82,1.0,1.0,1.0,0,2,0,2,1975,1977
1946-1987_taiwan_side_formation,1975,Taiwan-side,lurou_rouzao_core,taipei_metonym,brand_or_platform_listing,2,1.6232,1.0,1.0,1.0,0,2,0,2,1977,1979
1946-1987_taiwan_side_formation,1975,Taiwan-side,lurou_rouzao_core,explicit_taiwan,other_discourse,3,2.58,1.0,1.0,1.0,0,2,1,3,1975,1978
1946-1987_taiwan_side_formation,1975,Taiwan-side,other_food_or_memory,explicit_taiwan,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1977,1977
1946-1987_taiwan_side_formation,1975,Taiwan-side,rice_meal_general,south_taiwan_place,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1977,1977
1946-1987_taiwan_side_formation,1975,Taiwan-side,street_snack_xiaochi,explicit_taiwan,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1977,1977
1946-1987_taiwan_side_formation,1975,Taiwan-side,taiwanese_cuisine_label,explicit_taiwan,official_event_or_open_data,1,0.76,1.0,1.0,1.0,0,0,1,1,1976,1976
1946-1987_taiwan_side_formation,1975,Taiwan-side,tea_drink_breakfast,explicit_taiwan,official_event_or_open_data,1,0.76,1.0,1.0,1.0,0,0,1,1,1978,1978
1946-1987_taiwan_side_formation,1975,unknown,taiwan_context_without_target_dish,explicit_taiwan,other_discourse,1,0.91,0.0,0.0,0.0,0,1,0,1,1975,1975
1946-1987_taiwan_side_formation,1975,unknown,taiwan_context_without_target_dish,explicit_taiwan,archival_ad_or_news,5,4.678100000000001,0.0,0.0,0.0,5,0,0,5,1975,1978
1946-1987_taiwan_side_formation,1980,Japan,other_food_or_memory,explicit_taiwan,other_discourse,1,0.91,1.0,1.0,1.0,0,1,0,1,1984,1984
1946-1987_taiwan_side_formation,1980,Japan,taiwanese_cuisine_label,explicit_taiwan,brand_or_platform_listing,2,1.82,1.0,1.0,1.0,0,2,0,1,1981,1982
1946-1987_taiwan_side_formation,1980,Japan,taiwanese_cuisine_label,explicit_taiwan,consumer_or_retrospective_web,2,1.4791,1.0,1.0,1.0,0,1,1,2,1980,1980
1946-1987_taiwan_side_formation,1980,North America,other_food_or_memory,explicit_taiwan,other_discourse,2,1.4444,1.0,1.0,1.0,0,2,0,2,1984,1984
1946-1987_taiwan_side_formation,1980,Singapore,other_food_or_memory,explicit_taiwan,archival_ad_or_news,10,9.619200000000001,1.0,1.0,1.0,10,0,0,9,1980,1984
1946-1987_taiwan_side_formation,1980,Singapore,rice_meal_general,explicit_taiwan,archival_ad_or_news,9,6.5908,1.0,1.0,1.0,9,0,0,8,1980,1981
1946-1987_taiwan_side_formation,1980,Singapore,taiwan_porridge,explicit_taiwan,archival_ad_or_news,33,32.7277,1.0,1.0,1.0,31,0,2,16,1980,1984
1946-1987_taiwan_side_formation,1980,Singapore,taiwanese_cuisine_label,explicit_taiwan,archival_ad_or_news,12,10.507400000000002,1.0,1.0,1.0,12,0,0,12,1980,1984
1946-1987_taiwan_side_formation,1980,Taiwan-side,lurou_rouzao_core,explicit_taiwan,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1983,1983
1946-1987_taiwan_side_formation,1980,Taiwan-side,lurou_rouzao_core,other_taiwan_marker,consumer_or_retrospective_web,1,0.76,1.0,1.0,1.0,0,0,1,1,1981,1981
1946-1987_taiwan_side_formation,1980,Taiwan-side,lurou_rouzao_core,other_taiwan_marker,other_discourse,1,0.6159,1.0,1.0,1.0,0,0,1,1,1981,1981
1946-1987_taiwan_side_formation,1980,Taiwan-side,lurou_rouzao_core,south_taiwan_place,other_discourse,1,0.91,1.0,1.0,1.0,0,1,0,1,1980,1980
1946-1987_taiwan_side_formation,1980,Taiwan-side,lurou_rouzao_core,taipei_metonym,other_discourse,2,1.67,1.0,1.0,1.0,0,1,1,2,1980,1980
1946-1987_taiwan_side_formation,1980,Taiwan-side,lurou_rouzao_core,explicit_taiwan,other_discourse,9,8.040000000000001,1.0,1.0,1.0,1,6,2,9,1980,1982
1946-1987_taiwan_side_formation,1980,Taiwan-side,noodle_soup_general,explicit_taiwan,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1980,1980
1946-1987_taiwan_side_formation,1980,Taiwan-side,other_food_or_memory,explicit_taiwan,official_tourism_memory,1,0.76,1.0,1.0,1.0,0,0,1,1,1981,1981
1946-1987_taiwan_side_formation,1980,Taiwan-side,street_snack_xiaochi,south_taiwan_place,official_tourism_memory,1,0.6119,1.0,1.0,1.0,0,0,1,1,1980,1980
1946-1987_taiwan_side_formation,1980,Taiwan-side,taiwanese_cuisine_label,explicit_taiwan,brand_or_platform_listing,1,0.91,1.0,1.0,1.0,0,1,0,1,1984,1984
