five_year_bin,semantic_family,row_count,weight_sum,binding_index,positive_rate_weighted,positive_rate_rows,primary_rows,secondary_rows,tertiary_rows,unique_sources,first_year,last_year,share_within_time_bin
2020,street_snack_xiaochi,105,79.27499999999999,1.0,1.0,1.0,0,0,105,58,2020,2024,0.17736486486486486
2020,noodle_soup_general,15,11.399999999999999,1.0,1.0,1.0,0,0,15,7,2020,2024,0.02533783783783784
2020,rice_meal_general,15,11.7,1.0,1.0,1.0,0,2,13,11,2020,2024,0.02533783783783784
2020,tea_drink_breakfast,13,9.879999999999999,1.0,1.0,1.0,0,0,13,7,2020,2024,0.02195945945945946
2025,taiwanese_cuisine_label,216,164.15999999999997,1.0,1.0,1.0,0,0,216,212,2025,2026,0.6525679758308157
2025,other_food_or_memory,59,38.1462,1.0,1.0,1.0,0,0,59,7,2025,2026,0.1782477341389728
2025,lurou_rouzao_core,31,24.435000000000006,1.0,1.0,1.0,0,14,17,11,2025,2026,0.09365558912386707
2025,street_snack_xiaochi,13,9.879999999999999,1.0,1.0,1.0,0,0,13,6,2025,2026,0.03927492447129909
2025,tea_drink_breakfast,8,6.08,1.0,1.0,1.0,0,0,8,4,2025,2025,0.02416918429003021
2025,noodle_soup_general,2,1.9700000000000002,1.0,1.0,1.0,1,1,0,2,2026,2026,0.006042296072507553
2025,rice_meal_general,2,1.52,1.0,1.0,1.0,0,0,2,2,2025,2025,0.006042296072507553
