corridor,five_year_bin,row_count,weight_sum,binding_index,positive_rate_weighted,primary_share,tertiary_share,unique_sources,semantic_entropy,semantic_entropy_normalized,dominant_semantic_family,dominant_semantic_share
Taiwan-side,1965,25,18.6603,1.0,1.0,0.04,0.76,22,0.9161182137782959,0.5780062388614641,lurou_rouzao_core,0.8
Taiwan-side,1970,32,25.432799999999997,0.900443521751439,0.9004435217514395,0.03125,0.59375,28,1.4409328021013377,0.6205759796240538,lurou_rouzao_core,0.65625
Taiwan-side,1975,16,12.884599999999999,0.9357217142945843,0.9357217142945842,0.0,0.5,16,1.6216407621868583,0.6273362811779478,lurou_rouzao_core,0.6875
Taiwan-side,1980,22,18.377800000000004,1.0,1.0,0.045454545454545456,0.45454545454545453,22,1.5795113260786042,0.6110383905522615,lurou_rouzao_core,0.6818181818181818
Taiwan-side,1985,9,6.8635,0.7711954542143221,0.7711954542143221,0.0,0.4444444444444444,8,1.3516441151533922,0.8527924884900404,lurou_rouzao_core,0.5555555555555556
Taiwan-side,1990,5,4.6002,0.8238772227294465,0.8238772227294465,0.4,0.2,5,1.9219280948873623,0.9609640474436811,other_food_or_memory,0.4
Taiwan-side,1995,2,1.9700000000000002,1.0,1.0,0.5,0.0,2,1.0,1.0,lurou_rouzao_core,0.5
Taiwan-side,2000,16,16.1494,0.9474036187102927,0.9474036187102929,0.75,0.0625,4,1.7028195311147831,0.8514097655573916,other_food_or_memory,0.5
Taiwan-side,2005,10,9.0425,0.8050870887475808,0.8050870887475808,0.0,0.0,2,0.4689955935892812,0.4689955935892812,lurou_rouzao_core,0.9
Taiwan-side,2010,141,98.37539999999998,0.9907497199503128,0.9907497199503128,0.0070921985815602835,0.9078014184397163,8,1.9836377362858617,0.8543062727280919,lurou_rouzao_core,0.36879432624113473
Taiwan-side,2015,59,45.919499999999985,0.9464388767299295,0.9464388767299298,0.0,0.847457627118644,18,2.2391223403524423,0.866210763106919,lurou_rouzao_core,0.3559322033898305
Taiwan-side,2020,582,420.19849999999997,1.0,1.0,0.0,0.993127147766323,202,2.318853656389429,0.8259923382576306,other_food_or_memory,0.31443298969072164
Taiwan-side,2025,315,231.48119999999994,1.0,1.0,0.0,1.0,222,1.423893018334111,0.5508370113442155,taiwanese_cuisine_label,0.6857142857142857
Yangtze River Delta,1995,25,22.75,0.96,0.96,0.0,0.0,3,1.7397218324096135,0.7492574107873088,other_food_or_memory,0.6
Yangtze River Delta,2000,22,19.9376,0.9128480860284086,0.9128480860284086,0.0,0.0,7,1.3221793455166666,0.8342022886441014,street_snack_xiaochi,0.5454545454545454
Yangtze River Delta,2005,8,7.28,1.0,1.0,0.0,0.0,4,0.5435644431995964,0.5435644431995964,tea_drink_breakfast,0.875
Yangtze River Delta,2010,7,6.67,0.8635682158920539,0.8635682158920539,0.2857142857142857,0.0,4,1.8423709931771088,0.9211854965885544,lurou_rouzao_core,0.42857142857142855
Yangtze River Delta,2015,6,5.61,0.6755793226381462,0.6755793226381462,0.16666666666666666,0.0,6,0.9182958340544896,0.9182958340544896,lurou_rouzao_core,0.6666666666666666
Yangtze River Delta,2020,7,6.37,0.8571428571428571,0.8571428571428571,0.0,0.0,2,-0.0,0.0,lurou_rouzao_core,1.0
Yangtze River Delta,2025,12,10.92,1.0,1.0,0.0,0.0,4,-0.0,0.0,lurou_rouzao_core,1.0
national,2015,3,2.73,1.0,1.0,0.0,0.0,3,-0.0,0.0,lurou_rouzao_core,1.0
national,2020,2,1.82,1.0,1.0,0.0,0.0,2,-0.0,0.0,lurou_rouzao_core,1.0
unknown,1970,4,3.7233,0.0,0.0,0.75,0.0,4,-0.0,0.0,taiwan_context_without_target_dish,1.0
unknown,1975,6,5.588100000000001,0.0,0.0,0.8333333333333334,0.0,6,-0.0,0.0,taiwan_context_without_target_dish,1.0
unknown,1980,6,5.0455000000000005,0.0,0.0,0.3333333333333333,0.3333333333333333,6,-0.0,0.0,taiwan_context_without_target_dish,1.0
unknown,1985,3,2.9424,0.0,0.0,0.6666666666666666,0.0,3,-0.0,0.0,taiwan_context_without_target_dish,1.0
