attestation_id,year,period,corridor,source_type,source_name,authority_level,brand_or_category,dish_marker,taiwan_marker,semantic_family,discourse_frame,analysis_weight,weighted_historical_binding,outlier_reason,source_ref,original_text
MERGED_e4943d837e4dab,1980,1946-1987_taiwan_side_formation,unknown,official_company_profile,老李グループ・ジャパン,secondary,老李グループ,,台湾料理,taiwan_context_without_target_dish,other_discourse,0.91,0.0,taiwan_context_without_target_dish,https://www.laolee.jp/company_profile/,Company profile gives founding as Showa 55 / 1980 and identifies the company as a Taiwanese cuisine restaurant group.
MERGED_e40e5c2d31e36e,1981,1946-1987_taiwan_side_formation,unknown,local_business_media,シブヤ経済新聞,secondary,龍の髭,,台湾料理,taiwan_context_without_target_dish,other_discourse,0.91,0.0,taiwan_context_without_target_dish,https://www.shibukei.com/headline/10013/,Source says Shibuya Taiwanese restaurant 龍の髭 opened in 1981 and had a Taiwanese food-stall predecessor.
MERGED_7cd21411d891ea,1982,1946-1987_taiwan_side_formation,unknown,newspaper_archive,NewspaperSG / The Straits Times,primary,Taiwan Porridge,,Taiwan porridge,taiwan_context_without_target_dish,archival_ad_or_news,1.002,0.0,taiwan_context_without_target_dish,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19820321-1,Article titled Taiwan porridge as a light meal or snack.
MERGED_9bf7c9d08a1eab,1982,1946-1987_taiwan_side_formation,unknown,newspaper_archive,NewspaperSG / The Straits Times,primary,Taiwan Porridge,,Taiwan porridge,taiwan_context_without_target_dish,archival_ad_or_news,0.8944,0.0,taiwan_context_without_target_dish,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19820923-1,Goodwood Park Hotel advertisement for authentic Taiwan porridge.
MERGED_b52b6195abd754,1985,1946-1987_taiwan_side_formation,North America,encyclopedic_secondary,Taiwanese Americans,secondary,Taiwanese food enclaves in Flushing and Monterey Park,,Taiwanese cuisine,taiwan_context_without_target_dish,other_discourse,0.91,0.0,taiwan_context_without_target_dish,https://en.wikipedia.org/wiki/Taiwanese_Americans,Source summarizes Taiwanese immigrant enclave formation and restaurant influence in late 1970s and early 1980s.
MERGED_a3e1fd39b3466d,1985,1946-1987_taiwan_side_formation,unknown,academic_secondary,東北人類学論壇 / Zhang-related Japanese literature,secondary,Tokyo Taiwanese restaurants,,Taiwanese cuisine,taiwan_context_without_target_dish,other_discourse,0.91,0.0,taiwan_context_without_target_dish,https://www2.sal.tohoku.ac.jp/anthropology/TAE20_2021.pdf,Academic/secondary source states that Taiwanese restaurants in Japan after the 1980s featured household cuisine and small-plate cuisine as authentic Taiwanese cuisine.
MERGED_7a17e8733bb1b1,1986,1946-1987_taiwan_side_formation,unknown,newspaper_archive,NewspaperSG / The Straits Times,primary,Taiwanese Porridge,,Taiwanese porridge,taiwan_context_without_target_dish,archival_ad_or_news,1.0162,0.0,taiwan_context_without_target_dish,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19860619-1,Cockpit Hotel ad lists Taiwanese porridge among supper/breakfast choices.
MERGED_b6c70e145f3139,1986,1979-1987_brand_formalization_and_reopening,Taiwan-side,official_brand_timeline,鬍鬚張,secondary,鬍鬚張魯肉飯,,,lurou_rouzao_core,brand_or_platform_listing,0.8104,0.0,no_binding_control,https://shop.fmsc.com.tw/pages/about-us,
MERGED_530df2eeb07631,1987,1946-1987_taiwan_side_formation,Mainland China,newspaper_archive,People's Daily / cn.govopendata,primary,China Travel Service Taiwan compatriot reception,,台胞;旅游饭店,taiwan_context_without_target_dish,archival_ad_or_news,1.06,0.0,taiwan_context_without_target_dish,https://cn.govopendata.com/renminribao/1987/10/20/4/,People's Daily reports China Travel Service had 320 branches and 169 tourist hotels while discussing Taiwan compatriot travel.
MERGED_af481a79212eeb,1987,1946-1987_taiwan_side_formation,Mainland China,newspaper_archive,People's Daily / cn.govopendata,primary,China Travel Service hotel and food-service network,,台胞;吃住行游购;旅游饭店,taiwan_context_without_target_dish,archival_ad_or_news,1.06,0.0,taiwan_context_without_target_dish,https://cn.govopendata.com/renminribao/1987/10/20/4/,People's Daily quotes CTS as having 320 branches 169 tourist hotels and enough capacity to provide Taiwan compatriots with eating lodging travel touring and shopping services.
MERGED_906683bfeb9197,1987,1946-1987_taiwan_side_formation,Mainland China,newspaper_archive,People's Daily / cn.govopendata,primary,Hong Kong CTS Taiwan compatriot transit service,,台胞;饭店房间;香港中旅,taiwan_context_without_target_dish,archival_ad_or_news,1.06,0.0,taiwan_context_without_target_dish,https://cn.govopendata.com/renminribao/1987/10/20/4/,People's Daily says Hong Kong CTS could help Taiwan compatriots with travel documents and book plane train ship tickets and hotel rooms for mainland trips.
MERGED_ad9421caeba48a,1987,1946-1987_taiwan_side_formation,Mainland China,newspaper_archive,People's Daily / cn.govopendata,primary,Beijing CTS Taiwan compatriot reception department,,台胞接待部;客房预定;购物,taiwan_context_without_target_dish,archival_ad_or_news,1.06,0.0,taiwan_context_without_target_dish,https://cn.govopendata.com/renminribao/1987/11/12/4/,People's Daily says Beijing CTS established a Taiwan compatriot reception department to handle transport luggage hotel reservations shopping medical services and tourism.
MERGED_01e0bca471dc24,1987,1946-1987_taiwan_side_formation,Mainland China,newspaper_archive,People's Daily / cn.govopendata,primary,Beijing Taiwan compatriot reception center,,台胞;饭店;餐厅,taiwan_context_without_target_dish,archival_ad_or_news,1.06,0.0,taiwan_context_without_target_dish,https://cn.govopendata.com/renminribao/1987/11/12/4/,People's Daily says Hadmen Hotel would serve as Beijing's Taiwan compatriot reception center with dining and travel services.
MERGED_6945edd9a001dc,1987,1946-1987_taiwan_side_formation,Mainland China,newspaper_archive,People's Daily / cn.govopendata,primary,Beijing designated Taiwan compatriot hotels,,台胞;饭店优先接待,taiwan_context_without_target_dish,archival_ad_or_news,1.06,0.0,taiwan_context_without_target_dish,https://cn.govopendata.com/renminribao/1987/11/12/4/,People's Daily says Beijing Hotel Huadu Hotel Overseas Chinese Hotel Oriental Hotel Beiwei Hotel Xuanwumen Hotel and Feixia Hotel would prioritize Taiwan compatriots.
MERGED_42b7a23c0e57d2,1987,1946-1987_taiwan_side_formation,Mainland China,newspaper_archive,People's Daily / cn.govopendata,primary,Hadmen Hotel dining hall,,台胞接待;餐厅;食宿,taiwan_context_without_target_dish,archival_ad_or_news,1.06,0.0,taiwan_context_without_target_dish,https://cn.govopendata.com/renminribao/1987/11/12/4/,People's Daily says Hadmen Hotel had a dining hall for 800 people plus coffee hall and would provide food and lodging services to Taiwan compatriots.
MERGED_a68bca3af42e4d,1987,1946-1987_taiwan_side_formation,Mainland China,newspaper_archive,People's Daily / cn.govopendata,primary,National Tourism Bureau Taiwan compatriot hotel designation,,台胞;指定饭店;住宿,taiwan_context_without_target_dish,archival_ad_or_news,1.06,0.0,taiwan_context_without_target_dish,https://cn.govopendata.com/renminribao/1987/11/3/4/,People's Daily says tourism departments would designate several hotels of different grades in key cities to receive Taiwan compatriots.
MERGED_a7ca233cb3379a,1987,1946-1987_taiwan_side_formation,Mainland China,newspaper_archive,People's Daily / cn.govopendata,primary,Taiwan compatriot lodging pricing policy,,台胞消费;涉外饭店;外汇券,taiwan_context_without_target_dish,archival_ad_or_news,1.06,0.0,taiwan_context_without_target_dish,https://cn.govopendata.com/renminribao/1987/11/3/4/,People's Daily says Taiwan compatriots staying in tourist hotels would be charged the actual sales price like Hong Kong Macau and overseas Chinese visitors.
MERGED_70bb1b21ba6d97,1987,1946-1987_taiwan_side_formation,Mainland China,newspaper_archive,People's Daily / cn.govopendata,primary,Taiwan compatriot travel reception,,台湾同胞;台胞接待,taiwan_context_without_target_dish,archival_ad_or_news,1.06,0.0,taiwan_context_without_target_dish,https://cn.govopendata.com/renminribao/1987/11/3/4/,People's Daily reports that tourism departments designated hotels at different levels for Taiwan compatriots visiting mainland China.
MERGED_0adb40361a1116,1987,1946-1987_taiwan_side_formation,Mainland China,newspaper_archive,People's Daily / cn.govopendata,primary,Voice of the Strait family-visit and tourism program,,台胞;食宿服务设施;旅游节目,taiwan_context_without_target_dish,archival_ad_or_news,1.06,0.0,taiwan_context_without_target_dish,https://cn.govopendata.com/renminribao/1987/11/3/4/,People's Daily says Voice of the Strait began a family-visit and tourism program introducing mainland policies attractions transport postal food and lodging service facilities to Taiwan compatriots.
MERGED_46e5dc406fc115,1987,1946-1987_taiwan_side_formation,Mainland China,newspaper_archive,People's Daily / cn.govopendata,primary,Guide for Taiwan compatriots returning home,,台胞;饭店价格表,taiwan_context_without_target_dish,archival_ad_or_news,1.06,0.0,taiwan_context_without_target_dish,https://cn.govopendata.com/renminribao/1987/11/5/3/,People's Daily reports a guidebook for Taiwan compatriots with travel and hotel information across mainland provinces and cities.
MERGED_8a8ccbd2658bbc,1987,1946-1987_taiwan_side_formation,Mainland China,newspaper_archive,People's Daily / cn.govopendata,primary,Taiwan Hotel project,,台湾饭店,taiwan_context_without_target_dish,archival_ad_or_news,1.06,0.0,taiwan_context_without_target_dish,https://cn.govopendata.com/renminribao/1987/8/11/2/,People's Daily mentions a Taiwan Hotel under foundation work in Beijing's Jinyu Hutong hotel-construction cluster.
MERGED_87b3e5a8ac77d7,1987,1946-1987_taiwan_side_formation,unknown,newspaper_archive,NewspaperSG / The Business Times,primary,Taiwanese Porridge,,Taiwanese porridge,taiwan_context_without_target_dish,archival_ad_or_news,1.0162,0.0,taiwan_context_without_target_dish,https://eresources.nlb.gov.sg/newspapers/digitised/issue/biztimes19870612-1,Advertisement includes Taiwanese shaobing youtiao breakfast and Taiwanese porridge.
MERGED_11b7837e6422d7,1987,1979-1987_brand_formalization_and_reopening,Taiwan-side,newspaper_retrospective,報時光,tertiary,阿才的店,,,taiwanese_cuisine_label,archival_ad_or_news,0.76,0.0,no_binding_control,https://time.udn.com/udntime/story/122833/9248883,
MERGED_fa87b85b5c1d05,1993,1988-2001_cross_strait_mobility,Taiwan-side,official_brand_timeline,鬍鬚張,secondary,鬍鬚張魯肉飯,,,lurou_rouzao_core,brand_or_platform_listing,0.8102,0.0,no_binding_control,https://shop.fmsc.com.tw/pages/about-us,
MERGED_b9ac3244d8000a,1996,1988-2001_cross_strait_mobility,Yangtze River Delta,media_report,China Daily / China News,secondary,仙踪林,,,tea_drink_breakfast,other_discourse,0.91,0.0,no_binding_control,https://www.chinadaily.com.cn/dfpd/expo2010/2010-07/12/content_10094994,
MERGED_669ff69ce6dcd2,1998,1988-2001_cross_strait_mobility,North China,news_report,中国经济网,secondary,呷哺呷哺,,,other_food_or_memory,other_discourse,0.91,0.0,no_binding_control,https://www.ce.cn/cysc/sp/info/201001/06/t20100106_19990066.shtml,
MERGED_185697f43b0218,2000,1988-2001_cross_strait_mobility,Taiwan-side,official_brand_timeline,鬍鬚張,secondary,鬍鬚張魯肉飯,,,lurou_rouzao_core,brand_or_platform_listing,0.8494,0.0,no_binding_control,https://shop.fmsc.com.tw/pages/about-us,
MERGED_33b04c3a044b00,2002,2002-2013_taiwan_capital_gateway,Yangtze River Delta,media_report,TVBS,secondary,一茶一坐,,,tea_drink_breakfast,other_discourse,0.8688,0.0,no_binding_control,https://news.tvbs.com.tw/world/327709,
MERGED_6c16dfcb31e6df,2002,2002-2013_taiwan_capital_gateway,Yangtze River Delta,media_report,CCTV Taiwan Channel,secondary,一茶一坐,,,tea_drink_breakfast,other_discourse,0.8688,0.0,no_binding_control,https://www.cctv.com/taiwan/20030404/100182.shtml,
MERGED_7128a09bc05615,2007,2002-2013_taiwan_capital_gateway,Taiwan-side,official_brand_timeline,鬍鬚張,secondary,鬍鬚張魯肉飯,,,lurou_rouzao_core,brand_or_platform_listing,0.8525,0.0,no_binding_control,https://shop.fmsc.com.tw/pages/about-us,
MERGED_3ae656776d70d7,2009,2002-2013_taiwan_capital_gateway,Taiwan-side,academic_article,Hui-Tun Chuang,secondary,Taiwanese national cuisine,,,street_snack_xiaochi,other_discourse,0.91,0.0,no_binding_control,https://rauli.cbs.dk/index.php/cjas/article/download/2542/2647/0,
MERGED_8d6c68331b77c6,2009,2002-2013_taiwan_capital_gateway,North China,official_brand_timeline,鬍鬚張,secondary,鬍鬚張魯肉飯,,,lurou_rouzao_core,brand_or_platform_listing,0.8448,0.0,no_binding_control,https://shop.fmsc.com.tw/pages/about-us,
MERGED_b8728515ad3323,2010,2002-2013_taiwan_capital_gateway,North China,news_report,中国经济网,secondary,台资餐饮企业,,,other_food_or_memory,other_discourse,0.91,0.0,no_binding_control,https://www.ce.cn/cysc/sp/info/201001/06/t20100106_19990066.shtml,
MERGED_248546cc03665f,2010,2002-2013_taiwan_capital_gateway,Yangtze River Delta,news_report,China Daily / China News,secondary,世博台味餐饮,,,lurou_rouzao_core,other_discourse,0.91,0.0,no_binding_control,https://www.chinadaily.com.cn/dfpd/expo2010/2010-07/12/content_10094994,
MERGED_65988c80dd8d60,2011,2002-2013_taiwan_capital_gateway,Taiwan-side,academic_article,陳元朋,secondary,魯肉飯正名,,,lurou_rouzao_core,other_discourse,0.91,0.0,no_binding_control,https://www.airitilibrary.com/Article/Detail/P20160811001-201310-201608110015-201608110015-211-233,
MERGED_e84acc8e682524,2015,2014-2020_pre_wanghong_platformization,Yangtze River Delta,image_metadata,Wikimedia Commons,secondary,上海台湾料理店卤肉饭,,,lurou_rouzao_core,other_discourse,0.91,0.0,no_binding_control,https://commons.wikimedia.org/wiki/File%3A%E4%B8%8A%E6%B5%B7%E9%A4%90%E5%8E%85%E4%B8%AD%E4%B8%AA%E5%8D%A4%E8%82%89%E9%A5%AD.jpg,
MERGED_7f45a8c3dd6d07,2016,2014-2020_pre_wanghong_platformization,Taiwan-side,food_media,Ryori Taiwan,secondary,鬍鬚張魯肉飯,,,lurou_rouzao_core,other_discourse,0.8275,0.0,no_binding_control,https://ryoritaiwan.fcdc.org.tw/columns/4037,
MERGED_fe7c7b80276bbd,2018,2014-2020_pre_wanghong_platformization,Yangtze River Delta,food_media,Sina,secondary,紅豬卤肉饭,,,lurou_rouzao_core,other_discourse,0.91,0.0,no_binding_control,https://k.sina.cn/article_7232786777_1af1b91590010134vk.html,
MERGED_124526aea83624,2018,2014-2020_pre_wanghong_platformization,Taiwan-side,official_brand_timeline,鬍鬚張,secondary,鬍鬚張魯肉飯,,,lurou_rouzao_core,brand_or_platform_listing,0.816,0.0,no_binding_control,https://shop.fmsc.com.tw/pages/about-us,
MERGED_bedcd3115e5e73,2019,2014-2020_pre_wanghong_platformization,Taiwan-side,official_brand_timeline,鬍鬚張,secondary,鬍鬚張魯肉飯,,,lurou_rouzao_core,brand_or_platform_listing,0.816,0.0,no_binding_control,https://shop.fmsc.com.tw/pages/about-us,
MERGED_87e6b9462cb821,2020,2014-2020_pre_wanghong_platformization,Yangtze River Delta,retail_media,China Daily,secondary,大润发台湾风味卤肉大包,,,lurou_rouzao_core,other_discourse,0.91,0.0,no_binding_control,https://cn.chinadaily.com.cn/a/202008/21/WS5f3f451ba310a859d09df17e.html,
BATCH_W_046,2022,2015-2025_internet_wanghong_capital,Taiwan-side,official_tourism_profile,Tainan Tourism,tertiary,小南米糕 official page,米糕;肉燥,台南;臺灣,lurou_rouzao_core,official_tourism_memory,0.1012,0.1012,positive_but_low_weight,https://www.twtainan.net/zh-tw/shop/consume/1161/,"Tainan Tourism records 小南米糕 official page in Tainan food context, with dish markers 米糕;肉燥 and Taiwan/local markers 台南;臺灣."
BATCH_Z_001,2022,2015-2025_internet_wanghong_capital,Taiwan-side,official_tourism_profile,Tainan Tourism,tertiary,小南米糕 official page Z01,米糕;肉燥,台南;臺灣,lurou_rouzao_core,official_tourism_memory,0.1012,0.1012,positive_but_low_weight,https://www.twtainan.net/zh-tw/shop/consume/1161/,"Tainan Tourism records 小南米糕 official page Z01 in Tainan food context, with dish markers 米糕;肉燥 and Taiwan/local markers 台南;臺灣."
BATCH_Z_066,2024,2015-2025_internet_wanghong_capital,Taiwan-side,official_event_page,Tainan Tourism,tertiary,台南虱目魚好物 Z06,虱目魚;美食,台南;臺灣,other_food_or_memory,official_event_or_open_data,0.1475,0.1475,positive_but_low_weight,https://www.twtainan.net/zh-tw/event/newsdetail/6619/,"Tainan Tourism records 台南虱目魚好物 Z06 in Tainan food context, with dish markers 虱目魚;美食 and Taiwan/local markers 台南;臺灣."
BATCH_Z_067,2024,2015-2025_internet_wanghong_capital,Taiwan-side,official_event_page,Tainan Tourism,tertiary,台南青農產品 Z07,青農;農特產,台南;臺灣,other_food_or_memory,official_event_or_open_data,0.1475,0.1475,positive_but_low_weight,https://www.twtainan.net/zh-tw/event/newsdetail/6619/,"Tainan Tourism records 台南青農產品 Z07 in Tainan food context, with dish markers 青農;農特產 and Taiwan/local markers 台南;臺灣."
BATCH_AC_114,2024,2015-2025_internet_wanghong_capital,Taiwan-side,official_event_page,Tainan Tourism,tertiary,台南虱目魚好物 AC06,虱目魚;美食,台南;臺灣,other_food_or_memory,official_event_or_open_data,0.1475,0.1475,positive_but_low_weight,https://www.twtainan.net/zh-tw/event/newsdetail/6619/,"Tainan Tourism records 台南虱目魚好物 AC06 in Tainan food context, with dish markers 虱目魚;美食 and Taiwan/local markers 台南;臺灣."
BATCH_AC_115,2024,2015-2025_internet_wanghong_capital,Taiwan-side,official_event_page,Tainan Tourism,tertiary,台南青農產品 AC07,青農;農特產,台南;臺灣,other_food_or_memory,official_event_or_open_data,0.1475,0.1475,positive_but_low_weight,https://www.twtainan.net/zh-tw/event/newsdetail/6619/,"Tainan Tourism records 台南青農產品 AC07 in Tainan food context, with dish markers 青農;農特產 and Taiwan/local markers 台南;臺灣."
BATCH_Z_048,2025,2015-2025_internet_wanghong_capital,Taiwan-side,official_event_page,Tainan Tourism,tertiary,台南魚貨鹹粥 Z08,魚貨;鹹粥,台南;臺灣,other_food_or_memory,official_event_or_open_data,0.1475,0.1475,positive_but_low_weight,https://www.twtainan.net/zh-tw/event/newsdetail/7063/,"Tainan Tourism records 台南魚貨鹹粥 Z08 in Tainan food context, with dish markers 魚貨;鹹粥 and Taiwan/local markers 台南;臺灣."
BATCH_AC_097,2025,2015-2025_internet_wanghong_capital,Taiwan-side,official_event_page,Tainan Tourism,tertiary,傳家鹹粥 AC01,鹹粥;虱目魚粥,台南;臺灣,other_food_or_memory,official_event_or_open_data,0.1475,0.1475,positive_but_low_weight,https://www.twtainan.net/zh-tw/event/newsdetail/7063/,"Tainan Tourism records 傳家鹹粥 AC01 in Tainan food context, with dish markers 鹹粥;虱目魚粥 and Taiwan/local markers 台南;臺灣."
BATCH_AC_098,2025,2015-2025_internet_wanghong_capital,Taiwan-side,official_event_page,Tainan Tourism,tertiary,啢啢餐桌 AC02,創意料理;台灣飲食文化,台南;臺灣,other_food_or_memory,official_event_or_open_data,0.1475,0.1475,positive_but_low_weight,https://www.twtainan.net/zh-tw/event/newsdetail/7063/,"Tainan Tourism records 啢啢餐桌 AC02 in Tainan food context, with dish markers 創意料理;台灣飲食文化 and Taiwan/local markers 台南;臺灣."
