attestation_id,corridor,period,source_type,authority_level,authority_weight,novelty_score,analysis_weight,historical_binding_raw,weighted_historical_binding
MERGED_a7ca233cb3379a,Mainland China,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,0.0,0.0
MERGED_70bb1b21ba6d97,Mainland China,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,0.0,0.0
MERGED_0adb40361a1116,Mainland China,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,0.0,0.0
MERGED_46e5dc406fc115,Mainland China,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,0.0,0.0
MERGED_8a8ccbd2658bbc,Mainland China,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,0.0,0.0
MERGED_e84acc8e682524,Yangtze River Delta,2014-2020_pre_wanghong_platformization,image_metadata,secondary,0.7,1.0,0.91,0.0,0.0
MERGED_f26b5724ee2df1,Taiwan-side,1940-1987_taiwan_side_formation,cultural_city_file,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_2c5885520c4102,Japan,1946-1987_taiwan_side_formation,food_history_feature,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_48c82dcd6a3592,Japan,1946-1987_taiwan_side_formation,food_history_feature,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_dd9b15bffa0d79,Japan,1946-1987_taiwan_side_formation,food_history_feature,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_9d734363991dfb,North America,1946-1987_taiwan_side_formation,book_secondary,secondary,0.7,1.0,0.91,0.0,0.0
MERGED_9f88ea884ca348,North America,1946-1987_taiwan_side_formation,book_secondary,secondary,0.7,1.0,0.91,0.0,0.0
MERGED_b52b6195abd754,North America,1946-1987_taiwan_side_formation,encyclopedic_secondary,secondary,0.7,1.0,0.91,0.0,0.0
MERGED_5799194db4edaf,North America,1946-1987_taiwan_side_formation,encyclopedic_secondary,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_0836ea2c7db890,Taiwan-side,1946-1987_taiwan_side_formation,food_blog_retrospective,tertiary,0.2,0.7586,0.591,1.0,0.591
MERGED_f4dd87983adfda,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_5d55179ab33b70,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_4496349ba19841,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_4ec6de31c56919,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_2c316aacbc8e41,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_87b3e5a8ac77d7,unknown,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.9375,1.0162,0.0,0.0
MERGED_0eaaaae1370547,unknown,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,0.0,0.0
MERGED_75337829cdd9d7,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_416ee04a63646e,unknown,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.8176,0.9323,0.0,0.0
MERGED_d0a14e216e44a9,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_cc54d10aff6bf3,unknown,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.8922,0.9845,0.0,0.0
MERGED_c1958728deffc3,Singapore,1987-2015_cross_strait_diffusion,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_f779aef1a6a0d4,Singapore,1987-2015_cross_strait_diffusion,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_e89748e57b352c,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_a6d0ebdd5fda15,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.8223,0.9356,1.0,0.9356
MERGED_e9aeaae4299eb0,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.6742,0.8319,1.0,0.8319
MERGED_96b1279bf20513,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_672c2291c0d770,unknown,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.7266,0.8686,0.0,0.0
MERGED_f462e3b4619a77,unknown,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.7495,0.8847,0.0,0.0
MERGED_6d6d4b3608caa3,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,0.0,0.0
MERGED_28267deb61c2cc,unknown,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.7179,0.8625,0.0,0.0
MERGED_42571e3b674c74,unknown,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,0.0,0.0
MERGED_75f94dccec9988,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_a385705c9f2112,unknown,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.684,0.8388,0.0,0.0
MERGED_f257d801927104,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.851,0.9557,1.0,0.9557
MERGED_e35f6e09723f64,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_2e1eea28f96f90,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.4286,0.66,1.0,0.66
MERGED_df13b479c62627,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_83812c9500c473,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.4286,0.66,1.0,0.66
MERGED_246ee81ec3d16e,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_3c821aa129d4d5,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_a243c6ac1899a1,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_7cd21411d891ea,unknown,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.9172,1.002,0.0,0.0
MERGED_2e16bef401a267,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_1df3dbb59ba7eb,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.8021,0.9215,1.0,0.9215
MERGED_a4ec21f2122f7f,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_c905cd33eb0060,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_350eb6c38b80c9,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.7732,0.9012,1.0,0.9012
MERGED_6e02795c773bd9,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.7197,0.8638,1.0,0.8638
MERGED_e6a18615c666e6,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_9bf7c9d08a1eab,unknown,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.7634,0.8944,0.0,0.0
MERGED_9fba3e979bfa75,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_85e2e4330125d3,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_2813fcd12b8ac4,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.4765,0.6935,1.0,0.6935
MERGED_18117b8ab004db,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.3872,0.631,1.0,0.631
MERGED_ad624773f6041b,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_3d4741cfb2d1d7,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_478a61544c1cf8,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.4595,0.6816,1.0,0.6816
MERGED_51007da1e1a09b,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.8884,0.9819,1.0,0.9819
MERGED_268f2aa1c18107,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.5925,0.7748,1.0,0.7748
MERGED_7a17e8733bb1b1,unknown,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.9375,1.0162,0.0,0.0
MERGED_bb5011227588c3,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_51cd1dbf882126,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_5a433ad673806b,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.3333,0.5933,1.0,0.5933
MERGED_2feaf39375e8fe,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_4c7ff311d58bba,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.3333,0.5933,1.0,0.5933
MERGED_bf9870bdf0e912,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_aee6b563a40082,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.3043,0.573,1.0,0.573
MERGED_6de11635553a7c,Singapore,1946-1987_taiwan_side_formation,newspaper_archive,primary,1.2,0.3043,0.573,1.0,0.573
MERGED_e9dfb9c20b8da6,Singapore,1987-2015_cross_strait_diffusion,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_9e8f167631ec96,Singapore,1946-1987_taiwan_side_formation,newspaper_archive_retrospective,tertiary,0.2,0.7273,0.5691,1.0,0.5691
MERGED_95c34417234d4f,Singapore,1946-1987_taiwan_side_formation,newspaper_archive_retrospective,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_60fe36c5250c55,Singapore,1987-2015_cross_strait_diffusion,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_b26064f3c089c1,Taiwan-side,1946-1987_taiwan_side_formation,local_food_media,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_5c4bf973a16874,Japan,1946-1987_taiwan_side_formation,food_media_secondary,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_c3dd3ec9d15578,Taiwan-side,1946-1987_taiwan_side_formation,municipal_accessibility_listing,secondary,0.7,0.9938,0.9057,1.0,0.9057
MERGED_62dc3536b40c27,North America,1946-1987_taiwan_side_formation,official_company_profile,secondary,0.7,0.7317,0.7222,1.0,0.7222
MERGED_999595f3362e38,Taiwan-side,1946-1987_taiwan_side_formation,restaurant_history_secondary,tertiary,0.2,0.7308,0.5716,1.0,0.5716
MERGED_0ff83978df7f11,Taiwan-side,1946-1987_taiwan_side_formation,restaurant_history_secondary,tertiary,0.2,0.7308,0.5716,1.0,0.5716
MERGED_1ec7109f1349f5,unknown,1946-1987_taiwan_side_formation,academic_secondary,secondary,0.7,1.0,0.91,0.0,0.0
MERGED_ff5d8e45fbb695,North America,1946-1987_taiwan_side_formation,academic_publication_record,secondary,0.7,1.0,0.91,0.0,0.0
MERGED_397840e97840a9,Taiwan-side,1946-1987_taiwan_side_formation,food_media_retrospective,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_406f632466dfa0,Taiwan-side,1946-1987_taiwan_side_formation,food_media_retrospective,tertiary,0.2,0.7879,0.6115,1.0,0.6115
MERGED_8904461af559ba,Taiwan-side,1946-1987_taiwan_side_formation,food_media_retrospective,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_b72bda6a96ad0f,Taiwan-side,1946-1987_taiwan_side_formation,food_blog_retrospective,tertiary,0.2,0.7586,0.591,1.0,0.591
MERGED_78bdae66139d62,Taiwan-side,1946-1987_taiwan_side_formation,food_media_retrospective,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_44dfedd421b9a7,Taiwan-side,1946-1987_taiwan_side_formation,travel_food_retrospective,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_fe7c7b80276bbd,Yangtze River Delta,2014-2020_pre_wanghong_platformization,food_media,secondary,0.7,1.0,0.91,0.0,0.0
MERGED_d15927b7c7ef41,Taiwan-side,1946-1987_taiwan_side_formation,food_blog_retrospective,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_61074f7c6dd056,Taiwan-side,1946-1987_taiwan_side_formation,municipal_tourism,tertiary,0.2,0.7938,0.6157,1.0,0.6157
MERGED_fb8aa73d0f0b21,Taiwan-side,1940-1987_taiwan_side_formation,municipal_tourism,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_2164a8fb1de461,Taiwan-side,1946-1987_taiwan_side_formation,municipal_tourism,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_b5134d242ce520,Taiwan-side,1946-1987_taiwan_side_formation,municipal_tourism,tertiary,0.2,0.815,0.6305,1.0,0.6305
MERGED_0e09ca8d51fbab,Taiwan-side,1946-1987_taiwan_side_formation,municipal_tourism,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_d6e586792540d5,Taiwan-side,1946-1987_taiwan_side_formation,municipal_tourism,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_712a883bc3f74b,Taiwan-side,1946-1987_taiwan_side_formation,municipal_tourism,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_dfc2ceb418e36f,Taiwan-side,1946-1987_taiwan_side_formation,municipal_tourism,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_76b19a0292041d,Taiwan-side,1946-1987_taiwan_side_formation,municipal_tourism,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_74b1eb0f451587,Taiwan-side,1946-1987_taiwan_side_formation,municipal_tourism,tertiary,0.2,0.8621,0.6635,1.0,0.6635
MERGED_72e10f83e0f210,Taiwan-side,1946-1987_taiwan_side_formation,official_tourism_pdf,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_11424596493419,Taiwan-side,1946-1987_taiwan_side_formation,municipal_tourism,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_2a8ebfed9f6c33,Taiwan-side,1946-1987_taiwan_side_formation,official_tourism_profile,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_1a445676570659,Taiwan-side,1946-1987_taiwan_side_formation,official_tourism_profile,tertiary,0.2,0.76,0.592,1.0,0.592
MERGED_fb52788644dadb,Taiwan-side,1946-1987_taiwan_side_formation,municipal_tourism,tertiary,0.2,0.7435,0.5804,1.0,0.5804
MERGED_bd328fdf3d5194,Taiwan-side,1946-1987_taiwan_side_formation,official_tourism_profile,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_fdc2608c1882bd,Japan,1946-1987_taiwan_side_formation,food_media_retrospective,tertiary,0.2,0.75,0.585,1.0,0.585
MERGED_918e93c2334528,Taiwan-side,1946-1987_taiwan_side_formation,food_media_retrospective,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_490e6dce203064,Taiwan-side,1946-1987_taiwan_side_formation,food_blog_retrospective,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_3cfbef67b6402e,Taiwan-side,1946-1987_taiwan_side_formation,food_media_retrospective,tertiary,0.2,0.7664,0.5965,1.0,0.5965
MERGED_eed8997ac7567a,national,2014-2020_pre_wanghong_platformization,franchise_portal,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_8ff1c968f99991,North China,1987-2015_cross_strait_diffusion,industry_association_report,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_556ed0475c3dc5,national,2014-2020_pre_wanghong_platformization,media_report,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_f940c0a9ce967f,national,2021-2025_internet_wanghong_capital,media_report,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_1c78acd3f6a48c,national,2014-2020_pre_wanghong_platformization,franchise_portal,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_ae7fd91c7d5679,North America,1946-1987_taiwan_side_formation,travel_history_article,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_73574f11e7fcd3,Taiwan-side,1946-1987_taiwan_side_formation,food_media_retrospective,tertiary,0.2,0.7941,0.6159,1.0,0.6159
MERGED_dc130c8f9cc465,Taiwan-side,1946-1987_taiwan_side_formation,food_media_retrospective,tertiary,0.2,0.7941,0.6159,1.0,0.6159
MERGED_79089476f9ae60,Japan,1946-1987_taiwan_side_formation,official_tourism_listing,tertiary,0.2,0.8889,0.6822,1.0,0.6822
MERGED_6f6774f3df942c,Taiwan-side,1946-1987_taiwan_side_formation,local_news_food_business,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_33b04c3a044b00,Yangtze River Delta,2002-2013_taiwan_capital_gateway,media_report,secondary,0.7,0.9412,0.8688,0.0,0.0
MERGED_3c7f8efc5fcd31,Yangtze River Delta,1987-2015_cross_strait_diffusion,news_report,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_3d7f84f937b996,Yangtze River Delta,1987-2015_cross_strait_diffusion,news_report,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_4308999a2f6274,Japan,1946-1987_taiwan_side_formation,media_obituary,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_c2e552795a6bc9,Taiwan-side,1946-1987_taiwan_side_formation,food_blog_retrospective,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_c626494c4f13bb,Yangtze River Delta,2014-2020_pre_wanghong_platformization,newspaper_archive,primary,1.2,1.0,1.06,1.0,1.06
MERGED_3836e4e7960b33,Yangtze River Delta,2014-2020_pre_wanghong_platformization,media_report,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_502be4ae481b12,Yangtze River Delta,1988-2001_cross_strait_mobility,media_report,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_582707a8eaaf1d,Yangtze River Delta,1988-2001_cross_strait_mobility,media_report,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_7c8df2ef09007f,Taiwan-side,1946-1987_taiwan_side_formation,municipal_media,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_0d75c28cd73d5e,Taiwan-side,1946-1987_taiwan_side_formation,food_blog_retrospective,tertiary,0.2,0.7059,0.5541,1.0,0.5541
MERGED_166cf90710877f,North China,1988-2001_cross_strait_mobility,industry_report,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_0fe1ca4bce3f63,North China,1988-2001_cross_strait_mobility,industry_report,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_70054f771f46a8,North China,2002-2013_taiwan_capital_gateway,industry_report,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_c24214ae499074,North China,2002-2013_taiwan_capital_gateway,industry_report,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_6816478db1d904,Yangtze River Delta,2002-2013_taiwan_capital_gateway,industry_report,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_7e0ab19bbe08a8,North China,2002-2013_taiwan_capital_gateway,industry_report,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_141c5575e721f2,North China,2002-2013_taiwan_capital_gateway,industry_report,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_5ce2c288ee5c4a,North China,2014-2020_pre_wanghong_platformization,industry_report,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_04de0f72e61341,North China,2014-2020_pre_wanghong_platformization,industry_report,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_f007c80478855d,Yangtze River Delta,1987-2015_cross_strait_diffusion,company_intelligence,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_703312f21a2643,Yangtze River Delta,1987-2015_cross_strait_diffusion,company_intelligence,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_c3f15ec9cf6855,Yangtze River Delta,1987-2015_cross_strait_diffusion,company_intelligence,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_26fa513e6ff247,Taiwan-side,1946-1987_taiwan_side_formation,food_blog_retrospective,tertiary,0.2,0.7027,0.5519,1.0,0.5519
MERGED_3ae656776d70d7,Taiwan-side,2002-2013_taiwan_capital_gateway,academic_article,secondary,0.7,1.0,0.91,0.0,0.0
MERGED_608b505b6c2073,Taiwan-side,1946-1987_taiwan_side_formation,food_history_article,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_7f45a8c3dd6d07,Taiwan-side,2014-2020_pre_wanghong_platformization,food_media,secondary,0.7,0.8822,0.8275,0.0,0.0
MERGED_44867d32bcc21e,Japan,1946-1987_taiwan_side_formation,food_history_feature,secondary,0.7,0.75,0.735,1.0,0.735
MERGED_9653a4f69b96b7,Taiwan-side,1946-1987_taiwan_side_formation,food_blog_retrospective,tertiary,0.2,1.0,0.76,1.0,0.76
MERGED_688c31bc539be3,Japan,1946-1987_taiwan_side_formation,official_merchant_directory,secondary,0.7,0.9436,0.8705,0.0,0.0
MERGED_fd703d082127cf,Taiwan-side,1950-1978_taiwan_side_popular_food,official_brand_timeline,secondary,0.7,0.9421,0.8695,0.0,0.0
MERGED_239bef66cf7ba8,Taiwan-side,1950-1978_taiwan_side_popular_food,official_brand_timeline,secondary,0.7,0.9315,0.862,0.0,0.0
MERGED_6a27ba2abbe6e2,Taiwan-side,1979-1987_brand_formalization_and_reopening,official_brand_timeline,secondary,0.7,0.8832,0.8282,0.0,0.0
MERGED_b6c70e145f3139,Taiwan-side,1979-1987_brand_formalization_and_reopening,official_brand_timeline,secondary,0.7,0.8577,0.8104,0.0,0.0
MERGED_fa87b85b5c1d05,Taiwan-side,1988-2001_cross_strait_mobility,official_brand_timeline,secondary,0.7,0.8575,0.8102,0.0,0.0
MERGED_ce00c466b467f9,Taiwan-side,1988-2001_cross_strait_mobility,official_brand_timeline,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_185697f43b0218,Taiwan-side,1988-2001_cross_strait_mobility,official_brand_timeline,secondary,0.7,0.9135,0.8494,0.0,0.0
MERGED_1feea895ce5282,Taiwan-side,2002-2013_taiwan_capital_gateway,official_brand_timeline,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_5aa8d9984bd8bc,Japan,2002-2013_taiwan_capital_gateway,official_brand_timeline,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_7f18edafa4fa9c,Taiwan-side,2002-2013_taiwan_capital_gateway,official_brand_timeline,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_1bda900c97d839,Taiwan-side,2002-2013_taiwan_capital_gateway,official_brand_timeline,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_7128a09bc05615,Taiwan-side,2002-2013_taiwan_capital_gateway,official_brand_timeline,secondary,0.7,0.9179,0.8525,0.0,0.0
MERGED_2f9508f56cb6a3,Taiwan-side,2002-2013_taiwan_capital_gateway,official_brand_timeline,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_9f11e5c640ca50,Taiwan-side,2002-2013_taiwan_capital_gateway,official_brand_timeline,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_ef1407b4d735a7,Taiwan-side,2002-2013_taiwan_capital_gateway,official_brand_timeline,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_4a96d00b4e7721,Taiwan-side,2002-2013_taiwan_capital_gateway,official_brand_timeline,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_8d6c68331b77c6,North China,2002-2013_taiwan_capital_gateway,official_brand_timeline,secondary,0.7,0.9068,0.8448,0.0,0.0
MERGED_dd67ce0124db4b,Taiwan-side,2002-2013_taiwan_capital_gateway,official_brand_timeline,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_e16407866d6808,Taiwan-side,2002-2013_taiwan_capital_gateway,official_brand_timeline,secondary,0.7,1.0,0.91,1.0,0.91
MERGED_844ff97dcb6708,Taiwan-side,2002-2013_taiwan_capital_gateway,official_brand_timeline,secondary,0.7,1.0,0.91,1.0,0.91
