audit_priority,audit_reason,attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref,dedupe_key,merged_from_attestation_ids,merged_row_count
90,low_confidence; single_record_brand,MERGED_42571e3b674c74,1975,1975-10-11,1946-1987_taiwan_side_formation,Toa Payoh Lucky Restaurant,Singapore,,,newspaper_archive,NewspaperSG / The Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19751011-1,overseas_taiwan_porridge_ad,Taiwanese Porridge Toa Payoh Lucky Restaurant Singapore local dishes,,Comparative Singapore Taiwan-porridge ad.,NEWSG_ST_19751011,probable,Singapore,Advertisement offers Taiwanese porridge with local dishes.,,Taiwanese porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19751011-1,643b2f318637fd5a,SG_1975_002,1
90,low_confidence; rare_year,MERGED_a385705c9f2112,1976,1976-04-10,1946-1987_taiwan_side_formation,Taiwan Porridge Restaurant,Singapore,,,newspaper_archive,NewspaperSG / The Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19760410-1,overseas_taiwan_porridge_ad,Taiwan Porridge Restaurant Singapore advertisement,,Comparative Singapore Taiwan-porridge ad.,NEWSG_ST_19760410,probable,Singapore,Advertisement references Taiwan Porridge Rest.,,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19760410-1,07cf85b7137c755a,SG_1976_001,1
90,low_confidence,MERGED_7cd21411d891ea,1982,1982-03-21,1946-1987_taiwan_side_formation,Taiwan Porridge,Singapore,,,newspaper_archive,NewspaperSG / The Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19820321-1,overseas_taiwan_porridge_review,Taiwan porridge light meal snack Goodwood Park Hotel Singapore,,Comparative Singapore Taiwan-porridge review.,NEWSG_ST_19820321,probable,Singapore,Article titled Taiwan porridge as a light meal or snack.,,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19820321-1,a895bfb377a33857,SG_1982_001,1
90,low_confidence,MERGED_9bf7c9d08a1eab,1982,1982-09-23,1946-1987_taiwan_side_formation,Taiwan Porridge,Singapore,,,newspaper_archive,NewspaperSG / The Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19820923-1,overseas_taiwan_porridge_ad,Authentic Taiwan porridge Goodwood Park Hotel Singapore Chinese chef,,Comparative Singapore Taiwan-porridge ad.,NEWSG_ST_19820923,probable,Singapore,Goodwood Park Hotel advertisement for authentic Taiwan porridge.,,Taiwan porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19820923-1,a7922ff8f51b61b3,SG_1982_002,1
90,low_confidence,MERGED_7a17e8733bb1b1,1986,1986-06-19,1946-1987_taiwan_side_formation,Taiwanese Porridge,Singapore,,,newspaper_archive,NewspaperSG / The Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19860619-1,overseas_taiwan_porridge_ad,Taiwanese Porridge Cockpit Hotel Singapore supper breakfast,,Comparative Singapore Taiwan-porridge ad.,NEWSG_ST_19860619,probable,Singapore,Cockpit Hotel ad lists Taiwanese porridge among supper/breakfast choices.,,Taiwanese porridge,,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes19860619-1,a3d8761bf21e3780,SG_1986_001,1
90,low_confidence; single_record_brand,MERGED_1ec7109f1349f5,1970,,1946-1987_taiwan_side_formation,Taiwanese cuisine in Flushing,New York,,,academic_secondary,Taipei Medical University publication record,https://hub.tmu.edu.tw/en/publications/when-little-island-cuisine-encountered-chinese-food-the-evolution-2/,overseas_taiwanese_cuisine_history,Taiwanese cuisine New York Flushing 1970 present Chinese food immigrant restaurant,,Secondary source; primary newspaper/menu records still needed.,US_NY_FLUSHING_1970,probable,North America,Publication record identifies a study on the evolution of Taiwanese cuisine in New York City's Flushing neighborhood from 1970 to present.,,Taiwanese cuisine,,,https://hub.tmu.edu.tw/en/publications/when-little-island-cuisine-encountered-chinese-food-the-evolution-2/,1d561d8641701d86,US_1970_001,1
90,low_confidence; single_record_brand,MERGED_2a8ebfed9f6c33,1970,1970-01-01,1946-1987_taiwan_side_formation,廖記米糕,Kaohsiung,Taiwan,Taiwan-side,official_tourism_profile,高雄旅遊網,https://khh.travel/zh-tw/shop/gourmet/1143,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1970 廖記米糕 dated public source event anchors the food sign 米糕;肉燥 高雄橋頭 || 1970 廖記米糕 dish wording binds local food item to Taiwaneseness corpus 米糕;肉燥 高雄橋頭 || 1970 廖記米糕 store service format records circulation context 米糕;肉燥 高雄橋頭 || 1970 廖記米糕 urban memory and place geography support historical binding 米糕;肉燥 高雄橋頭,low,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_013_A,candidate,Taiwan-side,Liaoji rice cake is a Qiaotou old-street classic run by the third generation with rice cake and rouzao sauce,米糕;肉燥,高雄橋頭,,,https://khh.travel/zh-tw/shop/gourmet/1143,f6af3b24530bf66e,BULK_O_013_A;BULK_O_013_B;BULK_O_013_C;BULK_O_013_D,4
90,low_confidence; single_record_brand,MERGED_bd328fdf3d5194,1970,1970-01-01,1946-1987_taiwan_side_formation,鴨肉珍,Kaohsiung,Taiwan,Taiwan-side,official_tourism_profile,高雄旅遊網,https://khh.travel/zh-tw/shop/gourmet/796/,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1970 鴨肉珍 dated public source event anchors the food sign 鴨肉飯;肉燥 高雄鹽埕 || 1970 鴨肉珍 dish wording binds local food item to Taiwaneseness corpus 鴨肉飯;肉燥 高雄鹽埕 || 1970 鴨肉珍 store service format records circulation context 鴨肉飯;肉燥 高雄鹽埕 || 1970 鴨肉珍 urban memory and place geography support historical binding 鴨肉飯;肉燥 高雄鹽埕,low,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_014_A,candidate,Taiwan-side,Yarouzhen Yancheng duck rice profile describes rice topped with smoked duck and special rouzao,鴨肉飯;肉燥,高雄鹽埕,,,https://khh.travel/zh-tw/shop/gourmet/796/,97601151cdb7b33e,BULK_O_014_A;BULK_O_014_B;BULK_O_014_C;BULK_O_014_D,4
90,low_confidence; single_record_brand,MERGED_eed8997ac7567a,2015,2015-01-01,2014-2020_pre_wanghong_platformization,锅先森台湾卤肉饭 100 stores,unknown,,national,franchise_portal,918餐饮网,https://m.918canyin.com/gxstwrrf/,franchise_store_count_claim,2015 Guoxiansen Taiwan lu rou fan franchise page claims 100 stores and Taiwan food culture positioning,low,Franchise portal source so candidate,GXS_2015_918_100_STORES,candidate,national,Franchise portal lists founding time 2015 and store count 100 for Guoxiansen Taiwan lu rou fan,台湾卤肉饭,台湾美食文化,franchise_operator,unknown,https://m.918canyin.com/gxstwrrf/,9e4febb08aa5e53c,MACRO_N_074,1
90,low_confidence; single_record_brand,MERGED_1c78acd3f6a48c,2015,2015-01-01,2014-2020_pre_wanghong_platformization,锅先森台湾卤肉饭,unknown,,national,franchise_portal,九州醉餐饮网,https://m.zhms.cn/jmzs/39475/,franchise_recruitment_start,2015 Guoxiansen Taiwan lu rou fan began franchise recruitment based on Taiwan culture and food,low,Franchise portal and SEO source so marked candidate,GXS_2015_ZHMS_FRANCHISE,candidate,national,Franchise portal says Guoxiansen Taiwan lu rou fan began recruiting in 2015 with Taiwan culture and food as its base,台湾卤肉饭,台湾文化;台湾美食,franchise_operator,unknown,https://m.zhms.cn/jmzs/39475/,1ae7216390c68954,MACRO_N_073,1
90,low_confidence; single_record_brand,MERGED_c224ab5750b395,1980,,1946-1987_taiwan_side_formation,The New Formosa Restaurant,Petaling Jaya,,,restaurant_listing_retrospective,Unilocal,https://unilocal.net/malaysia/petaling-jaya/the-new-formosa-restaurant,overseas_taiwanese_restaurant,The New Formosa Restaurant Petaling Jaya 1980 authentic Taiwanese cuisine,,Retrospective listing; needs Malaysian newspaper/business corroboration.,MY_FORMOSA_1980,probable,Malaysia,Listing states The New Formosa Restaurant opened in 1980 and served authentic Taiwanese cuisine.,,Taiwanese cuisine,,,https://unilocal.net/malaysia/petaling-jaya/the-new-formosa-restaurant,e3387d53ad667255,MY_1980_001,1
90,low_confidence; single_record_brand,MERGED_c3d64146dc2c81,1980,1980-01-01,1946-1987_taiwan_side_formation,金峰魯肉飯,Taipei,Taiwan,Taiwan-side,food_media_retrospective,在地老饕阿府,https://wanteatfood.com/food/%E9%AD%AF%E8%82%89%E9%A3%AF,old_shop_origin,1980 Taipei Jinfeng lu rou fan South Gate market location lu rou fan old shop,low,Retrospective index page states Jinfeng has sold lu rou fan from 1980; retained as candidate because the source is an index/summary page rather than a focused historical article.,TW_TPE_JINFENG_1980,candidate,Taiwan-side,Source summary says Jinfeng lu rou fan has operated from 1980 near Nanmen Market / Chiang Kai-shek Memorial Hall.,魯肉飯,台北南門市場小吃,,,https://wanteatfood.com/food/%E9%AD%AF%E8%82%89%E9%A3%AF,645e3c3b1ab59f27,TW_TPE_1980_001,1
90,low_confidence; single_record_brand,MERGED_93ebc16e857808,1985,1985-01-01,1946-1987_taiwan_side_formation,Happy Garden Alhambra,Alhambra,California,North America,local_news_food_guide,CBS Los Angeles,https://www.cbsnews.com/losangeles/news/best-taiwanese-restaurants-in-the-san-gabriel-valley/,restaurant_duration_inference,more than two decades before 2011 Alhambra family-owned authentic Taiwanese restaurant xiao chi,low,Derived from 2011 more-than-two-decades wording; date is approximate and should be replaced by direct business record.,US_HAPPYGARDEN_1980S,candidate,North America,CBS LA describes Happy Garden as a family-owned authentic Taiwanese restaurant in the same location for more than two decades as of 2011.,xiao chi,Taiwanese restaurant,,,https://www.cbsnews.com/losangeles/news/best-taiwanese-restaurants-in-the-san-gabriel-valley/,da87c58d7aeabb19,US_1980S_003,1
90,low_confidence; single_record_brand,MERGED_d769391584c461,2020,2020-01-01,2014-2020_pre_wanghong_platformization,米夫罗台湾卤肉饭,unknown,,national,franchise_portal,餐饮加盟网,https://www.cyjmw.com/project/mifuluo/,standardized_franchise_claim,2020 Mifuluo Taiwan lu rou fan franchise page emphasized replicable standardized product and service system,low,Franchise portal source so candidate,MIFULUO_2020_FRANCHISE,candidate,national,Franchise portal presents Mifuluo Taiwan lu rou fan as standardized and replicable,台湾卤肉饭,台湾卤肉饭,franchise_operator,unknown,https://www.cyjmw.com/project/mifuluo/,f6de8fdf8562cc2e,MACRO_N_075,1
90,low_confidence; single_record_brand,MERGED_720be570aeac72,1981,1981-01-01,1946-1987_taiwan_side_formation,來來小吃,Kinmen,Taiwan,Taiwan-side,food_blog_retrospective,DongWa,https://www.dongwa.tw/lailai-lieyu/,old_shop_origin_candidate,approx ROC year 70 Kinmen Lieyu Donglin Market Lai Lai snack shop lu rou fan breakfast,low,Approximate ROC-year wording and retrospective blog source; retained as candidate until local or registration corroboration.,TW_KM_LAILAI_1981,candidate,Taiwan-side,DongWa says Lai Lai snack shop in Little Kinmen's Donglin Market has operated from about ROC year 70 and serves noodles soups and lu rou fan.,滷肉飯,金門烈嶼東林市場小吃,,,https://www.dongwa.tw/lailai-lieyu/,b6f1ff1b10f95d39,TW_KM_1981_001,1
90,low_confidence; single_record_brand,MERGED_e4943d837e4dab,1980,,1946-1987_taiwan_side_formation,老李グループ,Nagasaki,,,official_company_profile,老李グループ・ジャパン,https://www.laolee.jp/company_profile/,overseas_taiwanese_restaurant_company,老李グループ 1980 創業 台湾料理専門店 Japan Nagasaki Taiwanese restaurant,,Official company profile; good comparative Japan record.,JP_LAOLEE_1980,probable,Japan,Company profile gives founding as Showa 55 / 1980 and identifies the company as a Taiwanese cuisine restaurant group.,,台湾料理,taiwan_capital,Taiwan-origin restaurant group,https://www.laolee.jp/company_profile/,a6c1ec8edbb55f60,JP_1980_002,1
90,low_confidence; single_record_brand,MERGED_5c78c24c453ab9,1987,1987-05-28,1946-1987_taiwan_side_formation,美国加州牛肉面大王 / 李先生牛肉面,Beijing,Beijing,Mainland China,brand_official_with_secondary,Mr. Lee official / Sina capture,https://www.mrlee.com.cn/show_82_52.html,taiwan_us_mainland_returnee_chain_candidate,1987 Beijing Dongsi California beef noodle chain Li Beiqi Chongqing Taiwan United States Beijing returnee fast-food route,low,Official source gives 1972 California origin and 1987 Beijing first mainland store. Taiwan migration route is from a weaker Sina capture so keep candidate until stronger biography source is found.,CN_MRLEE_1987_CANDIDATE,candidate,Mainland China,Official Mr Lee page says the brand originated in California in 1972 and opened its first mainland China store in Beijing Dongsi in 1987. Secondary capture says Li Beiqi moved from Chongqing to Taiwan and then the United States before returning to Beijing.,牛肉面,台湾移民路径;美国加州;北京东四,Taiwan/US returnee operator,Taiwan/United States,https://www.mrlee.com.cn/show_82_52.html;https://k.sina.cn/article_1906286443_719f9f6b04001c6km.html,d82a5edaa4d30225,CN_1987_006,1
90,low_confidence; single_record_brand,MERGED_3bd79dfa5c887b,1975,,1946-1987_taiwan_side_formation,Taiwanese immigrant Chinese restaurants,New York,,,food_history_secondary,NYFoodStory,https://www.nyfoodstory.com/articles/taiwanese-immigrants-spark-a-golden-age-for-chinese-food/,overseas_operator_history,Taiwanese immigrants Chinese food New York 1970s restaurant operators,,Candidate comparative operator/capital history; not counted as cuisine attestation until primary records are found.,US_NY_CHINESE_FOOD_TAIWANESE_1970S,candidate,North America,"Food-history source discusses Taiwanese immigrants and a golden age for Chinese food, but primary restaurant records are needed.",,Taiwanese immigrant,,,https://www.nyfoodstory.com/articles/taiwanese-immigrants-spark-a-golden-age-for-chinese-food/,655733b122d25f7b,US_1970S_001,1
90,low_confidence,MERGED_2a1e149980e58f,1958,1958-01-01,1946-1987_taiwan_side_formation,香滿園魯肉飯,Taipei,Taiwan,Taiwan-side,platform_food_review,PopDaily,https://www.popdaily.com.tw/forum/food/1586514,restaurant_social_memory_retro,1958 Shuanglian Xiangmanyuan opened over sixty years laborers affordable lu rou fan side dishes,low,User-platform food post; keep as low-confidence corroborative consumer-memory evidence only.,TW_XIANGMANYUAN_1958_POP,probable,Taiwan-side,PopDaily post says Xiangmanyuan has operated since 1958 and served workers around Taipei Bridge and Shuanglian.,滷肉飯,台北雙連小吃,,,https://www.popdaily.com.tw/forum/food/1586514,e64fd4568cd0ba0d,TW_1958_005,1
90,low_confidence; single_record_brand,MERGED_e40e5c2d31e36e,1981,,1946-1987_taiwan_side_formation,龍の髭,Tokyo,,,local_business_media,シブヤ経済新聞,https://www.shibukei.com/headline/10013/,overseas_taiwanese_restaurant,Shibuya Tokyo 龍の髭 1981 Taiwanese restaurant 台湾料理屋台 predecessor,,Local business media retrospective; useful for Japan 1980s Taiwanese restaurantization.,JP_RYUNOHIGE_1981,probable,Japan,Source says Shibuya Taiwanese restaurant 龍の髭 opened in 1981 and had a Taiwanese food-stall predecessor.,,台湾料理,,,https://www.shibukei.com/headline/10013/,3042096ecec5323c,JP_1981_001,1
90,low_confidence; single_record_brand,MERGED_d5e7856b0338a1,1946,1946-01-01,1946-1987_taiwan_side_formation,莊子土豆仁湯,Tainan,Taiwan,Taiwan-side,official_tourism_profile,台南旅遊網,https://www.twtainan.net/only-for-member/zh-tw/shop/consume/1122,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1946 莊子土豆仁湯 dated public source event anchors the food sign 土豆仁湯 台南早期路邊攤 || 1946 莊子土豆仁湯 dish wording binds local food item to Taiwaneseness corpus 土豆仁湯 台南早期路邊攤 || 1946 莊子土豆仁湯 store service format records circulation context 土豆仁湯 台南早期路邊攤 || 1946 莊子土豆仁湯 urban memory and place geography support historical binding 土豆仁湯 台南早期路邊攤,low,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_002_A,candidate,Taiwan-side,Zhuangzi peanut soup opened in ROC 35 without formal shop name as early Tainan street stall,土豆仁湯,台南早期路邊攤,,,https://www.twtainan.net/only-for-member/zh-tw/shop/consume/1122,bb2bbe182f24a4cf,BULK_O_002_A;BULK_O_002_B;BULK_O_002_C;BULK_O_002_D,4
90,low_confidence; single_record_brand,MERGED_542a192369fffd,1950,1950-01-01,1946-1987_taiwan_side_formation,小公園擔仔麵,Tainan,Taiwan,Taiwan-side,official_tourism_profile,台南旅遊網,https://www.twtainan.net/zh-tw/shop/consume/1483/,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1950 小公園擔仔麵 dated public source event anchors the food sign 擔仔麵;肉燥 府城擔仔麵 || 1950 小公園擔仔麵 dish wording binds local food item to Taiwaneseness corpus 擔仔麵;肉燥 府城擔仔麵 || 1950 小公園擔仔麵 store service format records circulation context 擔仔麵;肉燥 府城擔仔麵 || 1950 小公園擔仔麵 urban memory and place geography support historical binding 擔仔麵;肉燥 府城擔仔麵,low,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_006_A,candidate,Taiwan-side,Tainan Xiaogongyuan danzai noodles profile links danzai noodle service to rouzao and shrimp-head broth,擔仔麵;肉燥,府城擔仔麵,,,https://www.twtainan.net/zh-tw/shop/consume/1483/,cc267f64d32cc293,BULK_O_006_A;BULK_O_006_B;BULK_O_006_C;BULK_O_006_D,4
90,low_confidence; rare_year; single_record_brand,MERGED_d7611699686b8f,1930,1930-01-01,1940-1945_late_colonial_food_order,下大道蘭米糕,Tainan,Taiwan,Taiwan-side,official_tourism_profile,台南旅遊網,https://www.twtainan.net/zh-tw/shop/consume/1723/,dated_source_event|menu_or_dish_marker|service_or_store_format|urban_memory_or_geography,1930 下大道蘭米糕 dated public source event anchors the food sign 米糕;肉臊 台南沙卡里巴 || 1930 下大道蘭米糕 dish wording binds local food item to Taiwaneseness corpus 米糕;肉臊 台南沙卡里巴 || 1930 下大道蘭米糕 store service format records circulation context 米糕;肉臊 台南沙卡里巴 || 1930 下大道蘭米糕 urban memory and place geography support historical binding 米糕;肉臊 台南沙卡里巴,low,Large source-diverse top-up from manually reviewed public source event; duplicate source-key checked before append.,SRC_BULK_O_007_A,candidate,Taiwan-side,Xia Dadao Lan rice cake history traces to ROC 19 Sakariba founding and later relocations to Kangle Street,米糕;肉臊,台南沙卡里巴,,,https://www.twtainan.net/zh-tw/shop/consume/1723/,bb23386efec6a5d6,BULK_O_007_A;BULK_O_007_B;BULK_O_007_C;BULK_O_007_D,4
90,low_confidence; single_record_brand,MERGED_a3e1fd39b3466d,1985,,1946-1987_taiwan_side_formation,Tokyo Taiwanese restaurants,Tokyo,,,academic_secondary,東北人類学論壇 / Zhang-related Japanese literature,https://www2.sal.tohoku.ac.jp/anthropology/TAE20_2021.pdf,overseas_taiwanese_cuisine_regime,1980s Japan Taiwanese cuisine household cuisine small plates authentic Taiwan料理,,Secondary scholarly guide; use to direct Japanese archive searches.,JP_TOKYO_TAIWAN_1980S,probable,Japan,Academic/secondary source states that Taiwanese restaurants in Japan after the 1980s featured household cuisine and small-plate cuisine as authentic Taiwanese cuisine.,,Taiwanese cuisine,,,https://www2.sal.tohoku.ac.jp/anthropology/TAE20_2021.pdf,29094871762cd623,JP_1980S_001,1
90,low_confidence; single_record_brand,BATCH_Q_048,1980,1980-01-01,1946-1987_taiwan_side_formation,永富魚丸店,Taipei,Taiwan,Taiwan-side,food_media_profile,一起吃美食,https://go.17eat.com/151/,media_old_shop_profile,1980s 永富魚丸店 profile records Ximending old-shop snack ecology including lu rou fan,low,Fifty-record top-up batch Q; source-artifact unit checked against existing source/date/brand keys; not marker-split. Relative decade source; retained as candidate not probable.,SRC_BATCH_Q_048,candidate,Taiwan-side,Food profile says 永富魚丸店 began in the 1980s and sells fish balls meat soup and 滷肉飯,滷肉飯;肉羹,台北西門町小吃,,,https://go.17eat.com/151/,dd53e8a70c64dc0a,BATCH_Q_048,1
90,low_confidence; single_record_brand,BATCH_Q_049,1980,1980-01-01,1946-1987_taiwan_side_formation,小文肉羹魯肉飯,Keelung,Taiwan,Taiwan-side,local_media_profile,基隆海嗨,https://keelunghihi.com.tw/83485,local_media_old_shop_profile,1980s 小文肉羹魯肉飯 profile records Keelung old-shop lu rou fan and meat soup ecology,low,Fifty-record top-up batch Q; source-artifact unit checked against existing source/date/brand keys; not marker-split. Relative decade source; retained as candidate not probable.,SRC_BATCH_Q_049,candidate,Taiwan-side,Keelung local media says 小文肉羹魯肉飯 began in the early 1980s and is known for 滷肉飯 and meat soup,滷肉飯;肉羹,基隆小吃;台灣小吃,,,https://keelunghihi.com.tw/83485,6015349437537286,BATCH_Q_049,1
