id1,id2,similarity
BATCH_Y_009,BATCH_Y_010,95.04
BATCH_Y_012,BATCH_Y_025,96.75
BATCH_Y_014,BATCH_Y_027,95.04
BATCH_Y_015,BATCH_Y_025,95.12
BATCH_Y_018,BATCH_Y_027,95.87
BATCH_Y_018,BATCH_Y_028,95.04
BATCH_Y_019,BATCH_Y_030,95.04
BATCH_Y_043,BATCH_Y_047,95.59
BATCH_Y_044,BATCH_Y_048,95.59
BATCH_Y_046,BATCH_Y_049,95.56
BATCH_Y_060,BATCH_Y_065,96.51
BATCH_Y_063,BATCH_Y_077,95.73
BATCH_Y_068,BATCH_Y_078,97.03
BATCH_Z_001,BATCH_Z_011,98.01
BATCH_Z_001,BATCH_Z_021,98.40
BATCH_Z_003,BATCH_Z_009,95.24
BATCH_Z_009,BATCH_Z_017,96.07
BATCH_Z_011,BATCH_Z_021,98.01
BATCH_Z_059,BATCH_Z_065,97.00
BATCH_Z_066,BATCH_Z_077,96.52
BATCH_AA_001,BATCH_AA_014,95.83
BATCH_AA_009,BATCH_AA_015,96.67
BATCH_AA_009,BATCH_AA_021,97.48
BATCH_AA_009,BATCH_AA_022,95.44
BATCH_AA_009,BATCH_AA_025,95.36
BATCH_AA_009,BATCH_AA_027,95.44
BATCH_AA_009,BATCH_AA_028,96.23
BATCH_AA_009,BATCH_AA_029,96.27
BATCH_AA_009,BATCH_AA_030,95.44
BATCH_AA_009,BATCH_AA_031,95.40
BATCH_AA_011,BATCH_AA_015,95.44
BATCH_AA_011,BATCH_AA_018,95.44
BATCH_AA_011,BATCH_AA_019,95.83
BATCH_AA_012,BATCH_AA_019,95.04
BATCH_AA_014,BATCH_AA_020,95.83
BATCH_AA_015,BATCH_AA_020,95.44
BATCH_AA_015,BATCH_AA_021,96.67
BATCH_AA_015,BATCH_AA_025,95.40
BATCH_AA_015,BATCH_AA_028,95.44
BATCH_AA_018,BATCH_AA_019,95.44
BATCH_AA_021,BATCH_AA_022,95.44
BATCH_AA_021,BATCH_AA_025,95.36
BATCH_AA_021,BATCH_AA_027,95.44
BATCH_AA_021,BATCH_AA_028,96.23
BATCH_AA_021,BATCH_AA_029,95.44
BATCH_AA_021,BATCH_AA_030,95.44
BATCH_AA_021,BATCH_AA_031,96.23
BATCH_AA_021,BATCH_AA_041,95.44
BATCH_AA_021,BATCH_AA_047,96.30
BATCH_AA_022,BATCH_AA_028,95.04
BATCH_AA_022,BATCH_AA_032,95.04
BATCH_AA_027,BATCH_AA_028,95.04
BATCH_AA_028,BATCH_AA_029,95.04
BATCH_AA_028,BATCH_AA_030,95.04
BATCH_AA_028,BATCH_AA_038,95.00
BATCH_AA_028,BATCH_AA_039,96.69
BATCH_AA_030,BATCH_AA_040,97.12
BATCH_AA_031,BATCH_AA_032,95.83
BATCH_AA_031,BATCH_AA_033,95.04
BATCH_AA_031,BATCH_AA_034,95.83
BATCH_AA_031,BATCH_AA_035,95.44
BATCH_AA_031,BATCH_AA_036,95.83
BATCH_AA_031,BATCH_AA_038,95.83
BATCH_AA_031,BATCH_AA_039,95.04
BATCH_AA_031,BATCH_AA_040,96.27
BATCH_AA_031,BATCH_AA_041,97.52
BATCH_AA_032,BATCH_AA_033,95.04
BATCH_AA_032,BATCH_AA_034,95.83
BATCH_AA_032,BATCH_AA_035,95.44
BATCH_AA_032,BATCH_AA_036,95.00
BATCH_AA_032,BATCH_AA_038,95.83
BATCH_AA_032,BATCH_AA_039,95.04
BATCH_AA_032,BATCH_AA_040,95.44
BATCH_AA_033,BATCH_AA_034,95.04
BATCH_AA_033,BATCH_AA_038,95.04
BATCH_AA_034,BATCH_AA_035,95.44
BATCH_AA_034,BATCH_AA_036,95.00
BATCH_AA_034,BATCH_AA_038,95.83
BATCH_AA_034,BATCH_AA_039,95.04
BATCH_AA_034,BATCH_AA_040,95.44
BATCH_AA_035,BATCH_AA_038,95.44
BATCH_AA_035,BATCH_AA_040,95.04
BATCH_AA_036,BATCH_AA_038,95.00
BATCH_AA_036,BATCH_AA_046,95.80
BATCH_AA_038,BATCH_AA_039,95.04
BATCH_AA_038,BATCH_AA_040,95.44
BATCH_AA_053,BATCH_AA_054,95.15
BATCH_AA_058,BATCH_AA_079,95.58
BATCH_AA_060,BATCH_AA_080,96.46
BATCH_AA_061,BATCH_AA_062,95.20
BATCH_AA_061,BATCH_AA_069,95.20
BATCH_AA_064,BATCH_AA_066,95.15
BATCH_AA_067,BATCH_AA_069,96.04
BATCH_AA_071,BATCH_AA_072,95.15
BATCH_AA_071,BATCH_AA_074,95.15
BATCH_AA_072,BATCH_AA_074,95.58
BATCH_AA_072,BATCH_AA_077,95.15
BATCH_AA_074,BATCH_AA_077,95.15
BATCH_AA_092,BATCH_AB_086,95.03
BATCH_AB_002,BATCH_AB_010,95.58
BATCH_AB_003,BATCH_AB_023,95.24
BATCH_AB_004,BATCH_AB_006,95.58
BATCH_AB_008,BATCH_AB_010,95.58
BATCH_AB_008,BATCH_AB_068,95.61
BATCH_AB_020,BATCH_AB_070,95.15
BATCH_AB_032,BATCH_AB_036,95.12
BATCH_AB_034,BATCH_AB_038,97.54
BATCH_AB_043,BATCH_AB_047,95.58
BATCH_AB_051,BATCH_AB_052,95.15
BATCH_AB_052,BATCH_AB_057,95.15
BATCH_AB_053,BATCH_AB_054,95.11
BATCH_AB_053,BATCH_AB_056,95.58
BATCH_AB_054,BATCH_AB_056,95.11
BATCH_AB_061,BATCH_AB_064,96.43
BATCH_AB_061,BATCH_AB_066,95.58
BATCH_AB_061,BATCH_AB_067,96.43
BATCH_AB_061,BATCH_AB_068,95.58
BATCH_AB_062,BATCH_AB_065,95.58
BATCH_AB_063,BATCH_AB_064,95.61
BATCH_AB_064,BATCH_AB_067,95.58
BATCH_AB_072,BATCH_AB_078,95.58
BATCH_AB_075,BATCH_AB_079,95.11
BATCH_AB_084,BATCH_AC_046,95.47
BATCH_AB_085,BATCH_AC_017,96.08
BATCH_AB_085,BATCH_AC_031,98.68
BATCH_AB_086,BATCH_AC_018,98.75
BATCH_AB_086,BATCH_AC_026,95.51
BATCH_AB_087,BATCH_AC_019,95.85
BATCH_AB_089,BATCH_AC_022,97.25
BATCH_AB_090,BATCH_AC_021,98.77
BATCH_AB_091,BATCH_AC_049,99.37
BATCH_AB_092,BATCH_AC_050,96.46
BATCH_AB_093,BATCH_AC_052,95.74
BATCH_AB_094,BATCH_AC_051,95.87
BATCH_AB_096,BATCH_AC_053,98.57
BATCH_AC_015,BATCH_AC_032,95.36
BATCH_AC_017,BATCH_AC_031,96.08
BATCH_AC_018,BATCH_AC_026,96.79
BATCH_AC_062,BATCH_AC_065,97.48
BATCH_AC_065,BATCH_AC_077,95.44
BATCH_AC_068,BATCH_AC_070,95.83
BATCH_AC_076,BATCH_AC_079,95.87
BATCH_AC_080,BATCH_AC_083,95.04
BATCH_AC_080,BATCH_AC_084,95.04
BATCH_AC_083,BATCH_AC_084,95.87
BATCH_AC_085,BATCH_AC_087,95.56
BATCH_AC_086,BATCH_AC_090,96.32
BATCH_AC_087,BATCH_AC_088,95.59
BATCH_AC_089,BATCH_AC_092,95.56
BATCH_AC_090,BATCH_AC_094,95.59
BATCH_AC_091,BATCH_AC_095,95.56
BATCH_AC_095,BATCH_AC_096,96.35
BATCH_AC_124,BATCH_AC_125,95.54
BATCH_AD_098,BATCH_AD_124,95.20
BATCH_AD_100,BATCH_AD_107,95.65
BATCH_AD_100,BATCH_AD_112,95.32
BATCH_AD_103,BATCH_AD_113,95.28
BATCH_AD_112,BATCH_AD_115,95.00
