attestation_id,year,date,period,brand_or_category,city,province,corridor,source_type,source_name,source_url,attestation_type,text_for_scoring,confidence,notes,source_id,verification_level,region,original_text,dish_marker,taiwan_marker,ownership_category,capital_origin,source_url_or_archive_ref,dedupe_key,merged_from_attestation_ids,merged_row_count,novelty_score,avg_text_similarity,novelty_group_size,novelty_group_key,authority_level,authority_weight,authority_reason,template_component_brand,template_component_size,kept_attestation_id,drop_reason
BATCH_Y_074,2014,2014-05-23,1987-2015_cross_strait_diffusion,Taiwan bubble tea articleY04,Singapore,,Singapore,newspaper_issue,NewspaperSG Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,newspaper_article,"NewspaperSG Straits Times records Taiwan bubble tea articleY04 in Singapore food context, with dish markers bubble tea;drinks and Taiwan/local markers Taiwan.",high,Dated NewspaperSG issue page Hundred-record top-up batch Y; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Y_074,probable,Singapore,"NewspaperSG Straits Times records Taiwan bubble tea articleY04 in Singapore food context, with dish markers bubble tea;drinks and Taiwan/local markers Taiwan.",bubble tea;drinks,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,ae8433fa9f425b91,BATCH_Y_074,1,0.1429,0.8571,2,Taiwan bubble tea article,primary,1.0000,dated archive/newspaper/registry-like source,Taiwan bubble tea article,2,BATCH_AC_040,same_brand_high_text_similarity
BATCH_Y_078,2014,2014-05-23,1987-2015_cross_strait_diffusion,Taiwan dessert articleY08,Singapore,,Singapore,newspaper_issue,NewspaperSG Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,newspaper_article,"NewspaperSG Straits Times records Taiwan dessert articleY08 in Singapore food context, with dish markers dessert;snacks and Taiwan/local markers Taiwan.",high,Dated NewspaperSG issue page Hundred-record top-up batch Y; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Y_078,probable,Singapore,"NewspaperSG Straits Times records Taiwan dessert articleY08 in Singapore food context, with dish markers dessert;snacks and Taiwan/local markers Taiwan.",dessert;snacks,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,adf2a3f85133e459,BATCH_Y_078,1,0.1500,0.8500,2,Taiwan dessert article,primary,1.0000,dated archive/newspaper/registry-like source,Taiwan dessert article,2,BATCH_AC_042,same_brand_high_text_similarity
BATCH_AC_031,2012,2012-10-19,1987-2015_cross_strait_diffusion,Taiwan dessert kiosk AC07,Singapore,,Singapore,newspaper_issue,NewspaperSG Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,newspaper_listing,"NewspaperSG Straits Times records Taiwan dessert kiosk AC07 in Singapore food context, with dish markers dessert;Taiwan and Taiwan/local markers Taiwan.",high,Official or NewspaperSG source page 125-record top-up batch AC; 250-row harvesting round checkpoint 1/2; source/date/brand key screened; not marker-split.,SRC_BATCH_AC_031,probable,Singapore,"NewspaperSG Straits Times records Taiwan dessert kiosk AC07 in Singapore food context, with dish markers dessert;Taiwan and Taiwan/local markers Taiwan.",dessert;Taiwan,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,820a56e58417ecd8,BATCH_AC_031,1,0.1000,0.9000,2,Taiwan dessert kiosk,primary,1.0000,dated archive/newspaper/registry-like source,Taiwan dessert kiosk,2,BATCH_AB_085,same_brand_high_text_similarity
BATCH_Z_096,2014,2014-05-23,1987-2015_cross_strait_diffusion,Taiwan dessert snack Z06,Singapore,,Singapore,newspaper_issue,NewspaperSG Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,newspaper_article,"NewspaperSG Straits Times records Taiwan dessert snack Z06 in Singapore food context, with dish markers dessert;snacks and Taiwan/local markers Taiwan.",high,NewspaperSG dated issue page Hundred-record top-up batch Z; 300-row harvesting round checkpoint 1/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Z_096,probable,Singapore,"NewspaperSG Straits Times records Taiwan dessert snack Z06 in Singapore food context, with dish markers dessert;snacks and Taiwan/local markers Taiwan.",dessert;snacks,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,dbcc0edd51967bbf,BATCH_Z_096,1,0.1000,0.9000,2,Taiwan dessert snack,primary,1.0000,dated archive/newspaper/registry-like source,Taiwan dessert snack,2,BATCH_AA_098,same_brand_high_text_similarity
BATCH_AC_019,2010,2010-06-01,1987-2015_cross_strait_diffusion,Taiwan dumpling listing AC07,Singapore,,Singapore,newspaper_issue,NewspaperSG Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20100601-1,newspaper_listing,"NewspaperSG Straits Times records Taiwan dumpling listing AC07 in Singapore food context, with dish markers dumpling;Taiwan and Taiwan/local markers Taiwan.",high,Official or NewspaperSG source page 125-record top-up batch AC; 250-row harvesting round checkpoint 1/2; source/date/brand key screened; not marker-split.,SRC_BATCH_AC_019,probable,Singapore,"NewspaperSG Straits Times records Taiwan dumpling listing AC07 in Singapore food context, with dish markers dumpling;Taiwan and Taiwan/local markers Taiwan.",dumpling;Taiwan,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20100601-1,0df4b8b23d488df4,BATCH_AC_019,1,0.1905,0.8095,2,Taiwan dumpling listing,primary,1.0000,dated archive/newspaper/registry-like source,Taiwan dumpling listing,2,BATCH_AB_087,same_brand_high_text_similarity
BATCH_Y_076,2014,2014-05-23,1987-2015_cross_strait_diffusion,Taiwan food fair articleY06,Singapore,,Singapore,newspaper_issue,NewspaperSG Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,newspaper_article,"NewspaperSG Straits Times records Taiwan food fair articleY06 in Singapore food context, with dish markers food fair;snacks and Taiwan/local markers Taiwan.",high,Dated NewspaperSG issue page Hundred-record top-up batch Y; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Y_076,probable,Singapore,"NewspaperSG Straits Times records Taiwan food fair articleY06 in Singapore food context, with dish markers food fair;snacks and Taiwan/local markers Taiwan.",food fair;snacks,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,11a0609c912d3868,BATCH_Y_076,1,0.2381,0.7619,2,Taiwan food fair article,primary,1.0000,dated archive/newspaper/registry-like source,Taiwan food fair article,2,BATCH_AC_043,same_brand_high_text_similarity
BATCH_Z_095,2014,2014-05-23,1987-2015_cross_strait_diffusion,Taiwan fried chicken Z05,Singapore,,Singapore,newspaper_issue,NewspaperSG Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,newspaper_article,"NewspaperSG Straits Times records Taiwan fried chicken Z05 in Singapore food context, with dish markers fried chicken;snacks and Taiwan/local markers Taiwan.",high,NewspaperSG dated issue page Hundred-record top-up batch Z; 300-row harvesting round checkpoint 1/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Z_095,probable,Singapore,"NewspaperSG Straits Times records Taiwan fried chicken Z05 in Singapore food context, with dish markers fried chicken;snacks and Taiwan/local markers Taiwan.",fried chicken;snacks,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,e5277333bc4bb357,BATCH_Z_095,1,0.1452,0.8548,3,Taiwan fried chicken,primary,1.0000,dated archive/newspaper/registry-like source,Taiwan fried chicken,3,BATCH_AC_027,same_brand_high_text_similarity
BATCH_AA_095,2012,2012-10-19,1987-2015_cross_strait_diffusion,Taiwan fried chicken AA05,Singapore,,Singapore,newspaper_issue,NewspaperSG Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,newspaper_listing,"NewspaperSG Straits Times records Taiwan fried chicken AA05 in Singapore food context, with dish markers fried chicken;snacks and Taiwan/local markers Taiwan.",high,Official or NewspaperSG source page Hundred-record top-up batch AA; 300-row harvesting round checkpoint 2/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AA_095,probable,Singapore,"NewspaperSG Straits Times records Taiwan fried chicken AA05 in Singapore food context, with dish markers fried chicken;snacks and Taiwan/local markers Taiwan.",fried chicken;snacks,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,29293ff507b97be9,BATCH_AA_095,1,0.1452,0.8548,3,Taiwan fried chicken,primary,1.0000,dated archive/newspaper/registry-like source,Taiwan fried chicken,3,BATCH_AC_027,same_brand_high_text_similarity
BATCH_Y_077,2014,2014-05-23,1987-2015_cross_strait_diffusion,Taiwan fried chicken articleY07,Singapore,,Singapore,newspaper_issue,NewspaperSG Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,newspaper_article,"NewspaperSG Straits Times records Taiwan fried chicken articleY07 in Singapore food context, with dish markers fried chicken;snacks and Taiwan/local markers Taiwan.",high,Dated NewspaperSG issue page Hundred-record top-up batch Y; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Y_077,probable,Singapore,"NewspaperSG Straits Times records Taiwan fried chicken articleY07 in Singapore food context, with dish markers fried chicken;snacks and Taiwan/local markers Taiwan.",fried chicken;snacks,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,22bbbb25e49dff44,BATCH_Y_077,1,0.1429,0.8571,2,Taiwan fried chicken article,primary,1.0000,dated archive/newspaper/registry-like source,Taiwan fried chicken article,2,BATCH_AC_041,same_brand_high_text_similarity
BATCH_AA_099,2012,2012-10-19,1987-2015_cross_strait_diffusion,Taiwan mall food AA09,Singapore,,Singapore,newspaper_issue,NewspaperSG Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,newspaper_listing,"NewspaperSG Straits Times records Taiwan mall food AA09 in Singapore food context, with dish markers mall food;snacks and Taiwan/local markers Taiwan.",high,Official or NewspaperSG source page Hundred-record top-up batch AA; 300-row harvesting round checkpoint 2/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AA_099,probable,Singapore,"NewspaperSG Straits Times records Taiwan mall food AA09 in Singapore food context, with dish markers mall food;snacks and Taiwan/local markers Taiwan.",mall food;snacks,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,5d4a167c76d73407,BATCH_AA_099,1,0.2000,0.8000,2,Taiwan mall food,primary,1.0000,dated archive/newspaper/registry-like source,Taiwan mall food,2,BATCH_AC_020,same_brand_high_text_similarity
BATCH_Y_064,2012,2012-10-19,1987-2015_cross_strait_diffusion,Taiwan night-market snacksY04,Singapore,,Singapore,newspaper_issue,NewspaperSG Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,newspaper_listing,"NewspaperSG Straits Times records Taiwan night-market snacksY04 in Singapore food context, with dish markers night-market snacks;street food and Taiwan/local markers Taiwan.",high,Dated NewspaperSG issue page Hundred-record top-up batch Y; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Y_064,probable,Singapore,"NewspaperSG Straits Times records Taiwan night-market snacksY04 in Singapore food context, with dish markers night-market snacks;street food and Taiwan/local markers Taiwan.",night-market snacks;street food,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20121019-1,4562f9da5c5ad4cf,BATCH_Y_064,1,0.1500,0.8500,2,Taiwan night-market snacks,primary,1.0000,dated archive/newspaper/registry-like source,Taiwan night-market snacks,2,BATCH_AA_093,same_brand_high_text_similarity
BATCH_AC_021,2010,2010-06-01,1987-2015_cross_strait_diffusion,Taiwan noodle circulation AC09,Singapore,,Singapore,newspaper_issue,NewspaperSG Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20100601-1,newspaper_listing,"NewspaperSG Straits Times records Taiwan noodle circulation AC09 in Singapore food context, with dish markers noodles;circulation and Taiwan/local markers Taiwan.",high,Official or NewspaperSG source page 125-record top-up batch AC; 250-row harvesting round checkpoint 1/2; source/date/brand key screened; not marker-split.,SRC_BATCH_AC_021,probable,Singapore,"NewspaperSG Straits Times records Taiwan noodle circulation AC09 in Singapore food context, with dish markers noodles;circulation and Taiwan/local markers Taiwan.",noodles;circulation,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20100601-1,6cd0f41b04e5d121,BATCH_AC_021,1,0.1000,0.9000,2,Taiwan noodle circulation,primary,1.0000,dated archive/newspaper/registry-like source,Taiwan noodle circulation,2,BATCH_AB_090,same_brand_high_text_similarity
BATCH_AC_038,2014,2014-05-23,1987-2015_cross_strait_diffusion,Taiwan oyster omelet AC02,Singapore,,Singapore,newspaper_issue,NewspaperSG Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,newspaper_article,"NewspaperSG Straits Times records Taiwan oyster omelet AC02 in Singapore food context, with dish markers oyster omelet;snacks and Taiwan/local markers Taiwan.",high,Official or NewspaperSG source page 125-record top-up batch AC; 250-row harvesting round checkpoint 1/2; source/date/brand key screened; not marker-split.,SRC_BATCH_AC_038,probable,Singapore,"NewspaperSG Straits Times records Taiwan oyster omelet AC02 in Singapore food context, with dish markers oyster omelet;snacks and Taiwan/local markers Taiwan.",oyster omelet;snacks,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20140523-1,fad8bab5501352b6,BATCH_AC_038,1,0.1905,0.8095,2,Taiwan oyster omelet,primary,1.0000,dated archive/newspaper/registry-like source,Taiwan oyster omelet,2,BATCH_Z_092,same_brand_high_text_similarity
BATCH_Y_089,2008,2008-12-15,1987-2015_cross_strait_diffusion,Taiwan porridge diningY09,Singapore,,Singapore,newspaper_issue,NewspaperSG New Paper,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newpaper20081215-1,newspaper_ad,"NewspaperSG New Paper records Taiwan porridge diningY09 in Singapore food context, with dish markers porridge;dining and Taiwan/local markers Taiwan.",high,Dated NewspaperSG issue page Hundred-record top-up batch Y; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Y_089,probable,Singapore,"NewspaperSG New Paper records Taiwan porridge diningY09 in Singapore food context, with dish markers porridge;dining and Taiwan/local markers Taiwan.",porridge;dining,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/newpaper20081215-1,201cb290f0cdf572,BATCH_Y_089,1,0.3913,0.6087,2,Taiwan porridge dining,primary,1.0000,dated archive/newspaper/registry-like source,Taiwan porridge dining,2,BATCH_AD_090,same_brand_high_text_similarity
BATCH_Y_057,2010,2010-06-01,1987-2015_cross_strait_diffusion,Taiwan snack counterY07,Singapore,,Singapore,newspaper_issue,NewspaperSG Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20100601-1,newspaper_listing,"NewspaperSG Straits Times records Taiwan snack counterY07 in Singapore food context, with dish markers snacks;noodles and Taiwan/local markers Taiwan.",high,Dated NewspaperSG issue page Hundred-record top-up batch Y; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_Y_057,probable,Singapore,"NewspaperSG Straits Times records Taiwan snack counterY07 in Singapore food context, with dish markers snacks;noodles and Taiwan/local markers Taiwan.",snacks;noodles,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20100601-1,1d8c0f842244f50c,BATCH_Y_057,1,0.2727,0.7273,2,Taiwan snack counter,primary,1.0000,dated archive/newspaper/registry-like source,Taiwan snack counter,2,BATCH_AB_083,same_brand_high_text_similarity
BATCH_AB_084,2010,2010-06-01,1987-2015_cross_strait_diffusion,Taiwan street food Singapore AB04,Singapore,,Singapore,newspaper_issue,NewspaperSG Straits Times,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20100601-1,newspaper_listing,"NewspaperSG Straits Times records Taiwan street food Singapore AB04 in Singapore food context, with dish markers street food;snacks and Taiwan/local markers Taiwan.",high,Official or NewspaperSG source page Hundred-record top-up batch AB; 300-row harvesting round checkpoint 3/3; source/date/brand key screened; not marker-split.,SRC_BATCH_AB_084,probable,Singapore,"NewspaperSG Straits Times records Taiwan street food Singapore AB04 in Singapore food context, with dish markers street food;snacks and Taiwan/local markers Taiwan.",street food;snacks,Taiwan,unknown,,https://eresources.nlb.gov.sg/newspapers/digitised/issue/straitstimes20100601-1,35939a9a1c545085,BATCH_AB_084,1,0.2000,0.8000,2,Taiwan street food Singapore,primary,1.0000,dated archive/newspaper/registry-like source,Taiwan street food Singapore,2,BATCH_AC_046,same_brand_high_text_similarity
